,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"@AmCathytray Yes, there is! https://t.co/d8dpCHJl59",en,0,0,2021-11-16 20:31:57+00:00,0.0,0.0,Neutral,2021-11-16 20:31:57+00:00,2021-11-16
1,1,"#bergerpaints #Asianpaints #indigopaints #irctc 

Retweet and share https://t.co/NHxFAwU5Yu",en,0,0,2021-11-16 19:19:23+00:00,0.0,0.0,Neutral,2021-11-16 19:19:23+00:00,2021-11-16
2,2,Promote it on  @nftcommunitty https://t.co/hMF1vCrtHp,en,0,0,2021-11-16 19:13:10+00:00,0.0,0.0,Neutral,2021-11-16 19:13:10+00:00,2021-11-16
3,3,"RT @SonyTV: #ShaandarShrukravaar ke kuch khaas lamhe, @asianpaints  Royale Glitz Spotlight Wall ke saath har Friday, only on #KBC13.

#Roya…",en,0,0,2021-11-16 19:03:21+00:00,1.0,0.0,Neutral,2021-11-16 19:03:21+00:00,2021-11-16
4,4,"RT @asianpaints: Beautiful Indian handicrafts transcend to accentuate your accent walls, with bright colours and elegant textures with our…",en,0,0,2021-11-16 18:54:58+00:00,0.9333333333333332,0.6833333333333332,Positive,2021-11-16 18:54:58+00:00,2021-11-16
5,5,"RT @REDBOXINDIA: ASIAN PAINTS: CO CONFIRMS TAKING 4-6% PRICE HIKE FROM DEC.5 - CNBC TV 18
#ASIANPAINTS https://t.co/NqADESYKoh",en,0,0,2021-11-16 18:52:38+00:00,0.0,0.0,Neutral,2021-11-16 18:52:38+00:00,2021-11-16
6,6,Feature it on https://t.co/RZLIi24V2C https://t.co/ZQ5XuWEFYd,en,0,0,2021-11-16 18:47:30+00:00,0.0,0.0,Neutral,2021-11-16 18:47:30+00:00,2021-11-16
7,7,Promote it on  @nftcommunitty https://t.co/T464Du2X4K,en,0,0,2021-11-16 18:29:13+00:00,0.0,0.0,Neutral,2021-11-16 18:29:13+00:00,2021-11-16
8,8,"RT @SonyTV: #ShaandarShrukravaar ke kuch khaas lamhe, @asianpaints  Royale Glitz Spotlight Wall ke saath har Friday, only on #KBC13.

#Roya…",en,0,0,2021-11-16 18:24:30+00:00,1.0,0.0,Neutral,2021-11-16 18:24:30+00:00,2021-11-16
9,9,@niteshkathpal @consumersindia @urbanclap @UC_Assist @MoHUA_India You should have opted @asianpaints for the paiting job bro,en,0,0,2021-11-16 18:14:20+00:00,0.0,0.0,Neutral,2021-11-16 18:14:20+00:00,2021-11-16
