,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"@Aparajita_2018 Hi Aparajita, we have responded to your concern via DM. Regret the inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 20:29:25+00:00,0.0,0.0,Neutral,2021-11-16 20:29:25+00:00,2021-11-16
1,1,"@RakeshPandit2 Hi Rakesh, we have responded to the concern raised by you via DM. Regret any inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 20:25:11+00:00,0.0,0.0,Neutral,2021-11-16 20:25:11+00:00,2021-11-16
2,2,"@helpinghand9172 Hi, we have responded to your concern via DM. We regret the inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 20:06:04+00:00,0.0,0.0,Neutral,2021-11-16 20:06:04+00:00,2021-11-16
3,3,"RT @Curious_Indian_: 💎5 Stocks For New Year Profit💎
⚡ HDFC BANK (₹1547)
⚡ SAIL (₹114)
⚡ ICICI BANK (₹764)
⚡ Redington (₹149)
⚡ Axis Bank (₹…",en,0,0,2021-11-16 20:02:34+00:00,0.4545454545454545,0.1363636363636363,Positive,2021-11-16 20:02:34+00:00,2021-11-16
4,4,"@Princemsr Hi, we have responded to the concern raised by you via DM. Regret any inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 19:56:26+00:00,0.0,0.0,Neutral,2021-11-16 19:56:26+00:00,2021-11-16
5,5,"@MaverickRahul2 Hi, we request you to share your registered contact details via DM to assist you further. Regards,… https://t.co/IMt6IBQSrY",en,0,0,2021-11-16 19:45:43+00:00,0.5,0.0,Neutral,2021-11-16 19:45:43+00:00,2021-11-16
6,6,"@vyom31 Hi, we have responded to you via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 19:43:28+00:00,0.0,0.0,Neutral,2021-11-16 19:43:28+00:00,2021-11-16
7,7,"@NainNyari Hi, we have responded to you via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 19:41:27+00:00,0.0,0.0,Neutral,2021-11-16 19:41:27+00:00,2021-11-16
8,8,Cayman Islands #OffshoreTaxEvasion Files #CAYMANISLANDS GOVERNOR #MARTYNROPER #CAYMAN ISLANDS GOVERNMENT CONSULTANT… https://t.co/xC8lDT0aq3,en,1,0,2021-11-16 19:39:25+00:00,0.0,0.0,Neutral,2021-11-16 19:39:25+00:00,2021-11-16
9,9,"@hrsvnr Hi Harsh, we have responded to the concern raised by you via DM. Regret any inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 19:37:07+00:00,0.7,-0.2,Negative,2021-11-16 19:37:07+00:00,2021-11-16
10,10,"@Radhe_giri Hi, we request you to follow us back so that we can address your concern via DM. Regards, Team Axis Bank https://t.co/S8xhHTFnrZ",en,0,0,2021-11-16 19:37:04+00:00,0.0,0.0,Neutral,2021-11-16 19:37:04+00:00,2021-11-16
11,11,#CaymanIslands #MoneyLaundering Fraud Files CAYMAN ISLANDS GOVERNOR #MARTYNROPER - CAYMAN ISLANDS GOVERNMENT CONSUL… https://t.co/RE0njeatoZ,en,1,0,2021-11-16 19:36:10+00:00,0.0,0.0,Neutral,2021-11-16 19:36:10+00:00,2021-11-16
12,12,"@ooosiddhartha Hi Siddhartha, we have responded to the concern raised by you via DM. Regret any inconvenience cause… https://t.co/4JYpW1PyPR",en,0,0,2021-11-16 19:31:52+00:00,0.0,0.0,Neutral,2021-11-16 19:31:52+00:00,2021-11-16
13,13,"@himanshu_eco Hi, we've addressed your concern and sent you a response via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 19:31:15+00:00,0.0,0.0,Neutral,2021-11-16 19:31:15+00:00,2021-11-16
14,14,"@Ricky20069804 Hi Ricky, we have responded to your concern via DM. We regret the inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 19:29:42+00:00,0.0,0.0,Neutral,2021-11-16 19:29:42+00:00,2021-11-16
15,15,"@himanshu_eco Hi, we have made note of your message and get back to you shortly.  Regards, Team Axis Bank.",en,0,0,2021-11-16 19:25:48+00:00,0.15,0.0,Neutral,2021-11-16 19:25:48+00:00,2021-11-16
16,17,"@vikas1804 Hi, we wish to inform you that nodal team has responded to you on 10/22/2021. For further assistance, re… https://t.co/x0oJfUl6RG",en,0,0,2021-11-16 19:10:32+00:00,0.5,0.0,Neutral,2021-11-16 19:10:32+00:00,2021-11-16
17,18,"@KunalVe60716322 Hi, we have made a note of your message and will get back with a response shortly. Regards, Team Axis Bank.",en,0,0,2021-11-16 19:07:00+00:00,0.15,0.0,Neutral,2021-11-16 19:07:00+00:00,2021-11-16
18,19,"@suuupersu Hi, we have responded to your concern via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 18:53:34+00:00,0.0,0.0,Neutral,2021-11-16 18:53:34+00:00,2021-11-16
19,20,"@Arvind143011 Hi Arvind, we have responded to your concern via DM. Regret the inconvenience caused. Regards, Team Axis Bank.",en,0,0,2021-11-16 18:50:08+00:00,0.0,0.0,Neutral,2021-11-16 18:50:08+00:00,2021-11-16
20,21,@AshishD46831247 or download any app or part with confidential account related information. Please refrain from doi… https://t.co/gEnLvXxAoj,en,0,0,2021-11-16 18:49:33+00:00,0.4,0.0,Neutral,2021-11-16 18:49:33+00:00,2021-11-16
21,22,"@ChaitanyaK_93 Hi, we request you to follow us back so that we can address your concern via DM. Happy to help. Regards, Team Axis Bank.",en,0,0,2021-11-16 18:38:48+00:00,0.5,0.4,Positive,2021-11-16 18:38:48+00:00,2021-11-16
22,23,"@Solanky9162 Hi Ashutosh, we have responded to your concern via DM. We regret the inconvenience caused. Regards, Team Axis Bank",en,0,0,2021-11-16 18:36:54+00:00,0.0,0.0,Neutral,2021-11-16 18:36:54+00:00,2021-11-16
23,24,"@sachinahuja92 Hi, we have responded to you via DM. Regards, Team Axis Bank.",en,0,0,2021-11-16 18:36:04+00:00,0.0,0.0,Neutral,2021-11-16 18:36:04+00:00,2021-11-16
24,25,@therajarora or download any app or part with confidential account related information. Please refrain from doing s… https://t.co/gt72Tbyq3e,en,0,0,2021-11-16 18:34:27+00:00,0.4,0.0,Neutral,2021-11-16 18:34:27+00:00,2021-11-16
25,26,"@Mitesh_Engr Right 👍 , but high weightage stocks of  Nifty and BN there are significant delivery % (More than 50).… https://t.co/H25NRGX8hu",en,0,0,2021-11-16 18:34:03+00:00,0.6126785714285714,0.3301785714285714,Positive,2021-11-16 18:34:03+00:00,2021-11-16
