,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"@MdMohsinAli_ Hi, Greetings from Bajaj Finance! With reference to your post, we have shared the necessary resolutio… https://t.co/3GNNZSIR3f",en,0,0,2021-11-16 20:26:44+00:00,1.0,0.0,Neutral,2021-11-16 20:26:44+00:00,2021-11-16
1,1,"@MdMohsinAli_ Hi, Greetings from Bajaj Finance! With reference to your post , we have shared the necessary resoluti… https://t.co/i5nUbyDxDk",en,0,0,2021-11-16 20:26:09+00:00,1.0,0.0,Neutral,2021-11-16 20:26:09+00:00,2021-11-16
2,2,"- Bajaj Housing Finance Limited’s Flat Processing Fee of Rs. 1,999 Plus GST Offer Extended till 30 November 2021 https://t.co/Ve8cvb4Uf1",en,0,0,2021-11-16 20:16:12+00:00,0.1339285714285714,-0.0482142857142857,Negative,2021-11-16 20:16:12+00:00,2021-11-16
3,3,"@MdMohsinAli_ Hi, Greetings from Bajaj Finance! We have noted your details and we will get back to you at the earliest. Thank you - Athar",en,0,0,2021-11-16 20:12:02+00:00,0.0,0.0,Neutral,2021-11-16 20:12:02+00:00,2021-11-16
4,4,@Bajaj_Finance Since From Last 15 not a single reply received from your sides,en,0,0,2021-11-16 20:01:23+00:00,0.1404761904761904,0.0178571428571428,Positive,2021-11-16 20:01:23+00:00,2021-11-16
5,8,"@Kalpi20522405 Hi, Greetings from Bajaj Finance! With reference to your post regarding RBL Super card. We request y… https://t.co/hzVQmHp3Iz",en,0,0,2021-11-16 19:09:32+00:00,0.6666666666666666,0.3333333333333333,Positive,2021-11-16 19:09:32+00:00,2021-11-16
6,9,"RT @MultipieSocial: We prepared a dashboard comparing Bajaj Finance with Tier 1 Banks. If you want to do a quick analysis of a Bank/ NBFC,…",en,0,0,2021-11-16 19:04:53+00:00,0.5,0.3333333333333333,Positive,2021-11-16 19:04:53+00:00,2021-11-16
7,10,"RT @MultipieSocial: We prepared a dashboard comparing Bajaj Finance with Tier 1 Banks. If you want to do a quick analysis of a Bank/ NBFC,…",en,0,0,2021-11-16 18:34:43+00:00,0.5,0.3333333333333333,Positive,2021-11-16 18:34:43+00:00,2021-11-16
8,11,"@SoumenG18603612 Hi, Greetings from Bajaj Finance! We have noted your details and we will get back to you at the ea… https://t.co/aeUwsXx6n0",en,0,0,2021-11-16 18:30:19+00:00,0.0,0.0,Neutral,2021-11-16 18:30:19+00:00,2021-11-16
9,12,"RT @MultipieSocial: We prepared a dashboard comparing Bajaj Finance with Tier 1 Banks. If you want to do a quick analysis of a Bank/ NBFC,…",en,0,0,2021-11-16 18:26:29+00:00,0.5,0.3333333333333333,Positive,2021-11-16 18:26:29+00:00,2021-11-16
10,15,"@joferts Hi, Greetings from Bajaj Finance! With reference to your post , we have shared the necessary resolution on… https://t.co/kvz2ZBXPna",en,0,0,2021-11-16 18:09:27+00:00,1.0,0.0,Neutral,2021-11-16 18:09:27+00:00,2021-11-16
11,16,"@Bajaj_Finance @sanjivrbajaj I have submitted a request for closing of EMI Card Account. World's best company, kind… https://t.co/F2WwIb5pk8",en,0,0,2021-11-16 18:08:50+00:00,0.3,1.0,Positive,2021-11-16 18:08:50+00:00,2021-11-16
12,17,"RT @MultipieSocial: We prepared a dashboard comparing Bajaj Finance with Tier 1 Banks. If you want to do a quick analysis of a Bank/ NBFC,…",en,0,0,2021-11-16 18:07:48+00:00,0.5,0.3333333333333333,Positive,2021-11-16 18:07:48+00:00,2021-11-16
13,18,@khiladikumar71 @Bajaj_Finance @Bajaj_Finserv @aajtak @instagram Hows dat possibl.. mjhe to mera refund 3 din me hi… https://t.co/NriMbbtRyx,en,0,0,2021-11-16 18:07:08+00:00,0.0,0.0,Neutral,2021-11-16 18:07:08+00:00,2021-11-16
14,19,"@mjani57656148 Hi, Greetings from Bajaj Finance! We regret the inconvenience caused. Kindly DM your contact details… https://t.co/IdyNMx67UM",en,0,0,2021-11-16 18:06:33+00:00,0.9,0.6,Positive,2021-11-16 18:06:33+00:00,2021-11-16
15,20,"@sebabratamaji Hi, Greetings from Bajaj Finance! We are happy to help you and would like to call you now, request y… https://t.co/KELzuBCXdq",en,0,0,2021-11-16 18:04:16+00:00,1.0,0.8,Positive,2021-11-16 18:04:16+00:00,2021-11-16
16,21,@Milesh37 @RBLBankCares @rblbank @Bajaj_Finserv @Bajaj_Finance hav u tried getting in touch wid dem here… https://t.co/EjYbh6A5cn,en,0,0,2021-11-16 18:04:05+00:00,0.0,0.0,Neutral,2021-11-16 18:04:05+00:00,2021-11-16
17,22,@Gurjeet27985162 @Bajaj_Finserv @Bajaj_Finance @sanjivrbajaj Hey u can always choose 2 unsubscribe.. here https://t.co/HwhTlRpGVp,en,0,0,2021-11-16 18:00:40+00:00,0.0,0.0,Neutral,2021-11-16 18:00:40+00:00,2021-11-16
18,24,@GirishN42459847 @TRAI @Bajaj_Finserv @airtelindia u shud also try unsubscribeing.. ho jaega.. here u go https://t.co/ZaGKt0cmkj,en,0,0,2021-11-16 17:57:33+00:00,0.0,0.0,Neutral,2021-11-16 17:57:33+00:00,2021-11-16
19,25,@Ae_manya @Bajaj_Finance @Bajaj_Finserv @RBI @RBIsays @jagograhakjago u shud check wid da cmpany here… https://t.co/DtbPwWXhT5,en,0,0,2021-11-16 17:52:00+00:00,0.0,0.0,Neutral,2021-11-16 17:52:00+00:00,2021-11-16
20,26,"@Bajaj_Finance

I'm getting spam SMS from Bajaj Finserv, on my Number 

Even though I never applied or registered o… https://t.co/smEDwHnJYr",en,0,0,2021-11-16 17:51:22+00:00,0.0,0.0,Neutral,2021-11-16 17:51:22+00:00,2021-11-16
21,27,"@laveshdixit @MultipieSocial If you had to bet on a 10x from here, Bajaj Finance would need to become bigger than J… https://t.co/vGuJLD7sMo",en,0,0,2021-11-16 17:48:56+00:00,0.5,0.0,Neutral,2021-11-16 17:48:56+00:00,2021-11-16
22,28,@WealthEnrich Bajaj finance by 2023. May be u need more time atleast 5 years🤔🤔🤔😭,en,0,0,2021-11-16 17:43:24+00:00,0.5,0.5,Positive,2021-11-16 17:43:24+00:00,2021-11-16
23,30,RT @bhupindar_singh: @RBI @DasShaktikanta @nsitharaman @rashtrapatibhvn @PMOIndia @AmitShah @Bajaj_Finserv @Bajaj_Finance @bajajsanjiv what…,en,0,0,2021-11-16 17:33:25+00:00,0.0,0.0,Neutral,2021-11-16 17:33:25+00:00,2021-11-16
24,31,"@KerkettaMukta Hi, Greetings from Bajaj Finance. We’d like to address this at the earliest. Please provide us with… https://t.co/jibtV1Pan0",en,0,0,2021-11-16 17:22:56+00:00,0.0,0.0,Neutral,2021-11-16 17:22:56+00:00,2021-11-16
25,33,"@isequoia Hi, Greetings from Bajaj Finance! With reference to your post, we have shared the necessary resolution on… https://t.co/0NOI3G5COQ",en,0,0,2021-11-16 17:17:00+00:00,1.0,0.0,Neutral,2021-11-16 17:17:00+00:00,2021-11-16
26,34,@LidoLearning &amp; @Bajaj_Finance thise nothing but loot. Customer service is very only for Lido benefits not for the… https://t.co/S3einh4WEv,en,0,0,2021-11-16 17:10:19+00:00,1.0,0.0,Neutral,2021-11-16 17:10:19+00:00,2021-11-16
27,35,@Bajaj_Finance You have responded something else and i was asking for something else.. What a pathetic team,en,0,0,2021-11-16 17:09:22+00:00,1.0,-1.0,Negative,2021-11-16 17:09:22+00:00,2021-11-16
28,36,@Bajaj_Finance it is shameful that you are still deducting the EMI even though I have unenrolled my daughter from… https://t.co/3e8ZK7JhTw,en,0,0,2021-11-16 17:06:23+00:00,0.0,0.0,Neutral,2021-11-16 17:06:23+00:00,2021-11-16
29,40,"@Bajaj_Finance Contact multiple times, really it does not make any sense to talking to dem... Does any wer in d wor… https://t.co/Y5lGpx6Al7",en,0,0,2021-11-16 16:53:53+00:00,0.1,0.1,Positive,2021-11-16 16:53:53+00:00,2021-11-16
30,41,RT @bhupindar_singh: @RBI @DasShaktikanta @nsitharaman @rashtrapatibhvn @PMOIndia @AmitShah @Bajaj_Finserv @Bajaj_Finance @bajajsanjiv what…,en,0,0,2021-11-16 16:52:42+00:00,0.0,0.0,Neutral,2021-11-16 16:52:42+00:00,2021-11-16
31,43,RT @saipavan0510: @bhupindar_singh @Bajaj_Finance @rashtrapatibhvn @ZeeNews @DasShaktikanta @RBI @FinMinIndia @nsitharaman @PMOIndia @AmitS…,en,0,0,2021-11-16 16:51:24+00:00,0.0,0.0,Neutral,2021-11-16 16:51:24+00:00,2021-11-16
32,44,RT @MoratoriumWarr1: @bhupindar_singh @Bajaj_Finance @rashtrapatibhvn @ZeeNews @DasShaktikanta @RBI @FinMinIndia @nsitharaman @PMOIndia @Am…,en,0,0,2021-11-16 16:51:20+00:00,0.0,0.0,Neutral,2021-11-16 16:51:20+00:00,2021-11-16
33,47,RT @bhupindar_singh: @Bajaj_Finance @rashtrapatibhvn @ZeeNews @DasShaktikanta @RBI @FinMinIndia @nsitharaman @PMOIndia @AmitShah @LCAI_Supp…,en,0,0,2021-11-16 16:44:28+00:00,0.0,0.0,Neutral,2021-11-16 16:44:28+00:00,2021-11-16
34,48,"@ur_Satya Hi , Greetings from Bajaj Finance! With reference to your post regarding RBL Super card. We request you t… https://t.co/m6AnAiDwx1",en,0,0,2021-11-16 16:42:38+00:00,0.6666666666666666,0.3333333333333333,Positive,2021-11-16 16:42:38+00:00,2021-11-16
35,49,"@DarshitGor1 Hi, Greetings from Bajaj Finance! We have noted your details and we will get back to you at the earliest. Thank you - Praveen",en,0,0,2021-11-16 16:41:52+00:00,0.0,0.0,Neutral,2021-11-16 16:41:52+00:00,2021-11-16
36,50,"RT @MultipieSocial: We prepared a dashboard comparing Bajaj Finance with Tier 1 Banks. If you want to do a quick analysis of a Bank/ NBFC,…",en,0,0,2021-11-16 16:40:24+00:00,0.5,0.3333333333333333,Positive,2021-11-16 16:40:24+00:00,2021-11-16
