,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,@Bajaj_Finserv my account is blocked fter creating please check Asap,en,0,0,2021-11-16 20:16:41+00:00,0.0,0.0,Neutral,2021-11-16 20:16:41+00:00,2021-11-16
1,1,"I am shocked and surprised about the additional charges, late fee penalty, and the legal notice without any communi… https://t.co/7q4PcIU3nX",en,1,0,2021-11-16 19:15:29+00:00,0.6250000000000001,-0.175,Negative,2021-11-16 19:15:29+00:00,2021-11-16
2,2,RT @sirsha_mukherji: It's a matter of serious concern that most top rated Fraud Money Lending Company @Bajaj_Finserv  is started already ha…,en,0,0,2021-11-16 18:59:34+00:00,0.5555555555555555,0.2222222222222222,Positive,2021-11-16 18:59:34+00:00,2021-11-16
3,3,RT @techindo21: @sirsha_mukherji @Bajaj_Finserv @indSupremeCourt @RBI @DasShaktikanta @FinMinIndia @nsitharaman It seems all the laws and r…,en,0,0,2021-11-16 18:37:51+00:00,0.0,0.0,Neutral,2021-11-16 18:37:51+00:00,2021-11-16
4,4,@rblbank hi RBL I pay my rent throw RBL BAJAJ FINSERV CREDIT CARD but when I set EMI then not processing why? And m… https://t.co/JRm9DmDVj5,en,0,0,2021-11-16 18:33:33+00:00,0.0,0.0,Neutral,2021-11-16 18:33:33+00:00,2021-11-16
5,6,@khiladikumar71 @Bajaj_Finance @Bajaj_Finserv @aajtak @instagram Hows dat possibl.. mjhe to mera refund 3 din me hi… https://t.co/NriMbbtRyx,en,0,0,2021-11-16 18:07:08+00:00,0.0,0.0,Neutral,2021-11-16 18:07:08+00:00,2021-11-16
6,7,@Milesh37 @RBLBankCares @rblbank @Bajaj_Finserv @Bajaj_Finance hav u tried getting in touch wid dem here… https://t.co/EjYbh6A5cn,en,0,0,2021-11-16 18:04:05+00:00,0.0,0.0,Neutral,2021-11-16 18:04:05+00:00,2021-11-16
7,8,@Gurjeet27985162 @Bajaj_Finserv @Bajaj_Finance @sanjivrbajaj Hey u can always choose 2 unsubscribe.. here https://t.co/HwhTlRpGVp,en,0,0,2021-11-16 18:00:40+00:00,0.0,0.0,Neutral,2021-11-16 18:00:40+00:00,2021-11-16
8,9,@SMPANDE26966189 @Bajaj_Finserv i think u shud get in touch wid da cmpany here https://t.co/xf2LIKTrTJ to sort dis out,en,0,0,2021-11-16 17:59:15+00:00,0.0,0.0,Neutral,2021-11-16 17:59:15+00:00,2021-11-16
9,10,@GirishN42459847 @TRAI @Bajaj_Finserv @airtelindia u shud also try unsubscribeing.. ho jaega.. here u go https://t.co/ZaGKt0cmkj,en,0,0,2021-11-16 17:57:33+00:00,0.0,0.0,Neutral,2021-11-16 17:57:33+00:00,2021-11-16
