,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"RT @TelecomTalk: Bharti Airtel Offering 500MB Free Daily Data With This Plan 
#BhartiAirtel #Airtel
https://t.co/BIX2CVwHag",en,0,0,2021-11-16 19:44:41+00:00,0.4,0.2,Positive,2021-11-16 19:44:41+00:00,2021-11-16
1,1,RT @REDBOXINDIA: BHARTI AIRTEL: CO PARTNERS WITH OPEN NETWORK PROVIDER MAVENIR FOR 5G TRIALS - ET PRIME…,en,0,0,2021-11-16 18:54:01+00:00,0.5,0.0,Neutral,2021-11-16 18:54:01+00:00,2021-11-16
2,2,"2G....3G....4G...now 5G

The mobile is so much now all in 5.5 inches games, entertainment, camera, music, payment g… https://t.co/YKYlHqd92h",en,0,0,2021-11-16 18:13:32+00:00,0.2,0.2,Positive,2021-11-16 18:13:32+00:00,2021-11-16
3,5,Bharti Airtel partners with open network provider Mavenir for #5G trials.,en,0,0,2021-11-16 16:03:44+00:00,0.5,0.0,Neutral,2021-11-16 16:03:44+00:00,2021-11-16
4,7,"Buy Bharti Airtel, target price Rs 775:  ICICI Direct Bharti Airtel Ltd., incorporated in the year 1995, is a Large… https://t.co/tvgcCBuoB0",en,0,0,2021-11-16 14:51:03+00:00,0.4,0.1,Positive,2021-11-16 14:51:03+00:00,2021-11-16
5,8,"Stocks that will see action on Nov 16 Buzzing stocks are Escorts, Macrotech, Ashok Leyland, Phoenix Mills, Bharti A… https://t.co/lnjoOS5Rc6",en,0,0,2021-11-16 14:49:03+00:00,0.1,0.1,Positive,2021-11-16 14:49:03+00:00,2021-11-16
6,9,Bharti airtel view for tomorrow - #BHARTIARTL chart on @TradingView https://t.co/ZLnbVXRgYU,en,0,0,2021-11-16 13:37:01+00:00,0.0,0.0,Neutral,2021-11-16 13:37:01+00:00,2021-11-16
7,10,Bharti airtel view for tomorrow - #BHARTIARTL chart on @TradingView https://t.co/1mtiEqRk6N,en,0,0,2021-11-16 13:35:11+00:00,0.0,0.0,Neutral,2021-11-16 13:35:11+00:00,2021-11-16
8,11,"@RajeshT8888 Hi Rajesh, your transaction of Rs.399 to Bharti Airtel Limited under order 68**************36 was succ… https://t.co/CKvCeSjUTb",en,0,0,2021-11-16 13:19:43+00:00,0.1428571428571428,-0.0714285714285714,Negative,2021-11-16 13:19:43+00:00,2021-11-16
9,12,"Bharti Airtel partners with open network provider Mavenir for 5G trials

#Airtel #5GForAll #IDEA  #news https://t.co/rHVuzBUvkv",en,0,0,2021-11-16 12:30:00+00:00,0.5,0.0,Neutral,2021-11-16 12:30:00+00:00,2021-11-16
10,13,"@StocksResearch True, let's from Indus tower, and cause of Indus rally, Bharti airtel shall also rally, cause Airte… https://t.co/apPGQiJMjz",en,0,0,2021-11-16 11:06:27+00:00,0.65,0.35,Positive,2021-11-16 11:06:27+00:00,2021-11-16
