,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,I am still unable to deposit through net banking. Even the prime minister has chaired a meeting pertaining to crypt… https://t.co/PJ233ObNqI,en,0,0,2021-11-16 20:22:38+00:00,0.25,-0.25,Negative,2021-11-16 20:22:38+00:00,2021-11-16
1,3,@vlebazaar_in Can you send transaction ID of the refund. HDFC says not yet refund. Send me transaction details of refund,en,0,0,2021-11-16 20:03:47+00:00,0.0,0.0,Neutral,2021-11-16 20:03:47+00:00,2021-11-16
2,4,"RT @Curious_Indian_: 💎5 Stocks For New Year Profit💎
⚡ HDFC BANK (₹1547)
⚡ SAIL (₹114)
⚡ ICICI BANK (₹764)
⚡ Redington (₹149)
⚡ Axis Bank (₹…",en,0,0,2021-11-16 20:02:34+00:00,0.4545454545454545,0.1363636363636363,Positive,2021-11-16 20:02:34+00:00,2021-11-16
3,5,"Scripbox ties up with Max Life, Aegon Life, HDFC Life to supply time period insurance coverage https://t.co/1Gk3aqKMd6",en,0,0,2021-11-16 20:01:32+00:00,0.0,0.0,Neutral,2021-11-16 20:01:32+00:00,2021-11-16
4,6,@HDFC_Bank can bank recovery officer seize vehicle without any legal notice or without court order and without show… https://t.co/yU8wph0dE9,en,0,0,2021-11-16 20:00:11+00:00,0.2,0.2,Positive,2021-11-16 20:00:11+00:00,2021-11-16
5,16,@BharatVarma3 @HDFC_Bank “Ranting” is a customer service term - #TIL,en,0,0,2021-11-16 19:38:46+00:00,0.0,0.0,Neutral,2021-11-16 19:38:46+00:00,2021-11-16
6,17,WORLDS ECONOMIC: SENSEX DROPS OVER ONE HUNDRED POINTS. HDFC TOP LOS... https://t.co/m9QGSo1CjM,en,0,0,2021-11-16 19:36:01+00:00,0.35,0.35,Positive,2021-11-16 19:36:01+00:00,2021-11-16
7,21,How to foreclose credit card emi of @HDFC_Bank #creditcard ?,en,0,0,2021-11-16 19:31:07+00:00,0.0,0.0,Neutral,2021-11-16 19:31:07+00:00,2021-11-16
8,22,"RT @jigarmist: My article in ET today. 

Q: what was the combined weight of ICICI+SBIN in 2007? 

‘Coz HDFC and Kotak had a stellar decade,…",en,0,0,2021-11-16 19:30:14+00:00,0.25,0.25,Positive,2021-11-16 19:30:14+00:00,2021-11-16
9,24,"@nonnsensei Thanks, i was thinking hdfc but still haven't decided.",en,1,0,2021-11-16 19:24:28+00:00,0.2,0.2,Positive,2021-11-16 19:24:28+00:00,2021-11-16
10,25,"RT @CSCegov_: ATTENTION VLEs!!

EARN Rs.1.5 LAKH as commission on registering 1000 vendors under PM SVANidhi scheme through HDFC...

#CSC #…",en,0,0,2021-11-16 19:17:43+00:00,0.0,0.0,Neutral,2021-11-16 19:17:43+00:00,2021-11-16
11,27,RT @KrishanKapoor27: Seeing the HDFC LTD chart makes you feel that good accumulation is going on. Keep in radar the stock is getting ready…,en,0,0,2021-11-16 19:11:45+00:00,0.6000000000000001,0.7,Positive,2021-11-16 19:11:45+00:00,2021-11-16
12,28,Seeing the HDFC LTD chart makes you feel that good accumulation is going on. Keep in radar the stock is getting rea… https://t.co/qGdFXGNZKG,en,0,1,2021-11-16 19:11:40+00:00,0.6000000000000001,0.7,Positive,2021-11-16 19:11:40+00:00,2021-11-16
13,29,"Jabra Days | 17th - 23rd Nov

Get Complimentary 3 months Amazon Prime Membership

Extra Upto ₹2,000 Off with ICICI/… https://t.co/QYZqVpEcQu",en,0,0,2021-11-16 19:08:31+00:00,0.3,0.15,Positive,2021-11-16 19:08:31+00:00,2021-11-16
14,30,"RT @Arunstockguru: HDFC Bank completed 26 years since its IPO in May 1995.

Without dividends reinvested the CAGR has been 25% .

With divi…",en,0,0,2021-11-16 19:06:01+00:00,0.0,0.0,Neutral,2021-11-16 19:06:01+00:00,2021-11-16
15,31,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 19:04:47+00:00,0.0,0.0,Neutral,2021-11-16 19:04:47+00:00,2021-11-16
16,32,"RT @DealBeeOfficial: Jabra Days | [17th - 23rd Nov. | Get complimentary 3 months Amazon Prime membership

https://t.co/7HO22Un3Hd

Extra up…",en,0,0,2021-11-16 19:04:10+00:00,0.3,0.15,Positive,2021-11-16 19:04:10+00:00,2021-11-16
17,33,"Jabra Days | [17th - 23rd Nov. | Get complimentary 3 months Amazon Prime membership

https://t.co/7HO22Un3Hd

Extra… https://t.co/dHRCYf33ir",en,1,1,2021-11-16 19:03:08+00:00,0.5,0.3,Positive,2021-11-16 19:03:08+00:00,2021-11-16
18,34,"RT @CSCegov_: ATTENTION VLEs!!

EARN Rs.1.5 LAKH as commission on registering 1000 vendors under PM SVANidhi scheme through HDFC...

#CSC #…",en,0,0,2021-11-16 19:02:15+00:00,0.0,0.0,Neutral,2021-11-16 19:02:15+00:00,2021-11-16
19,35,"@HDFC_Bank @HDFCBank_Cares, kindly connect me to the CUstomer Support as I am unable to connect with them.",en,0,0,2021-11-16 19:01:09+00:00,0.7,0.0499999999999999,Positive,2021-11-16 19:01:09+00:00,2021-11-16
20,36,"RT @FinMedium: Today's Infographic: Leading Private Sector Banks as per CASA Ratio &amp; Deposits

🏛️ Kotak - 60.6%
🏛️ J&amp;K Bank - 55.3%
🏛️ IDBI…",en,0,0,2021-11-16 18:59:48+00:00,0.375,0.0,Neutral,2021-11-16 18:59:48+00:00,2021-11-16
21,37,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 18:45:19+00:00,0.0,0.0,Neutral,2021-11-16 18:45:19+00:00,2021-11-16
22,38,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 18:41:09+00:00,0.0,0.0,Neutral,2021-11-16 18:41:09+00:00,2021-11-16
23,40,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 18:39:05+00:00,0.0,0.0,Neutral,2021-11-16 18:39:05+00:00,2021-11-16
24,41,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 18:38:51+00:00,0.0,0.0,Neutral,2021-11-16 18:38:51+00:00,2021-11-16
25,42,"RT @connectgurmeet: I left HDFC bank in 2006 n did not vest by ESOPs. Got carried away by 25% salary hike n switched

Realised my mistake i…",en,0,0,2021-11-16 18:36:21+00:00,0.0,0.0,Neutral,2021-11-16 18:36:21+00:00,2021-11-16
26,43,@HDFC_Bank I am applying for credit https://t.co/sOy8KAWeQ7 status is approved .how many days we get my credit card… https://t.co/ZKDU9xUmky,en,0,0,2021-11-16 18:35:22+00:00,0.5,0.5,Positive,2021-11-16 18:35:22+00:00,2021-11-16
27,44,"RT @HDFCBankNews: Through its Parivartan programme, @HDFC_Bank has joined hands with the Kolkata Police and Kolkata Metropolitan Developmen…",en,0,0,2021-11-16 18:34:22+00:00,0.0,0.0,Neutral,2021-11-16 18:34:22+00:00,2021-11-16
28,45,"@Mitesh_Engr Right 👍 , but high weightage stocks of  Nifty and BN there are significant delivery % (More than 50).… https://t.co/H25NRGX8hu",en,0,0,2021-11-16 18:34:03+00:00,0.6126785714285714,0.3301785714285714,Positive,2021-11-16 18:34:03+00:00,2021-11-16
29,46,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 18:33:04+00:00,0.0,0.0,Neutral,2021-11-16 18:33:04+00:00,2021-11-16
30,47,"@travolook What do you guys need to initiate refund? This is so pathetic, when I haven't received any refund how ca… https://t.co/tl3qZE95iU",en,0,0,2021-11-16 18:31:16+00:00,1.0,-1.0,Negative,2021-11-16 18:31:16+00:00,2021-11-16
31,48,"Bulk Deals | Abakkus picks 1.3% stake in TV Today, Pioneer Investment Fund buys 1% shares in Tanla Platforms  Inves… https://t.co/iMdR0XCyWP",en,0,0,2021-11-16 18:30:53+00:00,0.0,0.0,Neutral,2021-11-16 18:30:53+00:00,2021-11-16
32,49,"@HDFC_Bank So, My Dear Bank!",en,0,0,2021-11-16 18:30:47+00:00,0.0,0.0,Neutral,2021-11-16 18:30:47+00:00,2021-11-16
33,50,"@HDFC_Bank @InterMiles The Best Bank! I like a pure quality , just like you #myhdfc",en,0,0,2021-11-16 18:25:41+00:00,0.4,0.6071428571428571,Positive,2021-11-16 18:25:41+00:00,2021-11-16
