,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,I am still unable to deposit through net banking. Even the prime minister has chaired a meeting pertaining to crypt… https://t.co/PJ233ObNqI,en,0,0,2021-11-16 20:22:38+00:00,0.25,-0.25,Negative,2021-11-16 20:22:38+00:00,2021-11-16
1,1,"RT @Curious_Indian_: 💎5 Stocks For New Year Profit💎
⚡ HDFC BANK (₹1547)
⚡ SAIL (₹114)
⚡ ICICI BANK (₹764)
⚡ Redington (₹149)
⚡ Axis Bank (₹…",en,0,0,2021-11-16 20:02:34+00:00,0.4545454545454545,0.1363636363636363,Positive,2021-11-16 20:02:34+00:00,2021-11-16
2,2,@HDFC_Bank can bank recovery officer seize vehicle without any legal notice or without court order and without show… https://t.co/yU8wph0dE9,en,0,0,2021-11-16 20:00:11+00:00,0.2,0.2,Positive,2021-11-16 20:00:11+00:00,2021-11-16
3,6,@BharatVarma3 @HDFC_Bank “Ranting” is a customer service term - #TIL,en,0,0,2021-11-16 19:38:46+00:00,0.0,0.0,Neutral,2021-11-16 19:38:46+00:00,2021-11-16
4,8,How to foreclose credit card emi of @HDFC_Bank #creditcard ?,en,0,0,2021-11-16 19:31:07+00:00,0.0,0.0,Neutral,2021-11-16 19:31:07+00:00,2021-11-16
5,10,"RT @Arunstockguru: HDFC Bank completed 26 years since its IPO in May 1995.

Without dividends reinvested the CAGR has been 25% .

With divi…",en,0,0,2021-11-16 19:06:01+00:00,0.0,0.0,Neutral,2021-11-16 19:06:01+00:00,2021-11-16
6,11,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 19:04:47+00:00,0.0,0.0,Neutral,2021-11-16 19:04:47+00:00,2021-11-16
7,12,"@HDFC_Bank @HDFCBank_Cares, kindly connect me to the CUstomer Support as I am unable to connect with them.",en,0,0,2021-11-16 19:01:09+00:00,0.7,0.0499999999999999,Positive,2021-11-16 19:01:09+00:00,2021-11-16
8,13,"RT @FinMedium: Today's Infographic: Leading Private Sector Banks as per CASA Ratio &amp; Deposits

🏛️ Kotak - 60.6%
🏛️ J&amp;K Bank - 55.3%
🏛️ IDBI…",en,0,0,2021-11-16 18:59:48+00:00,0.375,0.0,Neutral,2021-11-16 18:59:48+00:00,2021-11-16
9,14,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 18:45:19+00:00,0.0,0.0,Neutral,2021-11-16 18:45:19+00:00,2021-11-16
10,15,"RT @Prakashplutus: FIIs positioning in stock markets :

Hypothetical E.g :

FIIs having 100 Shares of HDFC bank since 2005 &amp; they bought an…",en,0,0,2021-11-16 18:41:09+00:00,0.0,0.0,Neutral,2021-11-16 18:41:09+00:00,2021-11-16
