,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"What Went Wrong At IndusInd Bank's Microfinance
Unit?   https://t.co/eKH6xPl9Jo",en,0,0,2021-11-16 20:06:11+00:00,0.9,-0.5,Negative,2021-11-16 20:06:11+00:00,2021-11-16
1,1,#INDUSINDBK - Bullisg Crab Pattern Form In Indusind Bank - TradingView - https://t.co/07sM9fjmtk,en,3,0,2021-11-16 19:30:02+00:00,0.0,0.0,Neutral,2021-11-16 19:30:02+00:00,2021-11-16
2,2,RT @blind_cricket: The @blind_cricket in association with @SamarthanamTFTD inaugurated the 4th Edition of  IndusInd bank Nagesh Trophy Cric…,en,0,0,2021-11-16 19:14:35+00:00,0.0,0.0,Neutral,2021-11-16 19:14:35+00:00,2021-11-16
3,3,"RT @MyIndusIndBank: Fraudsters do not have a name, face or identity. Beware of hackers and enjoy hassle-free banking with IndusInd Bank.
#I…",en,0,0,2021-11-16 19:00:17+00:00,0.5,0.4,Positive,2021-11-16 19:00:17+00:00,2021-11-16
4,4,"RT @finologyticker: Some companies where Promoters Pledging have increased QoQ⚠

IndusInd Bank
Aurobindo Pharma
Bharat Forge
Ramco Cements…",en,0,0,2021-11-16 18:55:51+00:00,0.0,0.0,Neutral,2021-11-16 18:55:51+00:00,2021-11-16
5,5,"RT @BloombergQuint: What went wrong at IndusInd Bank's microfinance unit? @Vishwanath4389 brings you the details.

Read: https://t.co/KUKyG…",en,0,0,2021-11-16 18:34:38+00:00,0.9,-0.5,Negative,2021-11-16 18:34:38+00:00,2021-11-16
6,6,"RT @BloombergQuint: What went wrong at IndusInd Bank's microfinance unit? @Vishwanath4389 brings you the details.

Read: https://t.co/KUKyG…",en,0,0,2021-11-16 18:30:44+00:00,0.9,-0.5,Negative,2021-11-16 18:30:44+00:00,2021-11-16
7,7,"RT @BloombergQuint: What went wrong at IndusInd Bank's microfinance unit? @Vishwanath4389 brings you the details.

Read: https://t.co/KUKyG…",en,0,0,2021-11-16 18:25:33+00:00,0.9,-0.5,Negative,2021-11-16 18:25:33+00:00,2021-11-16
8,8,"What went wrong at IndusInd Bank's microfinance unit? @Vishwanath4389 brings you the details.

Read:… https://t.co/AXh4f9HFNN",en,9,3,2021-11-16 18:18:42+00:00,0.9,-0.5,Negative,2021-11-16 18:18:42+00:00,2021-11-16
9,9,"RT @finologyticker: Some companies where Promoters Pledging have increased QoQ⚠

IndusInd Bank
Aurobindo Pharma
Bharat Forge
Ramco Cements…",en,0,0,2021-11-16 18:15:45+00:00,0.0,0.0,Neutral,2021-11-16 18:15:45+00:00,2021-11-16
