,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"For folks interested in learning more about SAP's industry cloud and @SAPStore, don't miss @Infosys' session about… https://t.co/Fq1HiNYlsg",en,0,0,2021-11-16 20:29:12+00:00,0.5,0.375,Positive,2021-11-16 20:29:12+00:00,2021-11-16
1,2,"RT @JimMarous: Great interview with two great bank innovation minds.

https://t.co/L5OsoG2eKi

#banking #fintech #innovation #BankingTranfo…",en,0,0,2021-11-16 20:13:49+00:00,0.75,0.8,Positive,2021-11-16 20:13:49+00:00,2021-11-16
2,3,"RT @no_bollocks: @BorisJohnson Wife's shares: https://t.co/nXpwQbGWpt

Contract [Infosys] https://t.co/2DXX7dqDv1

Ministerial code [specif…",en,0,0,2021-11-16 20:10:54+00:00,0.0,0.0,Neutral,2021-11-16 20:10:54+00:00,2021-11-16
3,4,RT @itpfed: Customer Experiences in Modernizing SAP Applications with a Cloud Operating Model https://t.co/7SLuTFRix3 #itpfed,en,0,0,2021-11-16 19:53:07+00:00,0.0,0.0,Neutral,2021-11-16 19:53:07+00:00,2021-11-16
4,5,"RT @connectgurmeet: Started stock SIP in Infosys and TCS around 8-9 years back. 

The dividend now exceeds my total SIP contribution for th…",en,0,0,2021-11-16 19:46:55+00:00,0.375,0.0,Neutral,2021-11-16 19:46:55+00:00,2021-11-16
5,6,"RT @JimMarous: Great interview with two great bank innovation minds.

https://t.co/L5OsoG2eKi

#banking #fintech #innovation #BankingTranfo…",en,0,0,2021-11-16 19:30:05+00:00,0.75,0.8,Positive,2021-11-16 19:30:05+00:00,2021-11-16
6,7,"RT @connectgurmeet: Started stock SIP in Infosys and TCS around 8-9 years back. 

The dividend now exceeds my total SIP contribution for th…",en,0,0,2021-11-16 19:26:17+00:00,0.375,0.0,Neutral,2021-11-16 19:26:17+00:00,2021-11-16
7,8,"RT @connectgurmeet: Started stock SIP in Infosys and TCS around 8-9 years back. 

The dividend now exceeds my total SIP contribution for th…",en,0,0,2021-11-16 19:12:41+00:00,0.375,0.0,Neutral,2021-11-16 19:12:41+00:00,2021-11-16
8,9,"RT @blueacornici: Here’s to one year of being a member of the @Infosys family! Over the last year, we’ve achieved great things together and…",en,0,0,2021-11-16 19:11:54+00:00,0.4083333333333333,0.4,Positive,2021-11-16 19:11:54+00:00,2021-11-16
9,11,"RT @economistimpact: National #netzero commitments are rapidly evolving as countries negotiate for a healthier, greener future. This is whe…",en,0,0,2021-11-16 19:10:16+00:00,0.125,0.0,Neutral,2021-11-16 19:10:16+00:00,2021-11-16
10,12,"@ashokhjainaj @Save_SMEs @Infosys_GSTN @Anurag_Office Never reflected in case courier, may intimate to JO",en,0,0,2021-11-16 19:02:48+00:00,0.6,0.2,Positive,2021-11-16 19:02:48+00:00,2021-11-16
11,13,Harness the full potential of your data and cloud investments with #NextGenDataManagement Solutions by @Cohesity an… https://t.co/wzAITWNPrX,en,0,0,2021-11-16 19:02:33+00:00,0.775,0.175,Positive,2021-11-16 19:02:33+00:00,2021-11-16
12,14,"RT @KiranKS: Infosys Foundation has built a 350-bed cardiac hospital complex in the govt owned Jayadeva hospital, Bengaluru.

₹103 crore.
2…",en,0,0,2021-11-16 19:02:04+00:00,0.2,-0.175,Negative,2021-11-16 19:02:04+00:00,2021-11-16
13,15,"RT @SAPStore: In this #SAPTechEd session, learn about industry partner @Infosys' experiences working with our industry cloud, COIL, IBU, an…",en,0,0,2021-11-16 18:56:37+00:00,0.0,0.0,Neutral,2021-11-16 18:56:37+00:00,2021-11-16
14,16,@Bhagwat52627216 @Save_SMEs @Infosys_GSTN @Anurag_Office Sir we import thr courier mode. And it is done thr ECCS so… https://t.co/6SdQGU0TEG,en,0,0,2021-11-16 18:55:47+00:00,0.0,0.0,Neutral,2021-11-16 18:55:47+00:00,2021-11-16
15,17,"RT @connectgurmeet: Started stock SIP in Infosys and TCS around 8-9 years back. 

The dividend now exceeds my total SIP contribution for th…",en,0,0,2021-11-16 18:54:32+00:00,0.375,0.0,Neutral,2021-11-16 18:54:32+00:00,2021-11-16
16,18,"RT @economistimpact: National #netzero commitments are rapidly evolving as countries negotiate for a healthier, greener future. This is whe…",en,0,0,2021-11-16 18:51:46+00:00,0.125,0.0,Neutral,2021-11-16 18:51:46+00:00,2021-11-16
17,19,"In this #SAPTechEd session, learn about industry partner @Infosys' experiences working with our industry cloud, COI… https://t.co/JGEPkq3pgl",en,0,1,2021-11-16 18:50:01+00:00,0.0,0.0,Neutral,2021-11-16 18:50:01+00:00,2021-11-16
18,21,RT @RI_UtilitySvcs: Excited to be part of this panel with @Infosys &amp; @SCE on how #EnergySoftware is encouraging customers to reduce their #…,en,0,0,2021-11-16 18:46:04+00:00,0.75,0.375,Positive,2021-11-16 18:46:04+00:00,2021-11-16
19,23,"RT @connectgurmeet: Started stock SIP in Infosys and TCS around 8-9 years back. 

The dividend now exceeds my total SIP contribution for th…",en,0,0,2021-11-16 18:42:55+00:00,0.375,0.0,Neutral,2021-11-16 18:42:55+00:00,2021-11-16
20,24,RT @kunal33428149: ARN AA0708200334992 already submitted for gst cancellation on 16-08-2020. But it’s still pending. Can anyone solve out t…,en,0,0,2021-11-16 18:40:21+00:00,0.0,0.0,Neutral,2021-11-16 18:40:21+00:00,2021-11-16
21,25,"National #netzero commitments are rapidly evolving as countries negotiate for a healthier, greener future. This is… https://t.co/pcQjNLKefT",en,4,2,2021-11-16 18:39:47+00:00,0.125,0.0,Neutral,2021-11-16 18:39:47+00:00,2021-11-16
22,26,"RT @connectgurmeet: Started stock SIP in Infosys and TCS around 8-9 years back. 

The dividend now exceeds my total SIP contribution for th…",en,0,0,2021-11-16 18:37:20+00:00,0.375,0.0,Neutral,2021-11-16 18:37:20+00:00,2021-11-16
23,27,"Here’s to one year of being a member of the @Infosys family! Over the last year, we’ve achieved great things togeth… https://t.co/FVcpnjB22b",en,1,1,2021-11-16 18:35:08+00:00,0.4083333333333333,0.4,Positive,2021-11-16 18:35:08+00:00,2021-11-16
24,28,Infosys Cobalt and MIT Technology Review Insights Launch ‘The Cloud Hub’ – A One-Stop Destination to Help Enterpris… https://t.co/Z9ktu9psVV,en,0,0,2021-11-16 18:33:54+00:00,0.0,0.0,Neutral,2021-11-16 18:33:54+00:00,2021-11-16
25,29,Infosys Cobalt and MIT Technology Review Insights Launch ‘The Cloud Hub’ – A One-Stop Destination to Help Enterpris… https://t.co/eVtyTjh3Ie,en,0,0,2021-11-16 18:33:53+00:00,0.0,0.0,Neutral,2021-11-16 18:33:53+00:00,2021-11-16
26,30,Infosys Cobalt and MIT Technology Review Insights Launch ‘The Cloud Hub’ – A One-Stop Destination to Help Enterpris… https://t.co/lYXpw6x1Pb,en,0,0,2021-11-16 18:33:44+00:00,0.0,0.0,Neutral,2021-11-16 18:33:44+00:00,2021-11-16
27,31,Infosys Cobalt and MIT Technology Review Insights Launch ‘The Cloud Hub’ – A One-Stop Destination to Help Enterpris… https://t.co/4vCrEBWoy8,en,0,0,2021-11-16 18:33:43+00:00,0.0,0.0,Neutral,2021-11-16 18:33:43+00:00,2021-11-16
28,32,"RT @connectgurmeet: Started stock SIP in Infosys and TCS around 8-9 years back. 

The dividend now exceeds my total SIP contribution for th…",en,0,0,2021-11-16 18:32:49+00:00,0.375,0.0,Neutral,2021-11-16 18:32:49+00:00,2021-11-16
29,33,"@ashokhjainaj @Save_SMEs @Infosys_GSTN @Anurag_Office If BOE reflected on ice gate portal with correct gstin, then… https://t.co/7JkjL7ngqG",en,1,0,2021-11-16 18:31:48+00:00,0.0,0.0,Neutral,2021-11-16 18:31:48+00:00,2021-11-16
30,34,Listen to the experts from @Infosys and @MicroFocus as they discuss common challenges that enterprises face in main… https://t.co/wcLke6tdoC,en,0,1,2021-11-16 18:30:17+00:00,0.5,-0.3,Negative,2021-11-16 18:30:17+00:00,2021-11-16
