,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:33:50+00:00,0.5,0.0625,Positive,2021-11-16 20:33:50+00:00,2021-11-16
1,1,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:31:24+00:00,0.75,0.8,Positive,2021-11-16 20:31:24+00:00,2021-11-16
2,2,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:31:18+00:00,0.5,0.0625,Positive,2021-11-16 20:31:18+00:00,2021-11-16
3,3,@Mookie_itc What i do? 😭😭,en,0,0,2021-11-16 20:31:07+00:00,0.0,0.0,Neutral,2021-11-16 20:31:07+00:00,2021-11-16
4,4,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:29:58+00:00,0.5,0.0625,Positive,2021-11-16 20:29:58+00:00,2021-11-16
5,5,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:29:35+00:00,0.5,0.0625,Positive,2021-11-16 20:29:35+00:00,2021-11-16
6,6,"RT @S_Sivakumar: The second Mementos also goes to Rajasthan. This one is in Jaipur. 
#ITCHotels 

https://t.co/haqDo72XIm",en,0,0,2021-11-16 20:28:41+00:00,0.0,0.0,Neutral,2021-11-16 20:28:41+00:00,2021-11-16
7,7,"RT @S_Sivakumar: Mementos by ITC - the latest brand in the ITC Hotels’ bouquet, has signed up its first property Ekaaya in Udaipur
https://…",en,0,0,2021-11-16 20:28:35+00:00,0.6166666666666667,0.375,Positive,2021-11-16 20:28:35+00:00,2021-11-16
8,8,RT @TheJawsomesauce: $HCMC sorta news. $PM got the 1st RJR patent invalidated (this one is for a charging case) of the 6 patents in RJR's c…,en,0,0,2021-11-16 20:27:44+00:00,0.0,0.0,Neutral,2021-11-16 20:27:44+00:00,2021-11-16
9,9,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:27:20+00:00,0.5,0.0625,Positive,2021-11-16 20:27:20+00:00,2021-11-16
10,10,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:26:36+00:00,0.5,0.0625,Positive,2021-11-16 20:26:36+00:00,2021-11-16
11,11,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:25:36+00:00,0.5,0.0625,Positive,2021-11-16 20:25:36+00:00,2021-11-16
12,12,RT @TheJawsomesauce: $HCMC sorta news. $PM got the 1st RJR patent invalidated (this one is for a charging case) of the 6 patents in RJR's c…,en,0,0,2021-11-16 20:24:21+00:00,0.0,0.0,Neutral,2021-11-16 20:24:21+00:00,2021-11-16
13,13,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:24:16+00:00,0.5,0.0625,Positive,2021-11-16 20:24:16+00:00,2021-11-16
14,14,"RT @OptionInfinity: #ITC 
#Marked_all_the_Zones
#Multiple_Trade_opportunities

#DemandSupply
#PriceAction
#Nifty
#BankNifty

^TG Primary Gr…",en,0,0,2021-11-16 20:22:04+00:00,0.5,0.4,Positive,2021-11-16 20:22:04+00:00,2021-11-16
15,15,"RT @robdavidellis: PLS RT! 
🚨 QUICK TURNAROUND THEATRE JOB 🚨
Looking for a Stage Manager to run a show for a week at @Iristheatre in Covent…",en,0,0,2021-11-16 20:21:25+00:00,0.5,0.3333333333333333,Positive,2021-11-16 20:21:25+00:00,2021-11-16
16,17,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:19:41+00:00,0.5,0.0625,Positive,2021-11-16 20:19:41+00:00,2021-11-16
17,19,"RT @DAmmannaya: ITC - Making the right moves!

B Natural is now part of McD Happy meal!

#ITC 
#investing 

https://t.co/kvS2ZsLlRu https:/…",en,0,0,2021-11-16 20:19:17+00:00,0.6452380952380953,0.4857142857142857,Positive,2021-11-16 20:19:17+00:00,2021-11-16
18,20,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:19:02+00:00,0.75,0.8,Positive,2021-11-16 20:19:02+00:00,2021-11-16
19,21,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:15:14+00:00,0.75,0.8,Positive,2021-11-16 20:15:14+00:00,2021-11-16
20,22,RT @aditya_kondawar: McDonald's (Westlife) and ITC join hands for Happy Meals https://t.co/bhqalU9m2V,en,0,0,2021-11-16 20:14:34+00:00,1.0,0.8,Positive,2021-11-16 20:14:34+00:00,2021-11-16
21,23,RT @ca_mehtaravi: One Maruti type move want in ITC also.😜😜,en,0,0,2021-11-16 20:14:34+00:00,0.0,0.0,Neutral,2021-11-16 20:14:34+00:00,2021-11-16
22,26,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:11:47+00:00,0.75,0.8,Positive,2021-11-16 20:11:47+00:00,2021-11-16
23,27,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:09:58+00:00,0.75,0.8,Positive,2021-11-16 20:09:58+00:00,2021-11-16
24,28,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:09:10+00:00,0.5,0.0625,Positive,2021-11-16 20:09:10+00:00,2021-11-16
25,29,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:09:03+00:00,0.5,0.0625,Positive,2021-11-16 20:09:03+00:00,2021-11-16
26,30,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:08:41+00:00,0.75,0.8,Positive,2021-11-16 20:08:41+00:00,2021-11-16
27,31,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:08:32+00:00,0.5,0.0625,Positive,2021-11-16 20:08:32+00:00,2021-11-16
28,32,"RT @Cisco: Our goal for a #sustainable future? 

♲ Carbon Neutral by 2025 
♲ Zero Emissions by 2040 

Cisco's @andrewsage shares with @CRN…",en,0,0,2021-11-16 20:08:29+00:00,0.125,0.0,Neutral,2021-11-16 20:08:29+00:00,2021-11-16
29,33,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:08:07+00:00,0.75,0.8,Positive,2021-11-16 20:08:07+00:00,2021-11-16
30,34,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:08:02+00:00,0.5,0.0625,Positive,2021-11-16 20:08:02+00:00,2021-11-16
31,35,"Our goal for a #sustainable future? 

♲ Carbon Neutral by 2025 
♲ Zero Emissions by 2040 

Cisco's @andrewsage shar… https://t.co/BKyM4Cajei",en,3,1,2021-11-16 20:08:00+00:00,0.125,0.0,Neutral,2021-11-16 20:08:00+00:00,2021-11-16
32,36,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:07:58+00:00,0.75,0.8,Positive,2021-11-16 20:07:58+00:00,2021-11-16
33,37,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:07:09+00:00,0.5,0.0625,Positive,2021-11-16 20:07:09+00:00,2021-11-16
34,38,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:06:35+00:00,0.5,0.0625,Positive,2021-11-16 20:06:35+00:00,2021-11-16
35,39,Doctrine of Equivalents can play a significant role in #biotech litigation as a mechanism to hold a party liable fo… https://t.co/gKxMYmbHdk,en,0,0,2021-11-16 20:06:00+00:00,0.6875,0.1375,Positive,2021-11-16 20:06:00+00:00,2021-11-16
36,40,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:05:37+00:00,0.75,0.8,Positive,2021-11-16 20:05:37+00:00,2021-11-16
37,41,RT @aditya_kondawar: McDonald's (Westlife) and ITC join hands for Happy Meals https://t.co/bhqalU9m2V,en,0,0,2021-11-16 20:05:05+00:00,1.0,0.8,Positive,2021-11-16 20:05:05+00:00,2021-11-16
38,42,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:04:23+00:00,0.5,0.0625,Positive,2021-11-16 20:04:23+00:00,2021-11-16
39,43,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:04:22+00:00,0.75,0.8,Positive,2021-11-16 20:04:22+00:00,2021-11-16
40,44,"RT @_TheCMC: CMC co-founder, @CWilkensPhD, and @TheDormConnects are hosting a roundtable discussion about the Invitation to Change (ITC) me…",en,0,0,2021-11-16 20:04:21+00:00,0.0,0.0,Neutral,2021-11-16 20:04:21+00:00,2021-11-16
41,46,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:03:37+00:00,0.5,0.0625,Positive,2021-11-16 20:03:37+00:00,2021-11-16
42,48,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:01:52+00:00,0.5,0.0625,Positive,2021-11-16 20:01:52+00:00,2021-11-16
43,49,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 20:00:54+00:00,0.5,0.0625,Positive,2021-11-16 20:00:54+00:00,2021-11-16
44,50,RT @LenkaBula: GREAT NEWS🥂💻🥰😜 College of Accounting Sciences @Unisa has registered 13% improvements in ITC Exams (CAs) results🙏From 39% to…,en,0,0,2021-11-16 20:00:35+00:00,0.75,0.8,Positive,2021-11-16 20:00:35+00:00,2021-11-16
45,51,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 19:59:23+00:00,0.5,0.0625,Positive,2021-11-16 19:59:23+00:00,2021-11-16
46,52,"RT @insightfactor: 🔴Unisa Students Cruise Through CAs🔴

UNISA has scored a major 13% improvement in ITC Exam (CAs) results. The South Afric…",en,0,0,2021-11-16 19:58:53+00:00,0.5,0.0625,Positive,2021-11-16 19:58:53+00:00,2021-11-16
