,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"Kotak Mahindra Bank, PVR launch co-branded debit card – Jammu Kashmir Latest News | Tourism | Breaking News J&amp;K https://t.co/39AADOQUWx",en,0,0,2021-11-16 20:20:24+00:00,0.9,0.5,Positive,2021-11-16 20:20:24+00:00,2021-11-16
1,1,"RT @_PVRCinemas: India's First Movie Debit Card 

Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit card th…",en,0,0,2021-11-16 20:12:41+00:00,0.3333333333333333,0.25,Positive,2021-11-16 20:12:41+00:00,2021-11-16
2,2,"RT @_PVRCinemas: India's First Movie Debit Card 

Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit card th…",en,0,0,2021-11-16 20:10:47+00:00,0.3333333333333333,0.25,Positive,2021-11-16 20:10:47+00:00,2021-11-16
3,3,"- Applicants must be at least 18 years of age or older.
- The applicant must be a citizen of India.
- The applicant… https://t.co/xE9u2iSLdb",en,0,0,2021-11-16 19:48:06+00:00,0.3666666666666667,-0.0666666666666666,Negative,2021-11-16 19:48:06+00:00,2021-11-16
4,4,"Eligibility For Kotak 811 Zero Balance Account

To apply for Kotak Mahindra Bank 811 (https://t.co/zEFHI1gCCu) Savi… https://t.co/oe4ob7p3J3",en,0,0,2021-11-16 19:48:05+00:00,0.0,0.0,Neutral,2021-11-16 19:48:05+00:00,2021-11-16
5,5,"Document Required For Kotak 811 Zero Balance Account

The following supporting documents are to be submitted to app… https://t.co/ULeTi8F8Cf",en,0,0,2021-11-16 19:48:04+00:00,0.175,0.125,Positive,2021-11-16 19:48:04+00:00,2021-11-16
6,6,Did you know that Kotak Bank's Zero Balance Account Opening Method is very simple? you can open your Zero Balance A… https://t.co/p3HhkoQfmL,en,0,0,2021-11-16 19:47:57+00:00,0.4821428571428571,0.0,Neutral,2021-11-16 19:47:57+00:00,2021-11-16
7,7,"My dear friends, I wish you had a zero balance account in a private bank. Here is some great information for you to… https://t.co/W2UGRwiDDW",en,0,0,2021-11-16 19:47:57+00:00,0.5625,0.4,Positive,2021-11-16 19:47:57+00:00,2021-11-16
8,8,"RT @_PVRCinemas: India's First Movie Debit Card 

Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit card th…",en,0,0,2021-11-16 19:44:58+00:00,0.3333333333333333,0.25,Positive,2021-11-16 19:44:58+00:00,2021-11-16
9,9,"#KotakMahindraBank, #PVR launch co-branded debit card.
https://t.co/PAK31tCtBB",en,5,0,2021-11-16 19:00:00+00:00,0.0,0.0,Neutral,2021-11-16 19:00:00+00:00,2021-11-16
10,10,"RT @_PVRCinemas: India's First Movie Debit Card 

Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit card th…",en,0,0,2021-11-16 18:48:37+00:00,0.3333333333333333,0.25,Positive,2021-11-16 18:48:37+00:00,2021-11-16
11,12,"PVR Cinemas, Kotak Mahindra Bank launch co-branded movie debit card [Automated tweet] https://t.co/74YnfVXnf7",en,0,0,2021-11-16 18:03:02+00:00,0.0,0.0,Neutral,2021-11-16 18:03:02+00:00,2021-11-16
12,13,"RT @kmbfailedcs: @jayaprabhu121 

May assist your cause
https://t.co/ywbC4bqUqu

https://t.co/LAmTXnuIaj

https://t.co/9XHilHQRO3",en,0,0,2021-11-16 17:13:28+00:00,0.0,0.0,Neutral,2021-11-16 17:13:28+00:00,2021-11-16
13,14,"@jayaprabhu121 

May assist your cause
https://t.co/ywbC4bqUqu

https://t.co/LAmTXnuIaj

https://t.co/9XHilHQRO3",en,1,1,2021-11-16 16:40:02+00:00,0.0,0.0,Neutral,2021-11-16 16:40:02+00:00,2021-11-16
14,15,@AbhishekZao Hi! We request you to visit any of the nearest Kotak Mahindra Branch Mon to Sat (except bank holidays)… https://t.co/EA82N5Bh6H,en,0,0,2021-11-16 16:35:06+00:00,0.0,0.0,Neutral,2021-11-16 16:35:06+00:00,2021-11-16
15,16,Problems of a small customer doesn't matter to the kotak mahindra bank because bank doesn't waste its precious time… https://t.co/8kdHTOjExy,en,0,0,2021-11-16 16:30:52+00:00,0.4666666666666666,0.0166666666666666,Positive,2021-11-16 16:30:52+00:00,2021-11-16
16,17,"India's First Movie Debit Card 

Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit… https://t.co/GidOKa4oUy",en,36,5,2021-11-16 16:29:25+00:00,0.3333333333333333,0.25,Positive,2021-11-16 16:29:25+00:00,2021-11-16
17,18,"RT @moneycontrolcom: Joining vouchers, reward points &amp; more! Here's all you need to know about the Kotak PVR Movie Debit Card: https://t.co…",en,0,0,2021-11-16 16:11:04+00:00,0.5,0.625,Positive,2021-11-16 16:11:04+00:00,2021-11-16
18,20,"Joining vouchers, reward points &amp; more! Here's all you need to know about the Kotak PVR Movie Debit Card:… https://t.co/ez2VExHND0",en,10,1,2021-11-16 15:58:56+00:00,0.5,0.625,Positive,2021-11-16 15:58:56+00:00,2021-11-16
19,22,"*Kotak Mahindra Bank Limited (413,537 Cr.)*
 Jaimin Bhatt (Key Managerial Personnel) SOLD 5000 shares, value 104260… https://t.co/50mxi8pj66",en,0,0,2021-11-16 15:30:04+00:00,0.5714285714285714,-0.0357142857142857,Negative,2021-11-16 15:30:04+00:00,2021-11-16
20,23,RT @_PVRCinemas: Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit card that credits your entertainment.…,en,0,0,2021-11-16 15:06:27+00:00,0.0,0.0,Neutral,2021-11-16 15:06:27+00:00,2021-11-16
21,24,"Falguni Nayar's CV 👇

- IIM-A grad
- Manager, AF Ferguson &amp; Co.
- Director, Kotak Securities
- MD, Kotak Mahindra I… https://t.co/xmJJNzuh8n",en,2,0,2021-11-16 15:02:07+00:00,0.0,0.0,Neutral,2021-11-16 15:02:07+00:00,2021-11-16
22,25,"Kotak Mahindra Bank launches co-branded debit card with PVR, these benefits will be available on booking tickets. K… https://t.co/DwLjs0Hyla",en,0,0,2021-11-16 14:31:35+00:00,0.4,0.4,Positive,2021-11-16 14:31:35+00:00,2021-11-16
23,26,@vishtnv I have raised the cyber complaint with police.. I am also talking to Kotak Mahindra bank.. they are interacting...,en,0,0,2021-11-16 14:08:35+00:00,0.2,-0.3,Negative,2021-11-16 14:08:35+00:00,2021-11-16
24,27,"Kotak Mahindra Bank, PVR launch co-branded debit card https://t.co/e5YApX6qmu",en,0,0,2021-11-16 13:51:39+00:00,0.0,0.0,Neutral,2021-11-16 13:51:39+00:00,2021-11-16
25,28,"RT @Mittermaniac: Falguni Nayar's CV 👇

- IIM-A grad
- Manager, AF Ferguson &amp; Co.
- Director, Kotak Securities
- MD, Kotak Mahindra Investm…",en,0,0,2021-11-16 13:50:12+00:00,0.0,0.0,Neutral,2021-11-16 13:50:12+00:00,2021-11-16
26,29,RT @_PVRCinemas: Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit card that credits your entertainment.…,en,0,0,2021-11-16 13:25:50+00:00,0.0,0.0,Neutral,2021-11-16 13:25:50+00:00,2021-11-16
27,30,RT @_PVRCinemas: Introducing Kotak PVR Debit Card in partnership with Kotak Mahindra Bank. A debit card that credits your entertainment.…,en,0,0,2021-11-16 12:56:08+00:00,0.0,0.0,Neutral,2021-11-16 12:56:08+00:00,2021-11-16
28,31,"RT @medianews4u: Kotak Mahindra Bank and PVR Cinemas Partner to Launch co-branded Movie Debit Card...
@KotakBankLtd @_PVRCinemas @punkap10…",en,0,0,2021-11-16 12:47:44+00:00,0.0,0.0,Neutral,2021-11-16 12:47:44+00:00,2021-11-16
29,32,"@KotakBankLtd and @_PVRCinemas on Tuesday launched India's first co-branded movie debit card, adding to the existin… https://t.co/QrkefVLnDa",en,0,0,2021-11-16 12:33:51+00:00,0.3333333333333333,0.25,Positive,2021-11-16 12:33:51+00:00,2021-11-16
30,33,"Kotak Mahindra Bank and PVR Cinemas Partner to Launch co-branded Movie Debit Card...
@KotakBankLtd @_PVRCinemas… https://t.co/l7iEzC3vK0",en,1,1,2021-11-16 12:19:55+00:00,0.0,0.0,Neutral,2021-11-16 12:19:55+00:00,2021-11-16
31,34,"https://t.co/APswqU5YNe 

""The Kotak Mahindra Bank CEO shared a tweet he had posted on Dussehra two years ago and w… https://t.co/PPKBQQaYVF",en,0,0,2021-11-16 12:15:00+00:00,0.0,0.0,Neutral,2021-11-16 12:15:00+00:00,2021-11-16
32,41,"Kotak Mahindra Bank, PVR launch co-branded debit card
https://t.co/edHk4RwCFr",en,0,0,2021-11-16 12:03:16+00:00,0.0,0.0,Neutral,2021-11-16 12:03:16+00:00,2021-11-16
