,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,1,"RT @equialpha: Charts of the day 📊

&gt;Maruti Suzuki
&gt;Newgen Soft
&gt;Mahindra CIE

Which one is your fav ? https://t.co/DL0ACCGq3h",en,0,0,2021-11-16 18:46:33+00:00,0.35,0.1,Positive,2021-11-16 18:46:33+00:00,2021-11-16
1,2,"📷 What started as a design thought ended up as a project, thanks to an idea by @ssp.2308 Here is the Maruti Suzuki… https://t.co/EpeTZJzBg2",en,0,0,2021-11-16 18:40:53+00:00,0.2,0.2,Positive,2021-11-16 18:40:53+00:00,2021-11-16
2,3,"RT @MarketsCafe: Sensex, Nifty trade marginally lower; Maruti Suzuki gains over 2% HDFC was the top loser in the Sensex pack, followed by K…",en,0,0,2021-11-16 18:19:35+00:00,0.5,0.5,Positive,2021-11-16 18:19:35+00:00,2021-11-16
3,4,New-Gen Maruti Suzuki Celerio: All You Need To Know -India News Cart https://t.co/dfe2dwMc74,en,0,0,2021-11-16 18:02:25+00:00,0.0,0.0,Neutral,2021-11-16 18:02:25+00:00,2021-11-16
4,5,"@indraziths What about Maruti Suzuki india ? Breakout happened ,am I correct sir ?",en,0,0,2021-11-16 17:52:32+00:00,0.0,0.0,Neutral,2021-11-16 17:52:32+00:00,2021-11-16
5,7,"Sensex, Nifty trade marginally lower; Maruti Suzuki gains over 2% HDFC was the top loser in the Sensex pack, follow… https://t.co/wPmLSeHMBt",en,0,1,2021-11-16 17:34:03+00:00,0.5,0.5,Positive,2021-11-16 17:34:03+00:00,2021-11-16
6,8,New-Gen Maruti Suzuki Celerio: All You Need To Know https://t.co/209oMeFiha,en,0,0,2021-11-16 16:59:59+00:00,0.0,0.0,Neutral,2021-11-16 16:59:59+00:00,2021-11-16
7,9,RT @CARmagSA: The next-generation Suzuki Celerio has been unveiled by the Japanese manufacturer’s Indian Maruti arm as its new budget subco…,en,0,0,2021-11-16 16:44:45+00:00,0.2272727272727272,0.0681818181818181,Positive,2021-11-16 16:44:45+00:00,2021-11-16
8,10,New-Gen Maruti Suzuki Celerio: All You Need To Know https://t.co/OdxW34oZwp,en,0,0,2021-11-16 16:44:20+00:00,0.0,0.0,Neutral,2021-11-16 16:44:20+00:00,2021-11-16
9,11,New-Gen Maruti Suzuki Celerio: All You Need to Know https://t.co/nXafyv0TfJ,en,0,0,2021-11-16 16:41:49+00:00,0.0,0.0,Neutral,2021-11-16 16:41:49+00:00,2021-11-16
10,12,"RT @equialpha: Charts of the day 📊

&gt;Maruti Suzuki
&gt;Newgen Soft
&gt;Mahindra CIE

Which one is your fav ? https://t.co/DL0ACCGq3h",en,0,0,2021-11-16 16:39:40+00:00,0.35,0.1,Positive,2021-11-16 16:39:40+00:00,2021-11-16
11,13,RT @autocarpro: Maruti Suzuki maintains lead in Utility Vehicles over Hyundai Motor India; Mahindra &amp; Mahindra regains No. 3 spot. Despite…,en,0,0,2021-11-16 16:25:19+00:00,0.0,0.0,Neutral,2021-11-16 16:25:19+00:00,2021-11-16
