,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,2,"RT @ashishnahata: @hvgoenka NTPC profit ₹15319 cr, DE ratio 1.6, Dividend yield 4.58, Market Cap 1.30 lac cr.
In the same sector Adani Gree…",en,0,0,2021-11-16 19:33:55+00:00,0.125,0.0,Neutral,2021-11-16 19:33:55+00:00,2021-11-16
1,3,"RT @SKMondalIES: NTPC please release waiting list for recruitment of E1 grade officers through GATE 2021 @ntpclimited 
#Recruitment_05_21",en,0,0,2021-11-16 19:33:36+00:00,0.0,0.0,Neutral,2021-11-16 19:33:36+00:00,2021-11-16
2,4,"NTPC Recruitment 2021: Apart from salary, the selected candidates will get HRA and other facilities. Apply now on… https://t.co/oMgk2c1XeE",en,1,0,2021-11-16 19:17:24+00:00,0.375,-0.125,Negative,2021-11-16 19:17:24+00:00,2021-11-16
3,7,@AshwiniVaishnaw @PMOIndia @narendramodi @BJP4MP @ChouhanShivraj @PIB_India @DDNewslive Ntpc result and group d exam pe b dhyan do sir,en,0,0,2021-11-16 18:45:18+00:00,0.0,0.0,Neutral,2021-11-16 18:45:18+00:00,2021-11-16
4,9,"RT @Everydaynew__: When the exam will conduct
Plzz support everyone.

@AshwiniVaishnaw
@narendramodi #speakupforrailwaystudents
#rrb_ntpc_c…",en,0,0,2021-11-16 18:35:35+00:00,0.0,0.0,Neutral,2021-11-16 18:35:35+00:00,2021-11-16
5,12,"@beinglimitlesss This is huge positive for Inox Wind , Suzlon. Govt has recommended a mix of Solar and Wind in park… https://t.co/4AmETgBzR9",en,0,0,2021-11-16 18:28:41+00:00,0.7227272727272727,0.3136363636363636,Positive,2021-11-16 18:28:41+00:00,2021-11-16
6,13,"RT @BusinessNewsPo1: #Sensex Down 396.34 Points (0.65%) to close at 60322.37 , Today's High - 60802.79 , Today's Low - 60199.56 
Top 5 Lose…",en,0,0,2021-11-16 18:05:41+00:00,0.4072222222222222,0.1261111111111111,Positive,2021-11-16 18:05:41+00:00,2021-11-16
7,14,RT @rjreturns3: Online application for selection of Jr. Clerk &amp; Sr. Clerk under GDCE quota Notification RRC/CR/GDCE-02/2019 dated 18/12/201…,en,0,0,2021-11-16 17:55:00+00:00,0.0,0.0,Neutral,2021-11-16 17:55:00+00:00,2021-11-16
8,15,"#Sensex Down 396.34 Points (0.65%) to close at 60322.37 , Today's High - 60802.79 , Today's Low - 60199.56 
Top 5 L… https://t.co/v3t04Cq7Ns",en,0,1,2021-11-16 17:47:34+00:00,0.4072222222222222,0.1261111111111111,Positive,2021-11-16 17:47:34+00:00,2021-11-16
9,16,"RT @ashishnahata: @hvgoenka NTPC profit ₹15319 cr, DE ratio 1.6, Dividend yield 4.58, Market Cap 1.30 lac cr.
In the same sector Adani Gree…",en,0,0,2021-11-16 17:38:33+00:00,0.125,0.0,Neutral,2021-11-16 17:38:33+00:00,2021-11-16
