,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,4,Broker’s call: ONGC (Buy) – The Hindu BusinessLine https://t.co/lv62aepx0Q,en,0,0,2021-11-16 19:22:43+00:00,0.0,0.0,Neutral,2021-11-16 19:22:43+00:00,2021-11-16
1,5,RT @ArpinderSingh18: An absolute honour to be conferred with the Arjuna Award. Motivated more than ever to make not only do my best for the…,en,0,0,2021-11-16 19:04:47+00:00,0.6749999999999999,0.425,Positive,2021-11-16 19:04:47+00:00,2021-11-16
2,6,Rising realizations buoy ONGC regardless of manufacturing points https://t.co/iZOWW3drDB,en,0,0,2021-11-16 19:01:04+00:00,0.0,0.0,Neutral,2021-11-16 19:01:04+00:00,2021-11-16
3,7,"RT @RapperPandit: Metallurgist took some samples, but couldn't ascertain the Metal.

Many Scientists failed to find source..ONGC in search…",en,0,0,2021-11-16 18:37:05+00:00,0.4,0.0,Neutral,2021-11-16 18:37:05+00:00,2021-11-16
4,8,"RT @RapperPandit: Metallurgist took some samples, but couldn't ascertain the Metal.

Many Scientists failed to find source..ONGC in search…",en,0,0,2021-11-16 18:25:37+00:00,0.4,0.0,Neutral,2021-11-16 18:25:37+00:00,2021-11-16
5,9,Rising realizations buoy ONGC despite production issues https://t.co/SVYaknM0MI,en,0,0,2021-11-16 18:24:58+00:00,0.0,0.0,Neutral,2021-11-16 18:24:58+00:00,2021-11-16
6,11,Rising realizations buoy ONGC despite production issues https://t.co/CR8zwYkKBg,en,0,0,2021-11-16 18:13:14+00:00,0.0,0.0,Neutral,2021-11-16 18:13:14+00:00,2021-11-16
7,12,"RT @NatyaTarangini: PARAMPARA SERIES coverage in @CNNnews18 

#ParamparaSeries #Dancer #music #performingarts @incredibleindia 
@MinOfCultu…",en,0,0,2021-11-16 18:11:42+00:00,0.0,0.0,Neutral,2021-11-16 18:11:42+00:00,2021-11-16
8,13,"PARAMPARA SERIES coverage in @CNNnews18 

#ParamparaSeries #Dancer #music #performingarts @incredibleindia… https://t.co/2RGV0Jel13",en,1,1,2021-11-16 18:03:00+00:00,0.0,0.0,Neutral,2021-11-16 18:03:00+00:00,2021-11-16
9,14,"RT @RapperPandit: Metallurgist took some samples, but couldn't ascertain the Metal.

Many Scientists failed to find source..ONGC in search…",en,0,0,2021-11-16 17:55:28+00:00,0.4,0.0,Neutral,2021-11-16 17:55:28+00:00,2021-11-16
