,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"RT @TriCityNews: Power outage puts 1,800 BC Hydro customers in Coquitlam's town centre off grid https://t.co/6melJ2dJyr https://t.co/jHJETa…",en,0,0,2021-11-16 20:35:50+00:00,0.0,0.0,Neutral,2021-11-16 20:35:50+00:00,2021-11-16
1,1,"RT @LAZARUSCHAKWERA: Inaugurated the 60 Mega Watt JCM Solar Power Plant in Salima today.
Malawi's first independent power producer scheme.…",en,0,0,2021-11-16 20:35:35+00:00,0.2291666666666666,0.125,Positive,2021-11-16 20:35:35+00:00,2021-11-16
2,2,"RT @instycam: Yesterday evening (Monday 15 November) at about 7.40pm central time, the LaPorte @_NETPower demonstration facility achieved s…",en,0,0,2021-11-16 20:35:28+00:00,0.25,0.0,Neutral,2021-11-16 20:35:28+00:00,2021-11-16
3,3,"How the Texas Power Grid Works

Last winter, Texas had days-long electricity blackouts due to power grid problems.… https://t.co/043zymak7T",en,0,0,2021-11-16 20:35:20+00:00,0.2208333333333333,-0.0625,Negative,2021-11-16 20:35:20+00:00,2021-11-16
4,4,"RT @NoLieWithBTC: All of the people chanting ""Let's go Brandon"" are going to have smoother roads, faster internet, updated ports, and a cle…",en,0,0,2021-11-16 20:35:02+00:00,0.0,0.0,Neutral,2021-11-16 20:35:02+00:00,2021-11-16
5,5,"RT @TriCityNews: Power outage puts 1,800 BC Hydro customers in Coquitlam's town centre off grid https://t.co/6melJ2dJyr https://t.co/jHJETa…",en,0,0,2021-11-16 20:34:38+00:00,0.0,0.0,Neutral,2021-11-16 20:34:38+00:00,2021-11-16
6,6,RT @AlScottRational: @oncleanair @Dr_Keefer @s_guilbeault @environnementca @GreenpeaceCA @erinotoole @theJagmeetSingh @CanadianGreens @Eliz…,en,0,0,2021-11-16 20:34:37+00:00,0.0,0.0,Neutral,2021-11-16 20:34:37+00:00,2021-11-16
7,7,RT @NReveillee: @SusanSD_34891 Luke Warford will be a sane &amp; refreshing voice for the ppl on the Texas Railroad Commission. If a state ever…,en,0,0,2021-11-16 20:34:00+00:00,1.0,0.5,Positive,2021-11-16 20:34:00+00:00,2021-11-16
8,8,"RT @TriCityNews: Power outage puts 1,800 BC Hydro customers in Coquitlam's town centre off grid https://t.co/6melJ2dJyr https://t.co/jHJETa…",en,0,0,2021-11-16 20:33:55+00:00,0.0,0.0,Neutral,2021-11-16 20:33:55+00:00,2021-11-16
9,9,@GregAbbott_TX Just FYI if you don’t fix our power grid issue this will be the end of you as governor. You have bee… https://t.co/uUGOfCfmZ6,en,0,0,2021-11-16 20:33:52+00:00,0.0,0.0,Neutral,2021-11-16 20:33:52+00:00,2021-11-16
10,10,"@tedcruz Going to Cancún, Rafael?  Or is that only during ice storms while your constituents die of cold because yo… https://t.co/FFLItFfO18",en,0,0,2021-11-16 20:33:51+00:00,1.0,-0.3,Negative,2021-11-16 20:33:51+00:00,2021-11-16
11,11,"Power outage puts 1,800 BC Hydro customers in Coquitlam's town centre off grid https://t.co/6melJ2dJyr https://t.co/jHJETa9CVN",en,0,3,2021-11-16 20:33:34+00:00,0.0,0.0,Neutral,2021-11-16 20:33:34+00:00,2021-11-16
12,12,"RT @TCRG2012: Abbott 
🔹 power grid failure ➡️ &gt;700 ☠️
🔹🖊️""fetal heartbeat"" abortion bill
🔹🖊️HB 25 transgender sports bill
🔹 banned mask &amp; 💉…",en,0,0,2021-11-16 20:33:06+00:00,0.3,-0.3166666666666667,Negative,2021-11-16 20:33:06+00:00,2021-11-16
13,13,"RT @NationOnlineMw: President Lazarus Chakwera has switched on the 60-megawatt JCM Power solar-powered plant in Salima, marking an official…",en,0,0,2021-11-16 20:32:25+00:00,0.0,0.0,Neutral,2021-11-16 20:32:25+00:00,2021-11-16
14,14,"RT @NoLieWithBTC: All of the people chanting ""Let's go Brandon"" are going to have smoother roads, faster internet, updated ports, and a cle…",en,0,0,2021-11-16 20:31:58+00:00,0.0,0.0,Neutral,2021-11-16 20:31:58+00:00,2021-11-16
