,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,someone just unfollowed me because i retweeted sbi fanart can i laugh https://t.co/hemBhyy9KB,en,0,0,2021-11-16 20:35:57+00:00,0.1,0.3,Positive,2021-11-16 20:35:57+00:00,2021-11-16
1,4,"RT @AmitMis93532571: #TanlaPlatforms #BreakingNews

This is as big as it can get -Mr Azim Premji  thru his funds has bought the remaining s…",en,0,0,2021-11-16 20:33:44+00:00,0.1,0.0,Neutral,2021-11-16 20:33:44+00:00,2021-11-16
2,6,"RT @catt_disc: november 16th? uhh may i offer you a sleepy bois dog shelter au instead

#sbi #sbifanart #technofanart #philzafanart #wilbur…",en,0,0,2021-11-16 20:33:34+00:00,0.0,0.0,Neutral,2021-11-16 20:33:34+00:00,2021-11-16
3,9,"RT @catt_disc: november 16th? uhh may i offer you a sleepy bois dog shelter au instead

#sbi #sbifanart #technofanart #philzafanart #wilbur…",en,0,0,2021-11-16 20:32:43+00:00,0.0,0.0,Neutral,2021-11-16 20:32:43+00:00,2021-11-16
4,10,"RT @catt_disc: november 16th? uhh may i offer you a sleepy bois dog shelter au instead

#sbi #sbifanart #technofanart #philzafanart #wilbur…",en,0,0,2021-11-16 20:32:15+00:00,0.0,0.0,Neutral,2021-11-16 20:32:15+00:00,2021-11-16
5,12,"RT @catt_disc: november 16th? uhh may i offer you a sleepy bois dog shelter au instead

#sbi #sbifanart #technofanart #philzafanart #wilbur…",en,0,0,2021-11-16 20:31:45+00:00,0.0,0.0,Neutral,2021-11-16 20:31:45+00:00,2021-11-16
6,13,just saw sbi fanart on my tl i feel ill 😭,en,0,0,2021-11-16 20:31:42+00:00,1.0,-0.5,Negative,2021-11-16 20:31:42+00:00,2021-11-16
7,14,"RT @catt_disc: november 16th? uhh may i offer you a sleepy bois dog shelter au instead

#sbi #sbifanart #technofanart #philzafanart #wilbur…",en,0,0,2021-11-16 20:31:39+00:00,0.0,0.0,Neutral,2021-11-16 20:31:39+00:00,2021-11-16
8,15,"RT @suchetadalal: Actually moron -- Harshad stole 500cr from SBI for which he was caught. He wasn't caught for ""insider trading"" or even pr…",en,0,0,2021-11-16 20:31:20+00:00,1.0,-0.8,Negative,2021-11-16 20:31:20+00:00,2021-11-16
9,16,"RT @catt_disc: november 16th? uhh may i offer you a sleepy bois dog shelter au instead

#sbi #sbifanart #technofanart #philzafanart #wilbur…",en,0,0,2021-11-16 20:30:39+00:00,0.0,0.0,Neutral,2021-11-16 20:30:39+00:00,2021-11-16
