,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:35:52+00:00,0.0,0.0,Neutral,2021-11-16 20:35:52+00:00,2021-11-16
1,1,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:33:47+00:00,0.0,0.0,Neutral,2021-11-16 20:33:47+00:00,2021-11-16
2,2,RT @Law1Leo: Yet the starving man was given right to run the country by the voting right through the universal adult franchise. To avoid na…,en,0,0,2021-11-16 20:31:31+00:00,0.3428571428571428,0.1678571428571428,Positive,2021-11-16 20:31:31+00:00,2021-11-16
3,3,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:31:29+00:00,0.0,0.0,Neutral,2021-11-16 20:31:29+00:00,2021-11-16
4,4,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:28:20+00:00,0.0,0.0,Neutral,2021-11-16 20:28:20+00:00,2021-11-16
5,5,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:28:08+00:00,0.0,0.0,Neutral,2021-11-16 20:28:08+00:00,2021-11-16
6,6,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:27:30+00:00,0.0,0.0,Neutral,2021-11-16 20:27:30+00:00,2021-11-16
7,7,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:22:56+00:00,0.0,0.0,Neutral,2021-11-16 20:22:56+00:00,2021-11-16
8,8,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:21:50+00:00,0.0,0.0,Neutral,2021-11-16 20:21:50+00:00,2021-11-16
9,9,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:13:06+00:00,0.0,0.0,Neutral,2021-11-16 20:13:06+00:00,2021-11-16
10,10,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:12:14+00:00,0.0,0.0,Neutral,2021-11-16 20:12:14+00:00,2021-11-16
11,11,"RT @hvgoenka: Nykaa Q2 net profit = Rs 1.2 cr
Tata Steel Q2 net profit = Rs 13600 cr

Market cap of Nykaa = Rs 1.06 lac cr
Market cap of Ta…",en,0,0,2021-11-16 20:07:31+00:00,0.0,0.0,Neutral,2021-11-16 20:07:31+00:00,2021-11-16
12,12,"RT @Tijori1: Tata Steel has beaten HUL in price appreciation over the last 20 years

20 year absolute growth

Tata Steel +1686%
HUL   +1352%",en,0,0,2021-11-16 20:07:12+00:00,0.4833333333333333,0.1,Positive,2021-11-16 20:07:12+00:00,2021-11-16
