,Unnamed: 0,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis,Date,datestring
0,0,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:37+00:00,0.0,0.0,Neutral,2021-11-16 20:36:37+00:00,2021-11-16
1,1,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:34+00:00,0.0,0.0,Neutral,2021-11-16 20:36:34+00:00,2021-11-16
2,2,"RT @cookielable: @EpicHeroio Earned almost $500 during last weekend and yeah i chose Titan. My investment is around $5,000 @gauklermichi @T…",en,0,0,2021-11-16 20:36:33+00:00,0.0666666666666666,0.0,Neutral,2021-11-16 20:36:33+00:00,2021-11-16
3,3,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:29+00:00,0.0,0.0,Neutral,2021-11-16 20:36:29+00:00,2021-11-16
4,4,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:27+00:00,0.0,0.0,Neutral,2021-11-16 20:36:27+00:00,2021-11-16
5,5,RT @AoTshots: 54 Days until Attack on Titan is back https://t.co/A3X8Fo7uoK,en,0,0,2021-11-16 20:36:24+00:00,0.0,0.0,Neutral,2021-11-16 20:36:24+00:00,2021-11-16
6,6,RT @AoTJewels: Anime: Attack on Titan https://t.co/E9IntEK6WL,en,0,0,2021-11-16 20:36:23+00:00,0.0,0.0,Neutral,2021-11-16 20:36:23+00:00,2021-11-16
7,8,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:20+00:00,0.0,0.0,Neutral,2021-11-16 20:36:20+00:00,2021-11-16
8,9,RT @AoTJewels: Anime: Attack on Titan https://t.co/E9IntEK6WL,en,0,0,2021-11-16 20:36:19+00:00,0.0,0.0,Neutral,2021-11-16 20:36:19+00:00,2021-11-16
9,10,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:18+00:00,0.0,0.0,Neutral,2021-11-16 20:36:18+00:00,2021-11-16
10,11,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:15+00:00,0.0,0.0,Neutral,2021-11-16 20:36:15+00:00,2021-11-16
11,12,Oh no! Attack on Titan copied Attack on Titan!!! https://t.co/RuHZMz5pNr,en,1,0,2021-11-16 20:36:15+00:00,0.0,0.0,Neutral,2021-11-16 20:36:15+00:00,2021-11-16
12,13,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:12+00:00,0.0,0.0,Neutral,2021-11-16 20:36:12+00:00,2021-11-16
13,14,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:12+00:00,0.0,0.0,Neutral,2021-11-16 20:36:12+00:00,2021-11-16
14,15,"📅 Titan Hunters has officially announced their IGO schedule ⚡️

It is a game inspired by fun gameplay of Diablo, Vo… https://t.co/z7wxeOuaC8",en,1,0,2021-11-16 20:36:11+00:00,0.3,-0.05,Negative,2021-11-16 20:36:11+00:00,2021-11-16
15,16,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:10+00:00,0.0,0.0,Neutral,2021-11-16 20:36:10+00:00,2021-11-16
16,18,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:05+00:00,0.0,0.0,Neutral,2021-11-16 20:36:05+00:00,2021-11-16
17,19,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:05+00:00,0.0,0.0,Neutral,2021-11-16 20:36:05+00:00,2021-11-16
18,20,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:04+00:00,0.0,0.0,Neutral,2021-11-16 20:36:04+00:00,2021-11-16
19,21,RT @AoTJewels: Anime: Attack on Titan https://t.co/E9IntEK6WL,en,0,0,2021-11-16 20:36:02+00:00,0.0,0.0,Neutral,2021-11-16 20:36:02+00:00,2021-11-16
20,22,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:36:01+00:00,0.0,0.0,Neutral,2021-11-16 20:36:01+00:00,2021-11-16
21,23,"RT @Anidarshan31: I have been thinking recently, Attack on Titan is really one of the Greatest Animanga of All Time. https://t.co/VritjkfUg2",en,0,0,2021-11-16 20:35:59+00:00,0.4833333333333333,0.3999999999999999,Positive,2021-11-16 20:35:59+00:00,2021-11-16
22,24,"RT @GameFi_Official: 🚀Here is the information of @Titan_Hunters $TITA IGO you're waiting for 

🔅IGO schedule
🔅Pool details
🔅Tokenomics
🔅Whi…",en,0,0,2021-11-16 20:35:56+00:00,0.0,0.0,Neutral,2021-11-16 20:35:56+00:00,2021-11-16
