"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"3MINDIA","EQ","16-Nov-2021","      26077.75","      26080.00","      26228.50","      25733.65","      25740.00","      25856.00","      26001.28","       2059","            53536645.35","       1530","       1236","         60.03"
"3MINDIA","EQ","17-Nov-2021","      25856.00","      25856.00","      25961.00","      25315.05","      25488.00","      25457.00","      25616.40","       3703","            94857534.20","       1020","       2709","         73.16"
"3MINDIA","EQ","18-Nov-2021","      25457.00","      25458.00","      25587.65","      24872.15","      25219.85","      25194.15","      25158.66","       1859","            46769953.05","       1197","       1010","         54.33"
"3MINDIA","EQ","22-Nov-2021","      25194.15","      25200.00","      25600.00","      25001.00","      25210.00","      25250.90","      25287.49","       2224","            56239372.95","       1664","       1094","         49.19"
"3MINDIA","EQ","23-Nov-2021","      25250.90","      25250.00","      25674.20","      25117.05","      25580.00","      25540.85","      25415.61","       1643","            41757846.80","       1243","        863","         52.53"
"3MINDIA","EQ","24-Nov-2021","      25540.85","      25730.85","      25999.90","      25327.05","      25700.00","      25885.00","      25775.70","       1834","            47272641.45","       1348","        769","         41.93"
"3MINDIA","EQ","25-Nov-2021","      25885.00","      25885.00","      25916.80","      25570.00","      25887.00","      25831.65","      25728.65","        621","            15977492.95","        429","        251","         40.42"
"3MINDIA","EQ","26-Nov-2021","      25831.65","      25899.00","      25899.85","      25054.00","      25099.95","      25185.00","      25359.98","       1359","            34464217.60","        908","        783","         57.62"
"3MINDIA","EQ","29-Nov-2021","      25185.00","      25200.00","      25200.00","      23947.85","      24919.00","      24900.25","      24764.43","       2639","            65353343.90","       1442","       1353","         51.27"
"3MINDIA","EQ","30-Nov-2021","      24900.25","      25245.00","      25245.00","      24600.10","      25082.50","      25034.40","      24941.45","       2581","            64373879.20","       1613","       1756","         68.04"
"3MINDIA","EQ","01-Dec-2021","      25034.40","      25300.00","      25300.00","      24542.30","      24625.00","      24745.30","      24999.71","       5676","           141898373.60","        812","       4976","         87.67"
"3MINDIA","EQ","02-Dec-2021","      24745.30","      24912.70","      25134.60","      24600.00","      25009.65","      24985.55","      24910.22","       2116","            52710032.75","       1305","       1362","         64.37"
"3MINDIA","EQ","03-Dec-2021","      24985.55","      25000.15","      25989.90","      24957.15","      25901.00","      25809.90","      25450.21","       2372","            60367895.40","       1581","       1212","         51.10"
"3MINDIA","EQ","06-Dec-2021","      25809.90","      25809.90","      26399.00","      24900.00","      25700.00","      26080.10","      25983.80","       3203","            83226099.00","       2211","       1113","         34.75"
"3MINDIA","EQ","07-Dec-2021","      26080.10","      26100.00","      26351.00","      26100.00","      26135.00","      26204.25","      26224.51","       2204","            57798823.70","       1333","       1117","         50.68"
"3MINDIA","EQ","08-Dec-2021","      26204.25","      26225.00","      26599.40","      25510.05","      25600.00","      25778.35","      26112.94","       3129","            81707404.70","       2122","       1565","         50.02"
"3MINDIA","EQ","09-Dec-2021","      25778.35","      25778.55","      25999.90","      25200.10","      25215.05","      25323.35","      25571.93","       1528","            39073912.05","        823","        515","         33.70"
