"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","16-Nov-2021","       3168.70","       3165.00","       3209.00","       3120.10","       3154.80","       3151.70","       3160.25","    1400107","          4424689381.70","     102431","     734623","         52.47"
"ASIANPAINT","EQ","17-Nov-2021","       3151.70","       3170.00","       3239.90","       3165.05","       3225.95","       3230.25","       3218.95","    1616452","          5203280368.95","     128259","     632637","         39.14"
"ASIANPAINT","EQ","18-Nov-2021","       3230.25","       3249.85","       3260.00","       3214.00","       3215.20","       3226.85","       3242.12","    1609821","          5219239883.75","     108657","     802130","         49.83"
"ASIANPAINT","EQ","22-Nov-2021","       3226.85","       3241.00","       3308.35","       3215.05","       3263.35","       3261.25","       3273.82","    2146970","          7028802293.25","     169077","     987674","         46.00"
"ASIANPAINT","EQ","23-Nov-2021","       3261.25","       3261.25","       3288.30","       3171.55","       3176.50","       3185.55","       3216.71","    1482618","          4769155731.40","     115581","     754162","         50.87"
"ASIANPAINT","EQ","24-Nov-2021","       3185.55","       3186.05","       3208.90","       3150.00","       3150.00","       3157.00","       3181.10","    1056213","          3359919163.80","      81824","     552326","         52.29"
"ASIANPAINT","EQ","25-Nov-2021","       3157.00","       3156.50","       3173.35","       3113.00","       3141.85","       3144.25","       3136.88","     728825","          2286237710.55","      58921","     282465","         38.76"
"ASIANPAINT","EQ","26-Nov-2021","       3144.25","       3101.00","       3167.35","       3091.00","       3138.00","       3143.10","       3134.09","    1029110","          3225319766.25","      89084","     380276","         36.95"
"ASIANPAINT","EQ","29-Nov-2021","       3143.10","       3131.00","       3178.90","       3071.90","       3138.00","       3144.30","       3133.72","     876651","          2747176827.35","      82466","     281065","         32.06"
"ASIANPAINT","EQ","30-Nov-2021","       3144.30","       3116.15","       3189.00","       3116.15","       3144.75","       3143.65","       3155.91","    2340489","          7386376690.50","     134876","    1338856","         57.20"
"ASIANPAINT","EQ","01-Dec-2021","       3143.65","       3155.90","       3199.75","       3124.10","       3136.95","       3138.15","       3159.89","    1741820","          5503967714.90","     111539","     795508","         45.67"
"ASIANPAINT","EQ","02-Dec-2021","       3138.15","       3160.00","       3194.00","       3152.25","       3175.55","       3180.60","       3171.73","     939320","          2979272291.50","      92854","     514640","         54.79"
"ASIANPAINT","EQ","03-Dec-2021","       3180.60","       3185.00","       3187.45","       3106.00","       3115.00","       3110.45","       3140.95","    1216263","          3820224962.15","     100441","     728359","         59.88"
"ASIANPAINT","EQ","06-Dec-2021","       3110.45","       3115.00","       3115.00","       3028.25","       3038.55","       3038.30","       3056.94","    1107363","          3385138976.10","     131088","     630231","         56.91"
"ASIANPAINT","EQ","07-Dec-2021","       3038.30","       3040.00","       3069.00","       3016.45","       3031.90","       3030.35","       3031.22","    2056459","          6233579440.65","     108821","    1345852","         65.45"
"ASIANPAINT","EQ","08-Dec-2021","       3030.35","       3031.90","       3123.00","       3031.00","       3110.00","       3108.50","       3078.23","    1171484","          3606099724.60","     113919","     640434","         54.67"
"ASIANPAINT","EQ","09-Dec-2021","       3108.50","       3152.40","       3183.05","       3111.00","       3177.00","       3178.70","       3154.95","    1287243","          4061181886.10","      81244","     572324","         44.46"
"ASIANPAINT","EQ","10-Dec-2021","       3178.70","       3184.00","       3292.00","       3178.70","       3279.00","       3283.15","       3265.19","    2554394","          8340592551.65","     112592","     753760","         29.51"
