"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"AXISBANK","EQ","16-Nov-2021","        733.25","        733.25","        733.30","        721.30","        723.45","        726.15","        728.03","    8978763","          6536840355.70","     180149","    5976280","         66.56"
"AXISBANK","EQ","17-Nov-2021","        726.15","        721.00","        724.90","        706.75","        712.00","        712.35","        717.45","   18083445","         12973896810.75","     231707","   10618030","         58.72"
"AXISBANK","EQ","18-Nov-2021","        712.35","        715.00","        716.00","        701.90","        705.85","        706.35","        706.81","   13458109","          9512353191.30","     278200","    7144977","         53.09"
"AXISBANK","EQ","22-Nov-2021","        706.35","        713.00","        713.00","        677.40","        688.75","        686.40","        690.51","   16741079","         11559823773.65","     249991","   10458174","         62.47"
"AXISBANK","EQ","23-Nov-2021","        686.40","        681.00","        692.65","        677.35","        684.00","        685.65","        687.96","   16575348","         11403171716.85","     312134","   11631044","         70.17"
"AXISBANK","EQ","24-Nov-2021","        685.65","        690.00","        695.10","        682.05","        683.50","        685.15","        690.14","   11463429","          7911389059.10","     218685","    7430367","         64.82"
"AXISBANK","EQ","25-Nov-2021","        685.15","        686.00","        687.00","        676.55","        679.50","        679.90","        680.65","    9760486","          6643428853.20","     170529","    6115078","         62.65"
"AXISBANK","EQ","26-Nov-2021","        679.90","        669.00","        674.90","        660.45","        661.00","        661.75","        667.14","   10252753","          6840060969.60","     212337","    6038729","         58.90"
"AXISBANK","EQ","29-Nov-2021","        661.75","        665.05","        665.45","        649.35","        649.70","        651.10","        656.09","   12084376","          7928395376.20","     209502","    7071431","         58.52"
"AXISBANK","EQ","30-Nov-2021","        651.10","        648.00","        677.45","        648.00","        651.90","        655.65","        662.41","   24699809","         16361347977.65","     302284","   14030055","         56.80"
"AXISBANK","EQ","01-Dec-2021","        655.65","        664.90","        681.40","        660.00","        680.00","        679.60","        674.85","   16184200","         10921837623.00","     254141","    8178544","         50.53"
"AXISBANK","EQ","02-Dec-2021","        679.60","        675.00","        678.80","        668.05","        676.45","        676.10","        673.39","    8612601","          5799657248.05","     169975","    4251834","         49.37"
"AXISBANK","EQ","03-Dec-2021","        676.10","        679.10","        687.35","        671.00","        672.75","        673.00","        678.78","    9505985","          6452500387.45","     154560","    4677686","         49.21"
"AXISBANK","EQ","06-Dec-2021","        673.00","        674.00","        678.75","        661.15","        663.00","        663.10","        670.22","    8022785","          5377001758.10","     144948","    4538506","         56.57"
"AXISBANK","EQ","07-Dec-2021","        663.10","        672.00","        691.55","        670.00","        686.90","        687.00","        683.07","   15123987","         10330682148.35","     223285","    8290280","         54.82"
"AXISBANK","EQ","08-Dec-2021","        687.00","        695.00","        701.55","        687.65","        695.90","        697.10","        695.00","   11670826","          8111270533.35","     189037","    6189532","         53.03"
"AXISBANK","EQ","09-Dec-2021","        697.10","        698.15","        699.90","        688.00","        692.05","        693.95","        693.31","    7021395","          4868031671.60","     154490","    3098092","         44.12"
