"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJ-AUTO","EQ","16-Nov-2021","       3601.15","       3612.90","       3651.80","       3583.10","       3607.95","       3608.70","       3617.71","     473529","          1713090853.60","      37607","     216576","         45.74"
"BAJAJ-AUTO","EQ","17-Nov-2021","       3608.70","       3610.00","       3644.00","       3576.40","       3582.00","       3583.80","       3604.24","     348752","          1256986921.50","      29717","     168952","         48.44"
"BAJAJ-AUTO","EQ","18-Nov-2021","       3583.80","       3590.50","       3594.90","       3525.00","       3544.05","       3547.55","       3547.15","     384426","          1363616683.45","      34803","     192241","         50.01"
"BAJAJ-AUTO","EQ","22-Nov-2021","       3547.55","       3570.00","       3570.00","       3426.00","       3439.85","       3444.20","       3480.18","     422572","          1470627784.25","      37926","     205993","         48.75"
"BAJAJ-AUTO","EQ","23-Nov-2021","       3444.20","       3440.00","       3448.50","       3376.05","       3445.00","       3434.85","       3428.37","     713102","          2444780218.75","      54024","     485891","         68.14"
"BAJAJ-AUTO","EQ","24-Nov-2021","       3434.85","       3459.00","       3459.00","       3385.65","       3389.95","       3407.10","       3432.31","     287005","           985089881.30","      26748","     168881","         58.84"
"BAJAJ-AUTO","EQ","25-Nov-2021","       3407.10","       3402.00","       3413.90","       3377.05","       3393.00","       3391.70","       3393.57","     264226","           896668341.15","      24260","     127213","         48.15"
"BAJAJ-AUTO","EQ","26-Nov-2021","       3391.70","       3370.00","       3383.50","       3320.00","       3335.00","       3334.60","       3355.50","     341506","          1145922840.70","      34262","     163685","         47.93"
"BAJAJ-AUTO","EQ","29-Nov-2021","       3334.60","       3321.00","       3354.35","       3246.20","       3296.00","       3298.20","       3298.46","     403739","          1331716707.00","      45890","     186224","         46.12"
"BAJAJ-AUTO","EQ","30-Nov-2021","       3298.20","       3296.00","       3322.95","       3223.05","       3230.00","       3240.30","       3265.88","     682518","          2229024698.60","      56280","     421860","         61.81"
"BAJAJ-AUTO","EQ","01-Dec-2021","       3240.30","       3280.00","       3294.20","       3227.30","       3252.20","       3249.55","       3252.59","     551434","          1793586681.15","      50734","     303115","         54.97"
"BAJAJ-AUTO","EQ","02-Dec-2021","       3249.55","       3259.95","       3337.35","       3236.50","       3328.00","       3328.40","       3291.72","     502905","          1655421182.20","      52667","     333403","         66.30"
"BAJAJ-AUTO","EQ","03-Dec-2021","       3328.40","       3335.00","       3343.15","       3280.60","       3287.00","       3287.85","       3308.30","     315536","          1043888056.55","      30114","     137893","         43.70"
"BAJAJ-AUTO","EQ","06-Dec-2021","       3287.85","       3297.80","       3300.00","       3242.70","       3252.50","       3249.75","       3275.32","     251407","           823437351.65","      26899","      88776","         35.31"
"BAJAJ-AUTO","EQ","07-Dec-2021","       3249.75","       3284.95","       3317.00","       3261.00","       3285.60","       3286.45","       3291.85","     286908","           944457163.25","      22484","     128567","         44.81"
"BAJAJ-AUTO","EQ","08-Dec-2021","       3286.45","       3302.85","       3337.95","       3297.00","       3326.00","       3332.05","       3315.34","     334037","          1107444844.80","      25429","     159488","         47.75"
"BAJAJ-AUTO","EQ","09-Dec-2021","       3332.05","       3350.00","       3350.00","       3306.00","       3331.15","       3341.00","       3328.31","     237723","           791216262.95","      28086","     113618","         47.79"
