"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJFINANCE","EQ","16-Nov-2021","       7534.25","       7525.00","       7650.00","       7500.75","       7538.00","       7555.70","       7596.98","     598049","          4543367663.80","      64412","     177258","         29.64"
"BAJFINANCE","EQ","17-Nov-2021","       7555.70","       7528.00","       7692.00","       7521.25","       7608.60","       7607.65","       7632.84","     645574","          4927560247.20","      68236","     213775","         33.11"
"BAJFINANCE","EQ","18-Nov-2021","       7607.65","       7620.00","       7697.70","       7440.00","       7465.00","       7484.95","       7549.70","     772539","          5832436114.90","      82127","     225382","         29.17"
"BAJFINANCE","EQ","22-Nov-2021","       7484.95","       7492.00","       7514.50","       6990.05","       7065.70","       7058.30","       7131.61","    1935243","         13801404852.50","     217304","     878981","         45.42"
"BAJFINANCE","EQ","23-Nov-2021","       7058.30","       7000.00","       7178.00","       6924.10","       7110.70","       7114.30","       7097.90","    1187589","          8429384643.55","     125975","     418062","         35.20"
"BAJFINANCE","EQ","24-Nov-2021","       7114.30","       7160.00","       7319.80","       7066.00","       7125.00","       7177.30","       7209.00","    1099380","          7925433819.40","     109496","     398311","         36.23"
"BAJFINANCE","EQ","25-Nov-2021","       7177.30","       7150.00","       7205.00","       7086.80","       7142.65","       7125.80","       7143.27","     615486","          4396580444.10","      66577","     148649","         24.15"
"BAJFINANCE","EQ","26-Nov-2021","       7125.80","       7021.00","       7047.90","       6775.00","       6780.00","       6807.05","       6877.27","    1689082","         11616272904.30","     197357","     722597","         42.78"
"BAJFINANCE","EQ","29-Nov-2021","       6807.05","       6767.00","       6980.00","       6678.30","       6910.00","       6905.75","       6865.92","    1491815","         10242680485.20","     160192","     448254","         30.05"
"BAJFINANCE","EQ","30-Nov-2021","       6905.75","       6910.00","       7199.80","       6849.25","       6983.00","       6997.25","       7047.95","    2195539","         15474055907.45","     178023","     917065","         41.77"
"BAJFINANCE","EQ","01-Dec-2021","       6997.25","       7032.20","       7107.70","       6951.00","       7050.00","       7038.70","       7034.68","    1136768","          7996795748.05","     100822","     327006","         28.77"
"BAJFINANCE","EQ","02-Dec-2021","       7038.70","       7090.00","       7210.00","       7022.40","       7190.00","       7180.50","       7120.47","     847704","          6036051180.30","      78637","     275262","         32.47"
"BAJFINANCE","EQ","03-Dec-2021","       7180.50","       7160.00","       7233.80","       7055.00","       7085.00","       7069.25","       7138.12","     816411","          5827642698.55","      82555","     273757","         33.53"
"BAJFINANCE","EQ","06-Dec-2021","       7069.25","       7069.25","       7095.90","       6938.10","       6951.00","       6951.75","       6983.22","     858253","          5993372609.10","      75685","     333206","         38.82"
"BAJFINANCE","EQ","07-Dec-2021","       6951.75","       7048.00","       7170.00","       6958.00","       7099.00","       7103.15","       7097.56","    1079608","          7662586923.30","      98653","     364124","         33.73"
"BAJFINANCE","EQ","08-Dec-2021","       7103.15","       7120.00","       7386.35","       7120.00","       7360.00","       7361.50","       7298.88","    1402691","         10238077454.45","     129056","     405234","         28.89"
"BAJFINANCE","EQ","09-Dec-2021","       7361.50","       7400.00","       7468.10","       7337.00","       7434.00","       7440.30","       7416.65","    1076950","          7987358949.20","      83232","     312993","         29.06"
