"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BAJAJFINSV","EQ","16-Nov-2021","      18130.50","      18230.00","      18511.00","      18118.75","      18192.15","      18209.75","      18324.35","     218955","          4012208578.20","      37100","      46814","         21.38"
"BAJAJFINSV","EQ","17-Nov-2021","      18209.75","      18185.00","      18420.00","      18111.90","      18249.00","      18255.40","      18302.43","     146100","          2673984741.20","      27160","      27428","         18.77"
"BAJAJFINSV","EQ","18-Nov-2021","      18255.40","      18256.00","      18472.00","      17811.20","      17925.00","      17921.25","      18115.96","     274556","          4973845140.45","      50268","      62165","         22.64"
"BAJAJFINSV","EQ","22-Nov-2021","      17921.25","      18140.00","      18140.00","      16830.05","      17059.00","      17073.75","      17288.94","     370700","          6409009132.50","      71711","     108756","         29.34"
"BAJAJFINSV","EQ","23-Nov-2021","      17073.75","      16880.00","      17437.85","      16757.25","      17365.00","      17368.10","      17235.72","     251315","          4331594923.65","      50093","      33967","         13.52"
"BAJAJFINSV","EQ","24-Nov-2021","      17368.10","      17432.00","      17647.00","      17140.40","      17320.00","      17408.70","      17416.79","     274024","          4772619062.85","      47584","      53192","         19.41"
"BAJAJFINSV","EQ","25-Nov-2021","      17408.70","      17349.00","      17522.00","      17225.25","      17360.00","      17368.85","      17370.95","     161620","          2807492558.75","      32994","      22689","         14.04"
"BAJAJFINSV","EQ","26-Nov-2021","      17368.85","      17200.00","      17237.20","      16610.00","      16684.00","      16682.55","      16841.20","     342486","          5767874522.45","      64239","      74651","         21.80"
"BAJAJFINSV","EQ","29-Nov-2021","      16682.55","      16670.00","      17098.00","      16273.65","      16880.10","      16890.40","      16811.16","     304218","          5114258039.25","      60388","      41336","         13.59"
"BAJAJFINSV","EQ","30-Nov-2021","      16890.40","      16880.00","      17500.00","      16880.00","      17240.00","      17237.35","      17261.58","     458642","          7916885306.10","      78259","     142337","         31.03"
"BAJAJFINSV","EQ","01-Dec-2021","      17237.35","      17444.00","      17546.70","      17201.00","      17400.00","      17382.95","      17360.58","     238349","          4137876173.85","      51442","      53426","         22.42"
"BAJAJFINSV","EQ","02-Dec-2021","      17382.95","      17400.00","      17890.00","      17273.45","      17800.00","      17758.15","      17572.02","     213881","          3758321652.85","      38888","      48228","         22.55"
"BAJAJFINSV","EQ","03-Dec-2021","      17758.15","      17750.00","      17889.75","      17450.00","      17501.25","      17488.70","      17631.97","     203459","          3587383776.55","      35206","      46875","         23.04"
"BAJAJFINSV","EQ","06-Dec-2021","      17488.70","      17487.00","      17598.95","      16851.00","      16917.00","      16893.45","      17126.34","     203690","          3488464821.50","      36409","      56556","         27.77"
"BAJAJFINSV","EQ","07-Dec-2021","      16893.45","      17140.00","      17250.00","      16931.70","      17112.00","      17109.00","      17109.97","     230078","          3936628071.70","      39767","      49361","         21.45"
"BAJAJFINSV","EQ","08-Dec-2021","      17109.00","      17166.00","      17674.25","      17166.00","      17600.00","      17621.65","      17511.99","     284299","          4978641466.60","      54711","      73227","         25.76"
"BAJAJFINSV","EQ","09-Dec-2021","      17621.65","      17625.35","      17771.90","      17487.00","      17601.00","      17596.60","      17606.32","     210382","          3704052968.65","      37073","      32771","         15.58"
