"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","16-Nov-2021","        737.55","        741.35","        742.05","        727.05","        728.50","        730.30","        735.22","    4639931","          3411373132.05","      85245","    2135986","         46.03"
"BHARTIARTL","EQ","17-Nov-2021","        730.30","        724.55","        732.35","        716.25","        720.50","        720.05","        724.59","    8002927","          5798837637.15","     109358","    4657808","         58.20"
"BHARTIARTL","EQ","18-Nov-2021","        720.05","        720.60","        723.45","        708.00","        714.25","        714.35","        715.55","    4469597","          3198209525.10","     102930","    1777562","         39.77"
"BHARTIARTL","EQ","22-Nov-2021","        714.35","        740.00","        755.95","        733.10","        741.35","        742.10","        744.50","   36884348","         27460467117.85","     417298","   15761796","         42.73"
"BHARTIARTL","EQ","23-Nov-2021","        742.10","        745.00","        761.00","        735.70","        758.00","        758.90","        750.66","   18240414","         13692421297.35","     303588","    7491076","         41.07"
"BHARTIARTL","EQ","24-Nov-2021","        758.90","        764.00","        781.80","        756.25","        756.90","        758.90","        769.36","   21653712","         16659448540.90","     274108","    8566288","         39.56"
"BHARTIARTL","EQ","25-Nov-2021","        758.90","        759.05","        768.50","        752.80","        765.00","        765.15","        761.66","    8483653","          6461637919.95","     150394","    2681655","         31.61"
"BHARTIARTL","EQ","26-Nov-2021","        765.15","        763.00","        763.00","        733.10","        735.85","        738.75","        744.93","   11142921","          8300683385.80","     213934","    5499123","         49.35"
"BHARTIARTL","EQ","29-Nov-2021","        738.75","        752.00","        755.00","        727.10","        738.05","        739.35","        740.06","   15885643","         11756261450.30","     277565","    8822195","         55.54"
"BHARTIARTL","EQ","30-Nov-2021","        739.35","        740.00","        750.20","        722.65","        725.75","        728.25","        734.16","   14272616","         10478376142.00","     250182","    8053035","         56.42"
"BHARTIARTL","EQ","01-Dec-2021","        728.25","        733.00","        737.40","        718.25","        722.00","        722.25","        727.89","   10488561","          7634537130.25","     177518","    5561076","         53.02"
"BHARTIARTL","EQ","02-Dec-2021","        722.25","        723.90","        735.70","        714.15","        732.00","        732.55","        724.06","   11507427","          8332066780.20","     163134","    5372973","         46.69"
"BHARTIARTL","EQ","03-Dec-2021","        732.55","        730.00","        734.65","        716.30","        718.20","        718.35","        721.06","   11024093","          7949033646.85","     208351","    5078356","         46.07"
"BHARTIARTL","EQ","06-Dec-2021","        718.35","        718.00","        721.90","        693.85","        696.75","        697.60","        706.00","    8804487","          6215996627.15","     151783","    4362806","         49.55"
"BHARTIARTL","EQ","07-Dec-2021","        697.60","        702.35","        705.70","        694.10","        698.85","        698.85","        698.89","   10238693","          7155735079.50","     144432","    5697408","         55.65"
"BHARTIARTL","EQ","08-Dec-2021","        698.85","        705.00","        719.00","        702.30","        715.95","        715.15","        710.87","    8296393","          5897694384.65","     136205","    3859045","         46.51"
"BHARTIARTL","EQ","09-Dec-2021","        715.15","        716.80","        723.95","        711.00","        713.50","        713.95","        715.86","    9069515","          6492502690.60","     144847","    5238187","         57.76"
