"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HCLTECH","EQ","16-Nov-2021","       1170.85","       1170.90","       1175.50","       1160.45","       1161.95","       1163.40","       1165.95","    3141207","          3662500831.65","      89551","    2167694","         69.01"
"HCLTECH","EQ","17-Nov-2021","       1163.40","       1160.50","       1164.75","       1150.00","       1150.30","       1152.45","       1156.81","    3172985","          3670546247.65","     109730","    2376571","         74.90"
"HCLTECH","EQ","18-Nov-2021","       1152.45","       1148.00","       1155.00","       1113.50","       1118.00","       1120.20","       1124.78","    5384530","          6056436424.55","     194719","    3465588","         64.36"
"HCLTECH","EQ","22-Nov-2021","       1120.20","       1120.20","       1125.85","       1102.00","       1113.00","       1110.10","       1111.00","    3961223","          4400920118.15","     116792","    2280847","         57.58"
"HCLTECH","EQ","23-Nov-2021","       1110.10","       1105.00","       1120.00","       1090.00","       1115.75","       1112.60","       1109.58","    4545069","          5043131371.75","      93913","    3083234","         67.84"
"HCLTECH","EQ","24-Nov-2021","       1112.60","       1120.00","       1132.65","       1112.95","       1115.95","       1119.45","       1123.89","    2675632","          3007103782.90","      80404","    1680209","         62.80"
"HCLTECH","EQ","25-Nov-2021","       1119.45","       1116.50","       1131.00","       1111.00","       1125.70","       1124.80","       1125.72","    3106454","          3497009820.40","      95903","    2105999","         67.79"
"HCLTECH","EQ","26-Nov-2021","       1124.80","       1120.00","       1126.00","       1103.30","       1111.65","       1110.05","       1114.79","    2207274","          2460641343.10","      98604","    1196442","         54.20"
"HCLTECH","EQ","29-Nov-2021","       1110.05","       1101.10","       1145.00","       1100.10","       1134.00","       1133.15","       1131.49","    3661152","          4142561741.55","     144471","    1214350","         33.17"
"HCLTECH","EQ","30-Nov-2021","       1133.15","       1133.00","       1157.90","       1133.00","       1139.35","       1138.65","       1143.27","    7421904","          8485239216.15","     159613","    4949933","         66.69"
"HCLTECH","EQ","01-Dec-2021","       1138.65","       1146.00","       1163.00","       1145.20","       1159.55","       1156.70","       1156.90","    2918586","          3376501071.95","     115314","    1759540","         60.29"
"HCLTECH","EQ","02-Dec-2021","       1156.70","       1161.90","       1186.40","       1153.00","       1183.00","       1184.70","       1172.47","    4011279","          4703119501.30","     120697","    2431883","         60.63"
"HCLTECH","EQ","03-Dec-2021","       1184.70","       1188.00","       1189.70","       1169.65","       1170.40","       1171.40","       1175.90","    2571036","          3023286791.30","      89550","    1665549","         64.78"
"HCLTECH","EQ","06-Dec-2021","       1171.40","       1169.90","       1172.65","       1134.85","       1137.80","       1136.55","       1146.37","    2493755","          2858757331.00","     107240","    1300001","         52.13"
"HCLTECH","EQ","07-Dec-2021","       1136.55","       1150.00","       1155.00","       1131.40","       1148.10","       1149.65","       1145.55","    2299958","          2634724153.60","      80940","    1155749","         50.25"
"HCLTECH","EQ","08-Dec-2021","       1149.65","       1157.40","       1181.60","       1157.05","       1170.05","       1171.60","       1173.09","    2525711","          2962881207.20","      87948","    1178518","         46.66"
"HCLTECH","EQ","09-Dec-2021","       1171.60","       1179.80","       1179.80","       1155.00","       1168.00","       1168.55","       1164.84","    1734844","          2020807372.70","      69721","     795501","         45.85"
