"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFC","EQ","16-Nov-2021","       3000.85","       2986.20","       2999.25","       2957.70","       2972.60","       2975.45","       2974.51","    4242014","         12617929621.30","     129445","    3189316","         75.18"
"HDFC","W3","16-Nov-2021","        989.80","        985.00","        985.00","        950.00","        960.00","        961.00","        961.38","      15000","            14420670.00","         24","       9600","         64.00"
"HDFC","EQ","17-Nov-2021","       2975.45","       2956.10","       2977.20","       2932.25","       2949.00","       2948.40","       2952.71","    2398355","          7081640386.50","     151593","    1686756","         70.33"
"HDFC","W3","17-Nov-2021","        961.00","        934.25","        960.00","        934.25","        941.00","        939.95","        946.47","      18600","            17604330.00","         28","      11400","         61.29"
"HDFC","EQ","18-Nov-2021","       2948.40","       2936.10","       2964.05","       2916.75","       2931.20","       2925.40","       2936.44","    3481704","         10223816402.00","     214188","    2583517","         74.20"
"HDFC","W3","18-Nov-2021","        939.95","        937.00","        937.00","        910.00","        924.95","        913.75","        919.65","      27600","            25382310.00","         45","      21000","         76.09"
"HDFC","EQ","22-Nov-2021","       2925.40","       2902.00","       2934.00","       2885.15","       2888.00","       2894.85","       2900.83","    3951901","         11463776122.05","     209720","    2972330","         75.21"
"HDFC","W3","22-Nov-2021","        913.75","        910.90","        911.00","        870.80","        880.00","        883.35","        887.05","      13800","            12241290.00","         23","      10200","         73.91"
"HDFC","EQ","23-Nov-2021","       2894.85","       2855.00","       2915.00","       2855.00","       2900.00","       2906.50","       2895.70","    3340056","          9671815412.25","     133643","    2431524","         72.80"
"HDFC","W3","23-Nov-2021","        883.35","        872.00","        897.00","        872.00","        886.00","        891.00","        882.99","      38400","            33906690.00","         64","      20400","         53.13"
"HDFC","EQ","24-Nov-2021","       2906.50","       2905.05","       2923.00","       2864.50","       2870.50","       2883.55","       2903.35","    2318225","          6730622393.20","     106810","    1406312","         60.66"
"HDFC","W3","24-Nov-2021","        891.00","        900.00","        901.00","        865.55","        865.55","        879.20","        888.64","      16800","            14929170.00","         26","      15000","         89.29"
"HDFC","EQ","25-Nov-2021","       2883.55","       2890.45","       2890.45","       2847.00","       2870.00","       2867.75","       2871.49","    2221089","          6377828537.00","     157117","    1470311","         66.20"
"HDFC","W3","25-Nov-2021","        879.20","        865.00","        887.95","        848.00","        867.00","        868.55","        865.66","      31200","            27008730.00","         52","      19200","         61.54"
"HDFC","EQ","26-Nov-2021","       2867.75","       2820.35","       2856.00","       2723.00","       2745.00","       2741.70","       2767.08","    3353278","          9278778701.35","     180323","    2019741","         60.23"
"HDFC","W3","26-Nov-2021","        868.55","        825.00","        830.00","        790.30","        818.00","        818.90","        810.97","     339000","           274917420.00","        542","     241200","         71.15"
"HDFC","EQ","29-Nov-2021","       2741.70","       2745.00","       2747.50","       2682.30","       2712.55","       2713.80","       2708.61","    3571428","          9673614457.80","     134289","    2411498","         67.52"
"HDFC","W3","29-Nov-2021","        818.90","        801.10","        820.65","        781.10","        814.00","        816.40","        801.22","      64800","            51918870.00","        101","      39000","         60.19"
"HDFC","EQ","30-Nov-2021","       2713.80","       2665.00","       2764.90","       2656.00","       2680.00","       2673.10","       2694.42","    7628539","         20554477574.55","     223764","    5331025","         69.88"
"HDFC","W3","30-Nov-2021","        816.40","        833.00","        843.00","        775.00","        783.00","        778.45","        803.66","      55200","            44361840.00","         92","      34800","         63.04"
"HDFC","EQ","01-Dec-2021","       2673.10","       2712.80","       2757.45","       2696.20","       2710.50","       2703.65","       2719.72","    3847384","         10463805533.00","     155732","    2454104","         63.79"
"HDFC","W3","01-Dec-2021","        778.45","        818.95","        830.05","        793.50","        800.00","        797.50","        810.85","      26400","            21406440.00","         44","      13800","         52.27"
"HDFC","EQ","02-Dec-2021","       2703.65","       2701.05","       2814.95","       2701.05","       2805.00","       2807.80","       2786.60","    4570690","         12736696605.15","     210319","    2710705","         59.31"
"HDFC","W3","02-Dec-2021","        797.50","        812.95","        855.00","        812.95","        855.00","        850.35","        841.94","      29400","            24753180.00","         48","      24000","         81.63"
"HDFC","EQ","03-Dec-2021","       2807.80","       2790.00","       2823.95","       2765.00","       2777.00","       2771.65","       2787.47","    2961572","          8255284191.70","     104884","    1898390","         64.10"
"HDFC","W3","03-Dec-2021","        850.35","        853.35","        860.00","        812.00","        850.00","        850.00","        853.35","      72600","            61953000.00","        117","      60600","         83.47"
"HDFC","EQ","06-Dec-2021","       2771.65","       2774.50","       2799.90","       2760.00","       2765.00","       2768.80","       2781.60","    1683131","          4681792852.90","      79423","    1109089","         65.89"
"HDFC","W3","06-Dec-2021","        850.00","        866.50","        866.70","        845.00","        845.00","        845.00","        856.15","       4800","             4109520.00","          8","       1800","         37.50"
