"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HDFCBANK","EQ","16-Nov-2021","       1557.25","       1555.00","       1557.20","       1541.60","       1547.55","       1548.00","       1548.02","    4122703","          6382046601.15","     139578","    3120847","         75.70"
"HDFCBANK","EQ","17-Nov-2021","       1548.00","       1536.90","       1544.00","       1528.50","       1531.20","       1530.80","       1535.47","    3799439","          5833910234.85","     145953","    2426211","         63.86"
"HDFCBANK","EQ","18-Nov-2021","       1530.80","       1526.05","       1543.50","       1525.25","       1538.50","       1539.40","       1536.60","    4576437","          7032168198.55","     181690","    2775777","         60.65"
"HDFCBANK","EQ","22-Nov-2021","       1539.40","       1546.00","       1552.70","       1499.05","       1520.95","       1515.35","       1524.17","    7630636","         11630387262.15","     222669","    5181802","         67.91"
"HDFCBANK","EQ","23-Nov-2021","       1515.35","       1502.00","       1527.80","       1496.35","       1517.00","       1515.55","       1517.40","    5617607","          8524161069.85","     164898","    3430808","         61.07"
"HDFCBANK","EQ","24-Nov-2021","       1515.55","       1524.00","       1536.35","       1514.05","       1516.95","       1518.05","       1524.49","   15401143","         23478856200.40","     141801","   13238732","         85.96"
"HDFCBANK","EQ","25-Nov-2021","       1518.05","       1514.80","       1533.30","       1507.00","       1522.80","       1525.95","       1518.57","    5125826","          7783949039.15","     138468","    3449892","         67.30"
"HDFCBANK","EQ","26-Nov-2021","       1525.95","       1500.00","       1506.70","       1485.00","       1489.50","       1489.90","       1497.04","    9312468","         13941134793.15","     250716","    7121233","         76.47"
"HDFCBANK","EQ","29-Nov-2021","       1489.90","       1494.80","       1507.65","       1462.00","       1499.05","       1501.25","       1489.00","    6495498","          9671797937.90","     202157","    4000943","         61.60"
"HDFCBANK","EQ","30-Nov-2021","       1501.25","       1495.00","       1529.00","       1486.55","       1490.80","       1493.55","       1508.60","   12610771","         19024641550.10","     257120","    9136547","         72.45"
"HDFCBANK","EQ","01-Dec-2021","       1493.55","       1495.00","       1507.05","       1489.10","       1506.40","       1504.65","       1500.08","    4338817","          6508562416.95","     162233","    2602790","         59.99"
"HDFCBANK","EQ","02-Dec-2021","       1504.65","       1504.50","       1528.80","       1500.00","       1526.00","       1525.75","       1519.11","    5601555","          8509395043.85","     187845","    3834955","         68.46"
"HDFCBANK","EQ","03-Dec-2021","       1525.75","       1525.80","       1535.95","       1507.05","       1514.00","       1513.55","       1522.48","    4062347","          6184845154.85","     143318","    2722337","         67.01"
"HDFCBANK","EQ","06-Dec-2021","       1513.55","       1513.00","       1518.80","       1497.35","       1504.70","       1503.80","       1507.25","    3514766","          5297635143.40","     141743","    1870296","         53.21"
"HDFCBANK","EQ","07-Dec-2021","       1503.80","       1513.95","       1532.00","       1509.90","       1524.65","       1525.70","       1523.82","    6213767","          9468635108.15","     148533","    4333305","         69.74"
"HDFCBANK","EQ","08-Dec-2021","       1525.70","       1536.00","       1555.05","       1534.00","       1553.50","       1553.80","       1545.20","    7647767","         11817305888.55","     229215","    5641750","         73.77"
"HDFCBANK","EQ","09-Dec-2021","       1553.80","       1545.20","       1554.70","       1522.00","       1526.00","       1526.85","       1530.57","    5873872","          8990397300.15","     148558","    3900369","         66.40"
