"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","16-Nov-2021","       2424.75","       2434.65","       2434.65","       2400.10","       2406.50","       2406.65","       2412.18","    1245209","          3003673965.15","      80841","     801309","         64.35"
"HINDUNILVR","EQ","17-Nov-2021","       2406.65","       2404.00","       2410.05","       2387.20","       2390.00","       2391.15","       2395.63","     956809","          2292157189.60","      71916","     669707","         69.99"
"HINDUNILVR","EQ","18-Nov-2021","       2391.15","       2390.00","       2406.35","       2370.00","       2397.00","       2399.40","       2387.61","    1236943","          2953341724.65","      69263","     821900","         66.45"
"HINDUNILVR","EQ","22-Nov-2021","       2399.40","       2409.40","       2409.90","       2377.15","       2391.20","       2388.55","       2388.24","    1629290","          3891133592.20","      90730","    1159438","         71.16"
"HINDUNILVR","EQ","23-Nov-2021","       2388.55","       2387.80","       2400.00","       2336.50","       2394.00","       2394.20","       2376.82","    1932539","          4593290945.80","     107305","    1358751","         70.31"
"HINDUNILVR","EQ","24-Nov-2021","       2394.20","       2406.00","       2406.00","       2367.00","       2368.00","       2374.75","       2383.49","     999070","          2381274058.95","      70561","     635342","         63.59"
"HINDUNILVR","EQ","25-Nov-2021","       2374.75","       2387.00","       2387.00","       2341.00","       2348.45","       2349.05","       2351.12","    1363272","          3205216444.60","      98991","     876413","         64.29"
"HINDUNILVR","EQ","26-Nov-2021","       2349.05","       2344.00","       2365.00","       2325.20","       2340.90","       2335.10","       2337.33","    2450902","          5728556221.45","     114413","    1673635","         68.29"
"HINDUNILVR","EQ","29-Nov-2021","       2335.10","       2334.40","       2342.25","       2284.70","       2322.00","       2329.40","       2316.07","    1724612","          3994327558.85","     131269","    1092735","         63.36"
"HINDUNILVR","EQ","30-Nov-2021","       2329.40","       2322.00","       2361.00","       2302.00","       2318.00","       2317.55","       2326.84","    3931035","          9146882608.20","     150429","    2756810","         70.13"
"HINDUNILVR","EQ","01-Dec-2021","       2317.55","       2340.00","       2356.75","       2323.25","       2350.85","       2344.85","       2342.66","    1263139","          2959103018.65","      77481","     803143","         63.58"
"HINDUNILVR","EQ","02-Dec-2021","       2344.85","       2357.00","       2388.00","       2345.00","       2388.00","       2383.30","       2369.10","    1673117","          3963788667.55","      87766","    1242801","         74.28"
"HINDUNILVR","EQ","03-Dec-2021","       2383.30","       2383.30","       2389.90","       2337.90","       2348.50","       2343.65","       2361.63","    1890178","          4463906037.10","      80104","    1203584","         63.68"
"HINDUNILVR","EQ","06-Dec-2021","       2343.65","       2344.00","       2363.95","       2301.00","       2303.50","       2306.50","       2324.66","    1079171","          2508703504.70","      88942","     718052","         66.54"
"HINDUNILVR","EQ","07-Dec-2021","       2306.50","       2327.90","       2341.65","       2312.00","       2321.45","       2321.60","       2327.82","     895313","          2084126425.15","      63743","     517621","         57.81"
"HINDUNILVR","EQ","08-Dec-2021","       2321.60","       2318.25","       2344.45","       2318.25","       2338.60","       2340.60","       2335.14","     839769","          1960978960.45","      54015","     578915","         68.94"
"HINDUNILVR","EQ","09-Dec-2021","       2340.60","       2341.00","       2348.60","       2321.55","       2341.00","       2339.75","       2335.61","     716666","          1673854596.85","      58472","     409792","         57.18"
