"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","16-Nov-2021","        773.30","        773.30","        775.75","        762.00","        762.35","        764.05","        767.52","   12785837","          9813353301.50","     221709","    9279733","         72.58"
"ICICIBANK","EQ","17-Nov-2021","        764.05","        760.90","        771.95","        756.30","        759.95","        761.30","        764.78","   11657214","          8915156891.20","     175725","    7726267","         66.28"
"ICICIBANK","EQ","18-Nov-2021","        761.30","        764.90","        767.50","        756.40","        761.20","        762.90","        762.26","   20644385","         15736422334.90","     261386","   14256159","         69.06"
"ICICIBANK","EQ","22-Nov-2021","        762.90","        768.30","        770.45","        740.25","        756.35","        752.00","        755.06","   20403786","         15405990461.00","     304519","   13631128","         66.81"
"ICICIBANK","EQ","23-Nov-2021","        752.00","        740.95","        757.95","        731.20","        753.00","        751.85","        746.70","   24913042","         18602573811.95","     333977","   16590502","         66.59"
"ICICIBANK","EQ","24-Nov-2021","        751.85","        750.25","        772.25","        746.70","        758.00","        760.20","        762.29","   23186419","         17674666964.25","     336623","   15743117","         67.90"
"ICICIBANK","EQ","25-Nov-2021","        760.20","        754.90","        754.95","        745.30","        752.60","        751.05","        750.35","   17749726","         13318539671.75","     252561","   10601182","         59.73"
"ICICIBANK","EQ","26-Nov-2021","        751.05","        739.00","        742.05","        718.60","        720.45","        722.20","        729.89","   18987552","         13858808906.30","     328322","   12429525","         65.46"
"ICICIBANK","EQ","29-Nov-2021","        722.20","        726.75","        727.75","        710.50","        718.25","        718.40","        720.84","   15878074","         11445480673.90","     280903","    8800221","         55.42"
"ICICIBANK","EQ","30-Nov-2021","        718.40","        716.75","        732.30","        711.10","        712.00","        714.35","        719.11","   23965914","         17234095070.85","     283945","   13912442","         58.05"
"ICICIBANK","EQ","01-Dec-2021","        714.35","        716.40","        732.75","        715.00","        727.05","        727.70","        725.68","   15214913","         11041156334.05","     267019","    7894858","         51.89"
"ICICIBANK","EQ","02-Dec-2021","        727.70","        724.60","        727.10","        715.20","        723.50","        722.40","        721.16","   21924640","         15811142521.00","     396183","   14440469","         65.86"
"ICICIBANK","EQ","03-Dec-2021","        722.40","        720.50","        729.50","        715.10","        717.15","        716.30","        722.33","   20130259","         14540695393.25","     363633","   12487845","         62.04"
"ICICIBANK","EQ","06-Dec-2021","        716.30","        719.00","        726.80","        707.50","        708.95","        709.55","        717.87","   20129080","         14450100739.90","     350214","   10498972","         52.16"
"ICICIBANK","EQ","07-Dec-2021","        709.55","        717.00","        740.95","        712.00","        734.15","        734.65","        730.19","   30513303","         22280542268.70","     379455","   15351235","         50.31"
"ICICIBANK","EQ","08-Dec-2021","        734.65","        747.90","        758.80","        744.10","        753.55","        753.40","        751.77","   33432411","         25133481383.80","     362183","   21182842","         63.36"
"ICICIBANK","EQ","09-Dec-2021","        753.40","        759.05","        763.00","        748.40","        754.30","        755.00","        755.98","   16007459","         12101308616.85","     220895","    9391329","         58.67"
