"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INDUSINDBK","EQ","16-Nov-2021","       1041.50","       1042.00","       1046.00","       1018.25","       1020.00","       1020.90","       1031.20","    2685826","          2769614104.50","     100384","    1020125","         37.98"
"INDUSINDBK","EQ","17-Nov-2021","       1020.90","       1017.90","       1042.00","       1014.00","       1034.05","       1034.00","       1032.76","    3042496","          3142180659.20","      76146","     850859","         27.97"
"INDUSINDBK","EQ","18-Nov-2021","       1034.00","       1031.80","       1042.00","       1002.30","       1007.50","       1008.45","       1015.48","    3244457","          3294680293.30","     111110","    1138856","         35.10"
"INDUSINDBK","EQ","22-Nov-2021","       1008.45","       1024.00","       1025.90","        988.55","       1009.00","       1006.90","       1001.95","    6198324","          6210387847.30","     169683","    2791181","         45.03"
"INDUSINDBK","EQ","23-Nov-2021","       1006.90","        995.00","       1010.00","        974.00","        981.00","        981.35","        986.10","    8136685","          8023577278.35","     195114","    3718144","         45.70"
"INDUSINDBK","EQ","24-Nov-2021","        981.35","        989.00","        993.65","        966.00","        968.00","        970.40","        983.77","    6646771","          6538903584.90","     129495","    3486077","         52.45"
"INDUSINDBK","EQ","25-Nov-2021","        970.40","        968.00","        970.00","        951.35","        959.35","        959.30","        960.95","    5711537","          5488485243.80","     101693","    2601828","         45.55"
"INDUSINDBK","EQ","26-Nov-2021","        959.30","        951.00","        956.95","        898.00","        899.95","        901.80","        923.13","    6746021","          6227440295.25","     182483","    2392162","         35.46"
"INDUSINDBK","EQ","29-Nov-2021","        901.80","        926.90","        938.00","        888.85","        894.00","        895.45","        907.83","   11905868","         10808478012.95","     226646","    3557297","         29.88"
"INDUSINDBK","EQ","30-Nov-2021","        895.45","        902.00","        927.50","        875.70","        878.35","        883.00","        902.94","    6964145","          6288231864.90","     141548","    1922579","         27.61"
"INDUSINDBK","EQ","01-Dec-2021","        883.00","        891.00","        938.75","        890.15","        934.50","        933.65","        924.30","   14626216","         13518949956.00","     230994","    4635520","         31.69"
"INDUSINDBK","EQ","02-Dec-2021","        933.65","        935.00","        950.00","        925.65","        947.00","        945.55","        938.86","    5703967","          5355204623.35","     112965","    2126377","         37.28"
"INDUSINDBK","EQ","03-Dec-2021","        945.55","        944.95","        957.85","        938.50","        952.60","        951.15","        950.51","    4928235","          4684353315.20","     108354","    1820339","         36.94"
"INDUSINDBK","EQ","06-Dec-2021","        951.15","        952.00","        952.00","        914.00","        916.00","        915.65","        928.05","    4617346","          4285143226.25","     104559","    1133646","         24.55"
"INDUSINDBK","EQ","07-Dec-2021","        915.65","        922.90","        936.50","        920.80","        926.90","        926.65","        928.75","    3434735","          3190023888.50","      98773","    1035187","         30.14"
"INDUSINDBK","EQ","08-Dec-2021","        926.65","        936.00","        949.00","        932.50","        943.20","        945.30","        939.32","    3774244","          3545233653.75","      65800","    1638462","         43.41"
"INDUSINDBK","EQ","09-Dec-2021","        945.30","        947.00","        950.50","        938.20","        947.00","        946.40","        944.45","    3111606","          2938750439.85","      74727","     918095","         29.51"
