"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"INFY","EQ","16-Nov-2021","       1787.15","       1790.00","       1808.95","       1777.00","       1791.40","       1792.30","       1797.43","    6034233","         10846091248.70","     173120","    4449743","         73.74"
"INFY","EQ","17-Nov-2021","       1792.30","       1792.55","       1802.00","       1780.70","       1790.55","       1787.45","       1792.60","    4732492","          8483456713.50","     195585","    3566579","         75.36"
"INFY","EQ","18-Nov-2021","       1787.45","       1781.60","       1789.45","       1759.00","       1774.00","       1779.40","       1773.94","    4326924","          7675682400.00","     154647","    3096489","         71.56"
"INFY","EQ","22-Nov-2021","       1779.40","       1784.00","       1785.40","       1751.15","       1760.25","       1759.40","       1766.39","    6621839","         11696747300.55","     170729","    5212759","         78.72"
"INFY","EQ","23-Nov-2021","       1759.40","       1735.10","       1747.25","       1710.00","       1727.50","       1736.90","       1732.65","    8436160","         14616871616.00","     228363","    6315371","         74.86"
"INFY","EQ","24-Nov-2021","       1736.90","       1740.00","       1740.50","       1688.00","       1690.20","       1696.00","       1712.88","    7333061","         12560636398.70","     261744","    4858944","         66.26"
"INFY","EQ","25-Nov-2021","       1696.00","       1700.00","       1726.20","       1696.95","       1722.50","       1722.40","       1715.34","    4476260","          7678310603.80","     141756","    2859354","         63.88"
"INFY","EQ","26-Nov-2021","       1722.40","       1702.55","       1718.35","       1684.00","       1689.55","       1691.65","       1701.47","    4494181","          7646702666.25","     189716","    2981159","         66.33"
"INFY","EQ","29-Nov-2021","       1691.65","       1691.00","       1712.00","       1669.15","       1696.20","       1696.35","       1694.69","    3942776","          6681771091.15","     187081","    2268845","         57.54"
"INFY","EQ","30-Nov-2021","       1696.35","       1704.55","       1729.90","       1700.05","       1717.00","       1712.65","       1713.80","   14808963","         25379600677.05","     209403","   10710732","         72.33"
"INFY","EQ","01-Dec-2021","       1712.65","       1715.00","       1741.90","       1713.00","       1717.00","       1714.90","       1726.72","    5193264","          8967308949.60","     204083","    3492968","         67.26"
"INFY","EQ","02-Dec-2021","       1714.90","       1715.00","       1750.50","       1711.35","       1748.00","       1748.25","       1737.73","    5559574","          9661020145.95","     173258","    3879791","         69.79"
"INFY","EQ","03-Dec-2021","       1748.25","       1771.10","       1786.65","       1732.55","       1737.60","       1735.55","       1758.49","    6754012","         11876876753.60","     172077","    3834641","         56.78"
"INFY","EQ","06-Dec-2021","       1735.55","       1730.00","       1733.95","       1691.50","       1694.95","       1695.30","       1705.47","    3991449","          6807306903.90","     170662","    2340393","         58.64"
"INFY","EQ","07-Dec-2021","       1695.30","       1701.10","       1724.90","       1694.00","       1711.45","       1711.65","       1711.29","    4202122","          7191049985.50","     113379","    2241173","         53.33"
"INFY","EQ","08-Dec-2021","       1711.65","       1733.00","       1759.80","       1732.60","       1752.40","       1753.35","       1749.49","    3029169","          5299514521.95","     101838","    1536940","         50.74"
"INFY","EQ","09-Dec-2021","       1753.35","       1759.00","       1769.40","       1742.00","       1758.00","       1763.45","       1757.23","    2082171","          3658856607.40","      90007","    1086606","         52.19"
