"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ITC","EQ","16-Nov-2021","        238.10","        239.05","        239.65","        235.00","        235.25","        235.45","        237.36","   14675969","          3483462764.40","      97861","    7990381","         54.45"
"ITC","EQ","17-Nov-2021","        235.45","        236.00","        245.25","        235.65","        239.30","        239.50","        240.97","   46697822","         11252900644.60","     246949","   15742715","         33.71"
"ITC","EQ","18-Nov-2021","        239.50","        240.00","        243.00","        236.30","        237.65","        237.50","        239.33","   20226071","          4840731217.20","     155791","    6235411","         30.83"
"ITC","EQ","22-Nov-2021","        237.50","        237.90","        240.75","        229.55","        230.65","        230.90","        234.65","   22574227","          5297154356.35","     208402","    9151955","         40.54"
"ITC","EQ","23-Nov-2021","        230.90","        229.15","        232.70","        229.15","        231.60","        231.60","        231.58","   13433385","          3110900696.85","     108687","    5619040","         41.83"
"ITC","EQ","24-Nov-2021","        231.60","        232.45","        232.70","        226.95","        227.20","        227.70","        230.18","   14139854","          3254708104.85","     115870","    7123530","         50.38"
"ITC","EQ","25-Nov-2021","        227.70","        227.00","        232.20","        225.75","        231.75","        231.30","        229.18","   23904846","          5478606329.60","     156605","    8611244","         36.02"
"ITC","EQ","26-Nov-2021","        231.30","        228.90","        230.05","        223.10","        223.60","        224.00","        225.91","   27027022","          6105588978.90","     245321","   14680176","         54.32"
"ITC","EQ","29-Nov-2021","        224.00","        222.00","        223.65","        220.20","        221.70","        221.50","        221.89","   22132952","          4911170711.55","     165328","   12432385","         56.17"
"ITC","EQ","30-Nov-2021","        221.50","        222.00","        225.20","        220.00","        221.70","        221.15","        222.37","   23503453","          5226406262.10","     175420","   14090658","         59.95"
"ITC","EQ","01-Dec-2021","        221.15","        222.00","        223.30","        220.60","        222.45","        221.90","        221.74","   12995800","          2881630209.60","      88476","    7655675","         58.91"
"ITC","EQ","02-Dec-2021","        221.90","        221.90","        226.15","        221.30","        225.40","        225.45","        223.81","   15904846","          3559587477.90","     108458","    8098598","         50.92"
"ITC","EQ","03-Dec-2021","        225.45","        225.00","        226.20","        221.35","        221.50","        221.65","        223.15","   13794647","          3078281193.70","     130988","    7478145","         54.21"
"ITC","EQ","06-Dec-2021","        221.65","        221.65","        222.20","        217.50","        217.70","        217.90","        219.34","   13138355","          2881802652.10","     132878","    7003402","         53.31"
"ITC","EQ","07-Dec-2021","        217.90","        218.90","        221.95","        218.10","        220.70","        220.65","        219.99","    8903842","          1958738018.10","      99015","    3596089","         40.39"
"ITC","EQ","08-Dec-2021","        220.65","        221.00","        225.65","        221.00","        224.70","        224.95","        223.46","    9861847","          2203730739.10","      84237","    4179653","         42.38"
"ITC","EQ","09-Dec-2021","        224.95","        223.00","        236.45","        223.00","        236.00","        235.40","        231.46","   38241864","          8851290206.80","     216236","   11266040","         29.46"
