"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"KOTAKBANK","EQ","16-Nov-2021","       2097.30","       2099.90","       2103.85","       2070.00","       2080.00","       2082.85","       2081.81","    1545107","          3216616875.50","      60874","    1013646","         65.60"
"KOTAKBANK","EQ","17-Nov-2021","       2082.85","       2070.00","       2081.85","       2045.50","       2048.00","       2053.10","       2064.15","    1446763","          2986329764.15","      70660","     841431","         58.16"
"KOTAKBANK","EQ","18-Nov-2021","       2053.10","       2050.00","       2062.45","       2008.90","       2025.00","       2024.45","       2031.42","    2793199","          5674151553.70","      84499","    1825752","         65.36"
"KOTAKBANK","EQ","22-Nov-2021","       2024.45","       2044.00","       2044.00","       1941.00","       1962.35","       1955.45","       1971.53","    2748329","          5418412147.10","     121609","    1728337","         62.89"
"KOTAKBANK","EQ","23-Nov-2021","       1955.45","       1938.00","       1993.15","       1932.70","       1975.15","       1982.90","       1959.72","    3229625","          6329153014.00","      94874","    1928921","         59.73"
"KOTAKBANK","EQ","24-Nov-2021","       1982.90","       1979.55","       2024.95","       1970.00","       2006.55","       2011.40","       2001.56","    1947483","          3898011991.55","      72678","    1005372","         51.62"
"KOTAKBANK","EQ","25-Nov-2021","       2011.40","       2020.00","       2048.00","       2013.05","       2030.00","       2035.10","       2030.96","    3164428","          6426834024.95","     112658","    1679716","         53.08"
"KOTAKBANK","EQ","26-Nov-2021","       2035.10","       2002.00","       2007.00","       1955.10","       1960.00","       1964.30","       1973.59","    2647553","          5225190661.95","     138108","    1488069","         56.21"
"KOTAKBANK","EQ","29-Nov-2021","       1964.30","       1993.00","       2045.00","       1937.20","       2011.00","       2019.60","       2005.12","    4171900","          8365150431.30","     167780","    1603226","         38.43"
"KOTAKBANK","EQ","30-Nov-2021","       2019.60","       2023.00","       2039.60","       1946.90","       1957.00","       1961.90","       1988.17","    4265816","          8481161609.30","     175998","    2235879","         52.41"
"KOTAKBANK","EQ","01-Dec-2021","       1961.90","       1979.00","       1985.90","       1940.00","       1955.65","       1953.35","       1962.68","    2585693","          5074878632.05","     116421","    1294198","         50.05"
"KOTAKBANK","EQ","02-Dec-2021","       1953.35","       1947.55","       1980.95","       1945.60","       1966.30","       1964.25","       1965.71","    1932929","          3799580418.00","      79094","    1157853","         59.90"
"KOTAKBANK","EQ","03-Dec-2021","       1964.25","       1966.70","       1989.90","       1905.20","       1920.00","       1914.20","       1946.10","    3491724","          6795256748.60","     199083","    2079567","         59.56"
"KOTAKBANK","EQ","06-Dec-2021","       1914.20","       1920.00","       1926.50","       1877.00","       1886.00","       1885.20","       1892.48","    3081336","          5831365090.70","     107358","    1871414","         60.73"
"KOTAKBANK","EQ","07-Dec-2021","       1885.20","       1912.00","       1963.80","       1910.20","       1934.50","       1937.15","       1944.14","    7344475","         14278719074.30","     180945","    4343985","         59.15"
"KOTAKBANK","EQ","08-Dec-2021","       1937.15","       1970.00","       1970.00","       1915.45","       1921.95","       1920.45","       1932.62","    5125595","          9905814160.15","     175731","    3364945","         65.65"
"KOTAKBANK","EQ","09-Dec-2021","       1920.45","       1926.00","       1936.90","       1886.10","       1918.75","       1916.35","       1902.98","    4654453","          8857333734.10","     116373","    2636417","         56.64"
