"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"LT","EQ","16-Nov-2021","       1947.05","       1950.00","       1979.95","       1944.00","       1950.00","       1955.30","       1955.51","    2279531","          4457656647.60","      92032","    1272250","         55.81"
"LT","EQ","17-Nov-2021","       1955.30","       1949.00","       1978.90","       1943.55","       1951.00","       1952.90","       1962.76","    2166686","          4252674129.40","      74181","    1162719","         53.66"
"LT","EQ","18-Nov-2021","       1952.90","       1952.90","       1954.00","       1893.00","       1896.00","       1897.00","       1910.76","    1883794","          3599473509.90","     108392","    1101265","         58.46"
"LT","EQ","22-Nov-2021","       1897.00","       1898.25","       1900.00","       1837.85","       1865.40","       1864.50","       1866.37","    2407464","          4493211070.05","     126797","    1433202","         59.53"
"LT","EQ","23-Nov-2021","       1864.50","       1850.00","       1895.60","       1844.50","       1893.05","       1886.35","       1874.94","    2028470","          3803261071.60","      83058","    1259603","         62.10"
"LT","EQ","24-Nov-2021","       1886.35","       1894.00","       1902.40","       1845.95","       1854.00","       1862.50","       1881.65","    1361828","          2562477186.70","      71031","     799118","         58.68"
"LT","EQ","25-Nov-2021","       1862.50","       1855.00","       1866.85","       1838.20","       1849.95","       1849.90","       1850.90","    1930012","          3572256725.65","      76065","    1335717","         69.21"
"LT","EQ","26-Nov-2021","       1849.90","       1820.00","       1841.75","       1768.60","       1781.00","       1778.15","       1797.95","    2796595","          5028137166.00","     140633","    1674813","         59.89"
"LT","EQ","29-Nov-2021","       1778.15","       1778.00","       1790.05","       1735.15","       1767.10","       1767.25","       1772.43","    2111420","          3742338305.40","     109839","    1115701","         52.84"
"LT","EQ","30-Nov-2021","       1767.25","       1767.25","       1798.90","       1751.30","       1764.00","       1764.75","       1768.65","    3385628","          5987979387.05","     127241","    2072473","         61.21"
"LT","EQ","01-Dec-2021","       1764.75","       1764.00","       1794.00","       1762.05","       1790.05","       1786.00","       1783.74","    1359786","          2425501910.20","      71955","     622499","         45.78"
"LT","EQ","02-Dec-2021","       1786.00","       1785.95","       1794.00","       1763.00","       1793.00","       1789.20","       1779.01","    2813690","          5005592325.10","     100594","    1754068","         62.34"
"LT","EQ","03-Dec-2021","       1789.20","       1799.95","       1844.80","       1796.55","       1800.00","       1801.25","       1819.28","    3612772","          6572656163.40","     136583","    1485294","         41.11"
"LT","EQ","06-Dec-2021","       1801.25","       1799.00","       1821.00","       1778.00","       1783.85","       1782.65","       1798.71","    1566109","          2816974801.90","     100780","     784633","         50.10"
"LT","EQ","07-Dec-2021","       1782.65","       1790.20","       1810.00","       1772.10","       1793.55","       1798.10","       1794.92","    2097201","          3764310667.40","      93762","    1227353","         58.52"
"LT","EQ","08-Dec-2021","       1798.10","       1802.00","       1841.00","       1802.00","       1823.40","       1825.05","       1829.63","    3433206","          6281505102.30","      82617","    1658990","         48.32"
"LT","EQ","09-Dec-2021","       1825.05","       1835.00","       1884.15","       1827.95","       1879.95","       1879.80","       1858.90","    3791595","          7048213942.50","     106987","    2250312","         59.35"
