"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"MARUTI","EQ","16-Nov-2021","       7503.10","       7545.00","       8128.75","       7535.05","       8049.55","       8050.35","       7944.21","    2619355","         20808698928.20","     239335","     635851","         24.28"
"MARUTI","EQ","17-Nov-2021","       8050.35","       8035.00","       8350.00","       8015.05","       8240.00","       8274.75","       8214.14","    2377268","         19527209332.10","     213201","     855292","         35.98"
"MARUTI","EQ","18-Nov-2021","       8274.75","       8234.00","       8368.00","       8001.10","       8099.75","       8117.15","       8181.17","    1337493","         10942256532.85","     144331","     324076","         24.23"
"MARUTI","EQ","22-Nov-2021","       8117.15","       8158.00","       8187.85","       7806.55","       7880.00","       7864.40","       7921.33","     672298","          5325491495.75","      76787","     253711","         37.74"
"MARUTI","EQ","23-Nov-2021","       7864.40","       7849.10","       7953.95","       7805.00","       7844.75","       7854.00","       7873.82","     567198","          4466012226.55","      78030","     239283","         42.19"
"MARUTI","EQ","24-Nov-2021","       7854.00","       7865.50","       7897.95","       7636.60","       7636.60","       7669.45","       7717.48","     571078","          4407283241.80","      73284","     258529","         45.27"
"MARUTI","EQ","25-Nov-2021","       7669.45","       7640.00","       7719.40","       7435.00","       7571.00","       7572.50","       7531.22","    1007618","          7588588260.40","      61483","     650123","         64.52"
"MARUTI","EQ","26-Nov-2021","       7572.50","       7520.00","       7520.00","       7130.00","       7150.00","       7170.50","       7280.55","    1154876","          8408128599.20","     126991","     560500","         48.53"
"MARUTI","EQ","29-Nov-2021","       7170.50","       7166.00","       7210.00","       6990.70","       7137.50","       7149.50","       7134.95","     733010","          5229988255.85","      82351","     343132","         46.81"
"MARUTI","EQ","30-Nov-2021","       7149.50","       7149.50","       7250.00","       7015.55","       7055.00","       7067.80","       7146.03","    1287938","          9203638120.90","     105865","     769059","         59.71"
"MARUTI","EQ","01-Dec-2021","       7067.80","       7191.00","       7380.00","       7130.05","       7300.50","       7273.25","       7261.18","    1669583","         12123136350.00","     147857","     543269","         32.54"
"MARUTI","EQ","02-Dec-2021","       7273.25","       7285.00","       7355.45","       7245.65","       7306.45","       7324.95","       7292.46","     618573","          4510916342.55","      66146","     198162","         32.04"
"MARUTI","EQ","03-Dec-2021","       7324.95","       7305.00","       7329.00","       7148.75","       7200.00","       7208.70","       7240.20","     603798","          4371620439.60","      61913","     202101","         33.47"
"MARUTI","EQ","06-Dec-2021","       7208.70","       7193.00","       7200.00","       7021.00","       7050.05","       7042.85","       7080.91","     609507","          4315866085.45","      68413","     178862","         29.35"
"MARUTI","EQ","07-Dec-2021","       7042.85","       7129.00","       7261.80","       7091.20","       7190.00","       7186.60","       7189.89","     637151","          4581043445.30","      64247","     228168","         35.81"
"MARUTI","EQ","08-Dec-2021","       7186.60","       7225.00","       7497.85","       7151.10","       7415.55","       7434.90","       7322.85","     930339","          6812732913.20","     101965","     189467","         20.37"
"MARUTI","EQ","09-Dec-2021","       7434.90","       7469.00","       7469.00","       7325.00","       7405.00","       7421.75","       7408.75","     615037","          4556652787.65","      71922","     212228","         34.51"
