"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"NTPC","EQ","16-Nov-2021","        137.15","        137.70","        137.80","        134.00","        134.25","        134.30","        135.44","    5762128","           780447357.25","      53864","    2747524","         47.68"
"NTPC","N4","16-Nov-2021","       1156.60","       1298.00","       1298.00","       1250.00","       1250.00","       1250.00","       1267.00","          6","                7602.00","          3","          3","         50.00"
"NTPC","N6","16-Nov-2021","       1450.01","       1479.00","       1479.00","       1465.00","       1474.99","       1474.99","       1469.90","        212","              311617.99","          6","        211","         99.53"
"NTPC","N7","16-Nov-2021","         13.95","         13.95","         14.02","         13.90","         13.95","         13.95","         13.96","      23832","              332750.25","         76","      23507","         98.64"
"NTPC","NA","16-Nov-2021","       1270.20","       1488.00","       1488.00","       1488.00","       1488.00","       1488.00","       1488.00","         25","               37200.00","          1","         25","        100.00"
"NTPC","ND","16-Nov-2021","       1290.00","       1290.05","       1290.05","       1290.00","       1290.00","       1290.00","       1290.02","         30","               38700.50","          4","         30","        100.00"
"NTPC","EQ","17-Nov-2021","        134.30","        134.00","        138.00","        134.00","        136.55","        136.45","        136.69","   15264066","          2086432946.70","      80781","    8159019","         53.45"
"NTPC","N6","17-Nov-2021","       1474.99","       1474.99","       1475.00","       1474.99","       1475.00","       1475.00","       1475.00","        117","              172574.83","          2","        117","        100.00"
"NTPC","N7","17-Nov-2021","         13.95","         13.87","         14.02","         13.86","         14.00","         13.99","         13.97","      45168","              630968.13","         97","      32604","         72.18"
"NTPC","NA","17-Nov-2021","       1488.00","       1272.00","       1480.00","       1272.00","       1480.00","       1480.00","       1309.14","         28","               36656.00","          2","         28","        100.00"
"NTPC","NB","17-Nov-2021","       1103.00","       1094.01","       1094.01","       1094.01","       1094.01","       1094.01","       1094.01","          2","                2188.02","          1","          2","        100.00"
"NTPC","ND","17-Nov-2021","       1290.00","       1290.00","       1290.00","       1290.00","       1290.00","       1290.00","       1290.00","          1","                1290.00","          1","          1","        100.00"
"NTPC","EQ","18-Nov-2021","        136.45","        136.60","        137.60","        134.75","        134.90","        135.30","        136.05","    9942974","          1352724620.45","      62062","    5583941","         56.16"
"NTPC","N6","18-Nov-2021","       1475.00","       1479.00","       1479.00","       1475.00","       1475.00","       1475.00","       1477.00","          2","                2954.00","          2","          1","         50.00"
"NTPC","N7","18-Nov-2021","         13.99","         14.00","         14.00","         13.91","         13.99","         13.96","         13.98","      16700","              233464.71","         59","      16219","         97.12"
"NTPC","N8","18-Nov-2021","       1515.00","       1213.00","       1213.00","       1212.00","       1212.00","       1212.00","       1212.15","         65","               78790.00","          3","         65","        100.00"
"NTPC","NA","18-Nov-2021","       1480.00","       1480.00","       1480.00","       1275.00","       1275.00","       1275.00","       1283.20","         25","               32080.00","          2","         25","        100.00"
"NTPC","NB","18-Nov-2021","       1094.01","       1094.21","       1094.42","       1094.11","       1094.42","       1094.42","       1094.31","        391","              427874.86","          4","        391","        100.00"
"NTPC","ND","18-Nov-2021","       1290.00","       1290.00","       1300.00","       1290.00","       1298.99","       1298.99","       1298.30","        270","              350540.73","         15","        270","        100.00"
"NTPC","EQ","22-Nov-2021","        135.30","        135.00","        136.90","        129.70","        130.00","        130.15","        131.84","   15990636","          2108205224.50","     101661","    9482393","         59.30"
"NTPC","N4","22-Nov-2021","       1250.00","       1285.00","       1285.00","       1249.90","       1249.90","       1249.90","       1267.45","          2","                2534.90","          2","          1","         50.00"
"NTPC","N6","22-Nov-2021","       1475.00","       1470.00","       1470.00","       1469.00","       1469.99","       1469.99","       1469.85","        633","              930414.71","          8","        633","        100.00"
"NTPC","N7","22-Nov-2021","         13.96","         13.96","         14.00","         13.91","         13.97","         13.97","         13.97","     109072","             1523707.57","         94","     108447","         99.43"
