"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ONGC","EQ","16-Nov-2021","        157.80","        159.40","        159.70","        156.80","        157.60","        157.15","        158.09","   12956283","          2048312194.35","      79937","    5284510","         40.79"
"ONGC","EQ","17-Nov-2021","        157.15","        157.00","        159.25","        156.60","        157.60","        157.40","        157.96","   11420415","          1803916179.40","      87941","    6564488","         57.48"
"ONGC","EQ","18-Nov-2021","        157.40","        157.00","        157.00","        153.70","        154.45","        154.30","        154.78","   18351511","          2840442524.30","     121942","   11325211","         61.71"
"ONGC","EQ","22-Nov-2021","        154.30","        151.25","        153.70","        146.00","        147.90","        146.55","        149.02","   21558590","          3212744173.10","     127921","    9169484","         42.53"
"ONGC","EQ","23-Nov-2021","        146.55","        145.80","        147.70","        143.40","        146.85","        146.70","        145.83","   21216047","          3094021167.05","     113879","   10228339","         48.21"
"ONGC","EQ","24-Nov-2021","        146.70","        149.00","        155.85","        149.00","        152.95","        153.45","        153.44","   36294271","          5568985596.30","     201127","    9292657","         25.60"
"ONGC","EQ","25-Nov-2021","        153.45","        154.00","        156.00","        152.55","        155.15","        155.10","        153.99","   11554142","          1779271231.15","      75739","    3237665","         28.02"
"ONGC","EQ","26-Nov-2021","        155.10","        152.25","        152.25","        146.25","        147.75","        147.10","        148.83","   23135841","          3443337067.35","     161796","   13019905","         56.28"
"ONGC","EQ","29-Nov-2021","        147.10","        145.00","        146.05","        141.90","        144.40","        144.10","        144.02","   18736522","          2698426387.90","     100327","    9960323","         53.16"
"ONGC","EQ","30-Nov-2021","        144.10","        143.35","        147.75","        141.10","        142.40","        142.10","        143.34","   22980651","          3294048881.45","     107133","   12146614","         52.86"
"ONGC","EQ","01-Dec-2021","        142.10","        142.40","        143.65","        139.65","        142.30","        142.25","        141.22","   14278744","          2016472665.40","      87668","    5244802","         36.73"
"ONGC","EQ","02-Dec-2021","        142.25","        140.50","        144.65","        140.40","        144.00","        144.00","        142.77","    8561767","          1222380607.75","      71874","    2508072","         29.29"
"ONGC","EQ","03-Dec-2021","        144.00","        144.00","        146.85","        143.15","        145.80","        145.90","        145.75","   10690334","          1558119330.05","      64188","    3582414","         33.51"
"ONGC","EQ","06-Dec-2021","        145.90","        145.80","        145.85","        142.75","        143.60","        143.35","        144.17","    7749262","          1117222600.75","      74001","    3211619","         41.44"
"ONGC","EQ","07-Dec-2021","        143.35","        145.00","        146.25","        144.50","        146.15","        145.90","        145.73","   10253663","          1494281699.30","      73230","    4879123","         47.58"
"ONGC","EQ","08-Dec-2021","        145.90","        147.00","        150.35","        146.80","        148.50","        148.40","        148.49","   12266948","          1821534393.55","      74964","    3837053","         31.28"
"ONGC","EQ","09-Dec-2021","        148.40","        149.50","        149.90","        146.35","        147.50","        147.35","        147.83","    7989291","          1181046316.80","      48750","    3524506","         44.12"
