"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"POWERGRID","EQ","16-Nov-2021","        188.30","        189.00","        191.35","        186.50","        187.80","        187.60","        188.84","   17404748","          3286740449.60","      67303","   12455223","         71.56"
"POWERGRID","EQ","17-Nov-2021","        187.60","        187.00","        193.80","        187.00","        190.65","        191.05","        191.41","   13769624","          2635623239.85","      94920","    6133498","         44.54"
"POWERGRID","EQ","18-Nov-2021","        191.05","        191.85","        194.45","        191.05","        192.00","        192.50","        192.66","    8057200","          1552280584.20","      79224","    2640059","         32.77"
"POWERGRID","EQ","22-Nov-2021","        192.50","        194.40","        197.00","        192.00","        193.80","        194.20","        194.36","   18821791","          3658161847.25","     144811","    7890033","         41.92"
"POWERGRID","EQ","23-Nov-2021","        194.20","        193.25","        202.40","        193.15","        202.00","        201.85","        199.23","   14753654","          2939401849.95","     101632","    8302018","         56.27"
"POWERGRID","EQ","24-Nov-2021","        201.85","        202.20","        207.45","        202.00","        202.85","        203.30","        204.80","   13590359","          2783283813.70","     113202","    6984381","         51.39"
"POWERGRID","EQ","25-Nov-2021","        203.30","        202.60","        205.00","        201.25","        204.85","        204.25","        203.53","   13903091","          2829668062.25","      60247","   10436646","         75.07"
"POWERGRID","EQ","26-Nov-2021","        204.25","        204.05","        204.95","        200.80","        202.50","        202.00","        203.00","    9610903","          1951012130.85","      78146","    6082435","         63.29"
"POWERGRID","EQ","29-Nov-2021","        202.00","        199.00","        204.00","        198.50","        199.50","        200.25","        201.48","   12049611","          2427741456.00","      87772","    6542900","         54.30"
"POWERGRID","EQ","30-Nov-2021","        200.25","        200.30","        209.50","        200.30","        206.50","        206.75","        206.65","   28304736","          5849159724.00","     185274","   14650181","         51.76"
"POWERGRID","EQ","01-Dec-2021","        206.75","        207.00","        208.75","        204.70","        207.30","        207.20","        206.47","   15249613","          3148644155.55","      84247","   10262409","         67.30"
"POWERGRID","EQ","02-Dec-2021","        207.20","        209.00","        216.00","        206.50","        215.00","        214.50","        213.50","   25319133","          5405738393.95","     211262","   10294804","         40.66"
"POWERGRID","EQ","03-Dec-2021","        214.50","        213.15","        216.45","        205.50","        205.80","        206.10","        212.37","   35710637","          7584043173.50","     127172","   26074158","         73.02"
"POWERGRID","EQ","06-Dec-2021","        206.10","        207.35","        208.00","        201.35","        202.35","        202.00","        203.36","    8491835","          1726924900.45","      76192","    4438678","         52.27"
"POWERGRID","EQ","07-Dec-2021","        202.00","        202.60","        206.95","        202.15","        205.50","        205.80","        205.27","    6036827","          1239180043.55","      60032","    2906261","         48.14"
"POWERGRID","EQ","08-Dec-2021","        205.80","        205.15","        207.65","        203.55","        205.10","        204.80","        205.66","    6591337","          1355578153.10","      56641","    4027349","         61.10"
"POWERGRID","EQ","09-Dec-2021","        204.80","        205.50","        206.45","        202.10","        203.50","        203.20","        203.41","    4316567","           878030190.60","      38548","    2514644","         58.26"
