"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"RELIANCE","EQ","16-Nov-2021","       2577.80","       2572.05","       2575.00","       2495.00","       2497.25","       2517.90","       2536.01","    5232292","         13269127406.10","     209557","    2660951","         50.86"
"RELIANCE","EQ","17-Nov-2021","       2517.90","       2498.95","       2498.95","       2461.00","       2462.80","       2464.00","       2479.92","    4708235","         11676042764.70","     240722","    2537105","         53.89"
"RELIANCE","EQ","18-Nov-2021","       2464.00","       2460.00","       2489.00","       2450.05","       2473.00","       2473.30","       2467.65","    3925345","          9686386834.65","     218820","    1573249","         40.08"
"RELIANCE","EQ","22-Nov-2021","       2473.30","       2436.10","       2449.00","       2351.00","       2365.65","       2363.75","       2380.24","   11133364","         26500112857.50","     469744","    6257212","         56.20"
"RELIANCE","EQ","23-Nov-2021","       2363.75","       2333.05","       2401.25","       2309.00","       2389.95","       2385.85","       2362.47","   11688406","         27613501135.60","     393864","    7161105","         61.27"
"RELIANCE","EQ","24-Nov-2021","       2385.85","       2380.00","       2409.90","       2343.55","       2343.55","       2351.40","       2376.12","    7762564","         18444768823.80","     291051","    4345352","         55.98"
"RELIANCE","EQ","25-Nov-2021","       2351.40","       2373.00","       2502.00","       2357.15","       2501.00","       2492.95","       2452.67","   19568487","         47994998310.55","     497536","    9245255","         47.25"
"RELIANCE","EQ","26-Nov-2021","       2492.95","       2467.80","       2477.60","       2401.50","       2405.10","       2412.60","       2433.36","    7274686","         17701896486.35","     306992","    2921250","         40.16"
"RELIANCE","EQ","29-Nov-2021","       2412.60","       2439.10","       2500.00","       2399.10","       2437.70","       2441.50","       2464.20","   11226147","         27663493598.00","     375905","    4117378","         36.68"
"RELIANCE","EQ","30-Nov-2021","       2441.50","       2468.00","       2475.90","       2388.85","       2401.20","       2405.40","       2424.91","   14847511","         36003821297.30","     381257","    8601779","         57.93"
"RELIANCE","EQ","01-Dec-2021","       2405.40","       2433.00","       2474.00","       2425.10","       2467.75","       2467.00","       2449.60","    4663276","         11423147561.65","     202787","    1687324","         36.18"
"RELIANCE","EQ","02-Dec-2021","       2467.00","       2469.70","       2496.20","       2461.60","       2481.95","       2482.85","       2482.51","    5870468","         14573515872.05","     248052","    3156679","         53.77"
"RELIANCE","EQ","03-Dec-2021","       2482.85","       2498.40","       2498.50","       2400.00","       2413.15","       2408.25","       2436.10","    8871172","         21611045769.40","     283259","    4898098","         55.21"
"RELIANCE","EQ","06-Dec-2021","       2408.25","       2416.00","       2425.00","       2357.15","       2365.95","       2362.60","       2388.06","    4768334","         11387071064.70","     210176","    1750877","         36.72"
"RELIANCE","EQ","07-Dec-2021","       2362.60","       2376.15","       2404.00","       2360.00","       2382.00","       2381.85","       2387.87","    5185007","         12381107849.30","     233720","    2782548","         53.67"
"RELIANCE","EQ","08-Dec-2021","       2381.85","       2424.10","       2431.80","       2406.30","       2420.95","       2418.10","       2418.81","    4035437","          9760953632.95","     175071","    1712929","         42.45"
"RELIANCE","EQ","09-Dec-2021","       2418.10","       2435.00","       2474.90","       2425.00","       2453.00","       2456.45","       2453.15","    6098050","         14959457280.85","     248350","    2655912","         43.55"
