"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SBIN","EQ","16-Nov-2021","        506.55","        507.40","        507.40","        493.50","        494.25","        495.10","        499.96","   19553216","          9775879787.00","     292914","    7277609","         37.22"
"SBIN","EQ","17-Nov-2021","        495.10","        493.85","        505.40","        491.00","        497.60","        498.15","        500.32","   20488483","         10250837191.30","     275972","    6509080","         31.77"
"SBIN","EQ","18-Nov-2021","        498.15","        499.10","        506.20","        492.30","        503.35","        503.80","        500.73","   22471070","         11251912236.40","     276780","    5423193","         24.13"
"SBIN","EQ","22-Nov-2021","        503.80","        506.00","        506.00","        477.50","        487.00","        486.40","        489.05","   28800269","         14084766587.35","     383770","   10288095","         35.72"
"SBIN","EQ","23-Nov-2021","        486.40","        485.25","        495.40","        480.00","        492.80","        493.05","        490.18","   20000371","          9803758522.30","     232054","    5953569","         29.77"
"SBIN","EQ","24-Nov-2021","        493.05","        495.80","        500.00","        489.05","        490.00","        493.15","        496.27","   13963769","          6929791180.60","     194560","    4485951","         32.13"
"SBIN","EQ","25-Nov-2021","        493.15","        490.00","        495.45","        486.30","        492.00","        490.55","        491.77","   12894211","          6340926155.95","     160207","    3660492","         28.39"
"SBIN","EQ","26-Nov-2021","        490.55","        486.25","        487.90","        467.10","        470.00","        470.50","        475.02","   26305817","         12495659021.25","     379366","   11254640","         42.78"
"SBIN","EQ","29-Nov-2021","        470.50","        470.00","        477.75","        454.30","        466.20","        465.10","        467.79","   22407465","         10481942195.90","     310952","    5587894","         24.94"
"SBIN","EQ","30-Nov-2021","        465.10","        468.00","        477.25","        458.00","        459.10","        460.55","        467.26","   23026652","         10759512051.10","     283930","    7607689","         33.04"
"SBIN","EQ","01-Dec-2021","        460.55","        464.45","        477.25","        464.00","        475.90","        475.30","        470.57","   17156956","          8073474431.45","     192988","    4405161","         25.68"
"SBIN","EQ","02-Dec-2021","        475.30","        474.50","        478.15","        470.95","        477.60","        477.00","        474.72","   12962679","          6153583482.70","     189218","    3824707","         29.51"
"SBIN","EQ","03-Dec-2021","        477.00","        475.75","        481.50","        470.05","        471.95","        473.15","        475.90","   16653993","          7925628412.65","     198060","    5089665","         30.56"
"SBIN","EQ","06-Dec-2021","        473.15","        473.15","        477.00","        463.80","        464.95","        465.30","        470.81","   14353300","          6757642219.95","     187905","    5142334","         35.83"
"SBIN","EQ","07-Dec-2021","        465.30","        469.20","        479.70","        469.20","        476.85","        476.70","        475.06","   13644942","          6482189411.35","     179255","    3479596","         25.50"
"SBIN","EQ","08-Dec-2021","        476.70","        480.90","        492.40","        480.25","        490.60","        491.55","        487.45","   20397660","          9942865186.30","     237922","    7479972","         36.67"
"SBIN","EQ","09-Dec-2021","        491.55","        492.30","        493.50","        486.10","        487.80","        488.65","        489.02","   12560970","          6142560356.10","     159836","    3304118","         26.30"
