"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"SUNPHARMA","EQ","16-Nov-2021","        810.70","        812.30","        817.45","        795.65","        798.00","        798.45","        804.39","    1512946","          1217001251.75","      52509","     816143","         53.94"
"SUNPHARMA","EQ","17-Nov-2021","        798.45","        800.00","        805.00","        787.40","        789.30","        791.35","        795.16","    1662900","          1322264159.80","      55001","     776284","         46.68"
"SUNPHARMA","EQ","18-Nov-2021","        791.35","        790.00","        794.35","        780.10","        788.50","        790.65","        786.39","    3177648","          2498886020.10","      78444","    1808767","         56.92"
"SUNPHARMA","EQ","22-Nov-2021","        790.65","        791.85","        794.00","        765.05","        771.00","        770.75","        778.27","    2894426","          2252643963.25","      78105","    1402933","         48.47"
"SUNPHARMA","EQ","23-Nov-2021","        770.75","        770.00","        791.75","        761.55","        786.20","        785.20","        779.53","    2739763","          2135738837.20","      60926","    1377149","         50.27"
"SUNPHARMA","EQ","24-Nov-2021","        785.20","        783.50","        796.95","        775.55","        775.80","        778.95","        784.52","    2404041","          1886009524.20","      97415","    1194931","         49.71"
"SUNPHARMA","EQ","25-Nov-2021","        778.95","        775.60","        787.25","        774.35","        781.25","        782.90","        780.74","    1861259","          1453163277.65","      49262","     918102","         49.33"
"SUNPHARMA","EQ","26-Nov-2021","        782.90","        775.00","        798.90","        762.00","        767.25","        767.30","        780.56","    5432649","          4240513141.65","     147268","    2157800","         39.72"
"SUNPHARMA","EQ","29-Nov-2021","        767.30","        773.00","        775.00","        749.05","        749.40","        751.05","        758.52","    4664270","          3537960930.20","     113256","    2102753","         45.08"
"SUNPHARMA","EQ","30-Nov-2021","        751.05","        751.00","        761.65","        746.05","        751.60","        753.60","        754.00","    5505266","          4150987143.35","     147025","    2964183","         53.84"
"SUNPHARMA","EQ","01-Dec-2021","        753.60","        756.75","        763.25","        740.35","        747.50","        745.35","        748.26","    3687799","          2759422035.85","     123777","    1871322","         50.74"
"SUNPHARMA","EQ","02-Dec-2021","        745.35","        753.00","        770.75","        746.10","        770.20","        766.25","        763.20","    4896650","          3737110889.30","     120358","    2033664","         41.53"
"SUNPHARMA","EQ","03-Dec-2021","        766.25","        771.90","        771.90","        748.90","        753.00","        751.80","        754.66","    3135454","          2366197609.10","     108383","    1558526","         49.71"
"SUNPHARMA","EQ","06-Dec-2021","        751.80","        751.20","        752.55","        733.70","        741.00","        737.15","        744.29","    2577704","          1918550319.30","      56417","    1490576","         57.83"
"SUNPHARMA","EQ","07-Dec-2021","        737.15","        741.10","        751.00","        735.00","        750.00","        743.70","        742.48","    2583462","          1918162418.55","      71376","    1263413","         48.90"
"SUNPHARMA","EQ","08-Dec-2021","        743.70","        750.20","        763.50","        747.35","        761.60","        757.55","        755.37","    2530785","          1911690279.00","      52091","    1001471","         39.57"
"SUNPHARMA","EQ","09-Dec-2021","        757.55","        758.20","        766.80","        756.15","        759.35","        759.75","        760.66","    2604449","          1981106184.95","      54138","    1393955","         53.52"
