"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TATASTEEL","EQ","16-Nov-2021","       1245.45","       1245.45","       1261.05","       1223.70","       1225.50","       1228.80","       1241.24","   12314880","         15285726669.75","     305404","    4615973","         37.48"
"TATASTEEL","EQ","17-Nov-2021","       1228.80","       1225.00","       1237.40","       1215.10","       1217.50","       1220.05","       1225.21","    8780204","         10757564425.00","     227497","    2643373","         30.11"
"TATASTEEL","EQ","18-Nov-2021","       1220.05","       1223.60","       1228.30","       1182.00","       1187.90","       1186.60","       1198.02","   10108351","         12110042265.25","     265526","    2583488","         25.56"
"TATASTEEL","EQ","22-Nov-2021","       1186.60","       1188.10","       1196.80","       1146.00","       1166.80","       1165.05","       1174.23","    9621001","         11297225184.30","     221574","    3415264","         35.50"
"TATASTEEL","EQ","23-Nov-2021","       1165.05","       1168.05","       1209.00","       1165.15","       1190.05","       1192.05","       1194.72","    9382963","         11210058495.30","     215369","    2284172","         24.34"
"TATASTEEL","EQ","24-Nov-2021","       1192.05","       1200.40","       1202.95","       1171.15","       1173.50","       1178.50","       1192.33","    6767101","          8068650466.05","     155600","    1996960","         29.51"
"TATASTEEL","EQ","25-Nov-2021","       1178.50","       1180.00","       1186.60","       1166.00","       1173.50","       1173.65","       1175.39","    4750286","          5583438162.65","     124738","    1232862","         25.95"
"TATASTEEL","EQ","26-Nov-2021","       1173.65","       1157.90","       1159.50","       1106.25","       1110.25","       1112.30","       1127.98","   10645526","         12007942478.50","     283059","    2935379","         27.57"
"TATASTEEL","EQ","29-Nov-2021","       1112.30","       1112.30","       1137.00","       1075.05","       1109.90","       1114.75","       1115.07","    9392991","         10473859931.15","     238792","    2147733","         22.87"
"TATASTEEL","EQ","30-Nov-2021","       1114.75","       1110.95","       1127.90","       1063.00","       1070.10","       1071.20","       1092.87","   13355984","         14596419159.45","     290056","    5658219","         42.36"
"TATASTEEL","EQ","01-Dec-2021","       1071.20","       1092.00","       1097.00","       1066.50","       1082.00","       1082.55","       1080.06","    9379114","         10129980506.10","     277289","    3477262","         37.07"
"TATASTEEL","EQ","02-Dec-2021","       1082.55","       1083.00","       1116.00","       1074.00","       1112.95","       1112.40","       1093.21","    9128681","          9979555833.05","     229986","    2221652","         24.34"
"TATASTEEL","EQ","03-Dec-2021","       1112.40","       1115.00","       1134.20","       1102.25","       1114.65","       1118.00","       1119.73","   10073784","         11279894784.45","     215675","    2008044","         19.93"
"TATASTEEL","EQ","06-Dec-2021","       1118.00","       1114.00","       1141.00","       1102.20","       1107.65","       1108.80","       1122.08","    8215940","          9218970570.35","     202827","    1627905","         19.81"
"TATASTEEL","EQ","07-Dec-2021","       1108.80","       1121.10","       1155.55","       1121.00","       1152.85","       1148.80","       1140.75","    8505390","          9702509838.55","     204352","    1712028","         20.13"
"TATASTEEL","EQ","08-Dec-2021","       1148.80","       1159.00","       1177.00","       1149.00","       1174.75","       1173.00","       1166.19","    7448501","          8686359029.45","     170954","    2103842","         28.25"
"TATASTEEL","EQ","09-Dec-2021","       1173.00","       1182.00","       1182.00","       1159.00","       1177.00","       1176.85","       1170.78","    5212394","          6102560472.70","     122011","     981109","         18.82"
