"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TCS","EQ","16-Nov-2021","       3553.30","       3569.00","       3575.55","       3542.00","       3548.00","       3556.40","       3560.79","    2013204","          7168605743.85","     105284","    1371662","         68.13"
"TCS","EQ","17-Nov-2021","       3556.40","       3550.60","       3562.85","       3506.40","       3520.80","       3521.90","       3533.85","    1632914","          5770466506.80","     126358","    1033842","         63.31"
"TCS","EQ","18-Nov-2021","       3521.90","       3515.15","       3520.85","       3451.60","       3471.95","       3475.70","       3478.49","    2136598","          7432143867.40","     135284","    1367516","         64.00"
"TCS","EQ","22-Nov-2021","       3475.70","       3478.40","       3515.95","       3440.30","       3463.75","       3458.40","       3482.50","    3167936","         11032349106.20","     169460","    2146221","         67.75"
"TCS","EQ","23-Nov-2021","       3458.40","       3445.00","       3480.95","       3407.80","       3472.00","       3464.25","       3455.05","    2153461","          7440308037.35","     160137","    1449786","         67.32"
"TCS","EQ","24-Nov-2021","       3464.25","       3472.20","       3493.05","       3424.00","       3431.95","       3443.30","       3469.80","    2161746","          7500832834.10","     163891","    1640323","         75.88"
"TCS","EQ","25-Nov-2021","       3443.30","       3443.90","       3463.00","       3434.05","       3450.00","       3445.90","       3451.54","    1849619","          6384030188.95","     102359","    1294556","         69.99"
"TCS","EQ","26-Nov-2021","       3445.90","       3425.00","       3490.00","       3411.90","       3439.20","       3446.85","       3454.40","    1941251","          6705853480.80","     156945","    1152929","         59.39"
"TCS","EQ","29-Nov-2021","       3446.85","       3447.15","       3529.35","       3406.45","       3503.50","       3502.00","       3490.28","    2981745","         10407130645.30","     206893","    1648719","         55.29"
"TCS","EQ","30-Nov-2021","       3502.00","       3491.00","       3563.75","       3491.00","       3535.00","       3529.15","       3535.48","    5588446","         19757846113.05","     208979","    3849797","         68.89"
"TCS","EQ","01-Dec-2021","       3529.15","       3535.00","       3590.00","       3535.00","       3581.00","       3577.80","       3568.53","    2102118","          7501467334.90","     177235","    1311474","         62.39"
"TCS","EQ","02-Dec-2021","       3577.80","       3589.20","       3648.00","       3574.10","       3637.00","       3642.90","       3614.21","    3152938","         11395387802.95","     146031","    2208112","         70.03"
"TCS","EQ","03-Dec-2021","       3642.90","       3646.45","       3665.95","       3630.85","       3641.00","       3640.45","       3644.63","    2486263","          9061499107.35","     136470","    1904713","         76.61"
"TCS","EQ","06-Dec-2021","       3640.45","       3640.45","       3658.00","       3522.00","       3533.80","       3536.40","       3585.65","    1849642","          6632172778.45","     117199","    1050297","         56.78"
"TCS","EQ","07-Dec-2021","       3536.40","       3562.50","       3598.00","       3524.30","       3589.90","       3584.50","       3572.57","    1484458","          5303328386.25","     107141","     812623","         54.74"
"TCS","EQ","08-Dec-2021","       3584.50","       3601.00","       3646.45","       3601.00","       3624.00","       3626.90","       3631.02","    1428660","          5187489131.60","      88625","     826623","         57.86"
"TCS","EQ","09-Dec-2021","       3626.90","       3610.00","       3634.75","       3566.00","       3600.00","       3601.75","       3593.64","    1567957","          5634666502.40","     100995","     890952","         56.82"
