"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TECHM","EQ","16-Nov-2021","       1579.15","       1585.10","       1605.00","       1576.00","       1599.95","       1599.90","       1593.14","    2864344","          4563297220.55","      87500","    1763415","         61.56"
"TECHM","EQ","17-Nov-2021","       1599.90","       1598.50","       1625.00","       1595.00","       1619.50","       1618.45","       1612.20","    2304359","          3715080615.00","      93806","    1063460","         46.15"
"TECHM","EQ","18-Nov-2021","       1618.45","       1620.20","       1624.75","       1559.50","       1564.90","       1567.75","       1584.73","    2938804","          4657206220.90","     105091","    1436202","         48.87"
"TECHM","EQ","22-Nov-2021","       1567.75","       1581.80","       1581.80","       1520.00","       1546.00","       1541.30","       1552.84","    1951782","          3030811506.25","      84164","     816129","         41.81"
"TECHM","EQ","23-Nov-2021","       1541.30","       1522.00","       1564.45","       1506.30","       1557.00","       1560.55","       1547.27","    1823592","          2821595441.80","      94443","     958189","         52.54"
"TECHM","EQ","24-Nov-2021","       1560.55","       1568.80","       1569.90","       1530.00","       1534.00","       1538.10","       1542.25","    1644163","          2535717678.80","      90111","     939627","         57.15"
"TECHM","EQ","25-Nov-2021","       1538.10","       1531.00","       1564.80","       1530.05","       1558.35","       1559.35","       1554.00","    1557493","          2420350662.30","      60322","     643349","         41.31"
"TECHM","EQ","26-Nov-2021","       1559.35","       1544.00","       1550.00","       1510.15","       1519.00","       1527.40","       1530.49","    1522173","          2329664103.90","      76618","     740356","         48.64"
"TECHM","EQ","29-Nov-2021","       1527.40","       1515.00","       1545.50","       1479.40","       1535.00","       1536.65","       1526.05","    1995524","          3045265097.00","      85562","     815585","         40.87"
"TECHM","EQ","30-Nov-2021","       1536.65","       1529.00","       1594.45","       1526.50","       1550.95","       1541.45","       1554.84","    5662900","          8804884719.15","     212688","    3075413","         54.31"
"TECHM","EQ","01-Dec-2021","       1541.45","       1550.00","       1594.40","       1550.00","       1588.00","       1587.60","       1579.10","    2761193","          4360193081.05","     123336","     920516","         33.34"
"TECHM","EQ","02-Dec-2021","       1587.60","       1590.00","       1632.50","       1580.00","       1627.75","       1629.65","       1614.69","    2664202","          4301851504.50","     143377","    1137954","         42.71"
"TECHM","EQ","03-Dec-2021","       1629.65","       1625.00","       1638.25","       1589.70","       1598.90","       1593.30","       1611.73","    2400296","          3868636957.30","     140283","    1092116","         45.50"
"TECHM","EQ","06-Dec-2021","       1593.30","       1606.00","       1619.55","       1546.85","       1552.95","       1551.75","       1578.73","    2911781","          4596912116.35","     116889","     763027","         26.20"
"TECHM","EQ","07-Dec-2021","       1551.75","       1564.00","       1581.35","       1536.00","       1575.00","       1576.65","       1563.58","    1758254","          2749169699.00","      84855","     667031","         37.94"
"TECHM","EQ","08-Dec-2021","       1576.65","       1582.65","       1614.80","       1582.05","       1604.35","       1604.80","       1603.85","    1604565","          2573489413.95","      83750","     613956","         38.26"
"TECHM","EQ","09-Dec-2021","       1604.80","       1593.00","       1620.00","       1585.00","       1615.00","       1611.20","       1601.09","    1947954","          3118842158.75","      76222","     839805","         43.11"
