"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"TITAN","EQ","16-Nov-2021","       2539.40","       2550.10","       2551.35","       2520.15","       2523.90","       2531.75","       2539.04","    1133767","          2878680643.20","      59054","     645471","         56.93"
"TITAN","EQ","17-Nov-2021","       2531.75","       2522.90","       2539.00","       2491.10","       2497.40","       2499.35","       2515.53","     892518","          2245155162.00","      59209","     530076","         59.39"
"TITAN","EQ","18-Nov-2021","       2499.35","       2492.00","       2520.00","       2456.50","       2473.90","       2478.20","       2483.99","     739912","          1837935263.90","      47587","     278882","         37.69"
"TITAN","EQ","22-Nov-2021","       2478.20","       2492.40","       2492.40","       2353.00","       2396.05","       2391.30","       2411.69","    1361329","          3283104442.35","     112686","     664171","         48.79"
"TITAN","EQ","23-Nov-2021","       2391.30","       2380.00","       2410.95","       2365.05","       2385.00","       2387.70","       2396.91","    1247942","          2991209996.40","      80208","     768648","         61.59"
"TITAN","EQ","24-Nov-2021","       2387.70","       2400.00","       2405.25","       2365.00","       2371.05","       2375.85","       2384.20","     614145","          1464244005.60","      60003","     270363","         44.02"
"TITAN","EQ","25-Nov-2021","       2375.85","       2360.00","       2403.20","       2355.15","       2398.00","       2397.80","       2383.78","     662071","          1578228953.30","      43045","     272606","         41.17"
"TITAN","EQ","26-Nov-2021","       2397.80","       2377.80","       2385.10","       2285.05","       2293.00","       2292.30","       2315.47","    1289322","          2985381919.50","      90778","     642911","         49.86"
"TITAN","EQ","29-Nov-2021","       2292.30","       2290.00","       2334.40","       2231.40","       2330.20","       2324.20","       2302.74","    1094276","          2519834344.00","      72270","     496029","         45.33"
"TITAN","EQ","30-Nov-2021","       2324.20","       2336.40","       2390.00","       2336.40","       2371.00","       2375.50","       2369.30","    2675375","          6338771046.35","     122113","    1442173","         53.91"
"TITAN","EQ","01-Dec-2021","       2375.50","       2409.80","       2441.95","       2347.40","       2364.00","       2360.20","       2377.54","    2177426","          5176915093.30","     105738","    1327106","         60.95"
"TITAN","EQ","02-Dec-2021","       2360.20","       2369.00","       2422.50","       2360.05","       2384.00","       2386.50","       2390.41","    1682636","          4022191630.75","     112356","     671145","         39.89"
"TITAN","EQ","03-Dec-2021","       2386.50","       2405.00","       2405.45","       2355.05","       2376.45","       2369.25","       2381.76","    1062389","          2530356563.50","      60819","     488075","         45.94"
"TITAN","EQ","06-Dec-2021","       2369.25","       2361.35","       2379.85","       2318.40","       2333.00","       2325.30","       2350.72","     547641","          1287352987.35","      40828","     211174","         38.56"
"TITAN","EQ","07-Dec-2021","       2325.30","       2336.50","       2385.85","       2325.35","       2384.70","       2380.55","       2362.08","     904175","          2135737060.85","      65433","     430610","         47.62"
"TITAN","EQ","08-Dec-2021","       2380.55","       2385.00","       2418.00","       2377.10","       2408.00","       2405.55","       2398.57","     926476","          2222220599.85","      58598","     361871","         39.06"
"TITAN","EQ","09-Dec-2021","       2405.55","       2424.00","       2424.00","       2355.85","       2373.00","       2373.15","       2373.10","    1250492","          2967542650.50","      68975","     635855","         50.85"
