"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ULTRACEMCO","EQ","16-Nov-2021","       8050.80","       8120.00","       8139.00","       7856.30","       7868.00","       7882.40","       7995.30","     277983","          2222558092.35","      37402","     113639","         40.88"
"ULTRACEMCO","EQ","17-Nov-2021","       7882.40","       7845.00","       7948.95","       7801.00","       7855.95","       7857.70","       7871.76","     183623","          1445435698.05","      36789","      75341","         41.03"
"ULTRACEMCO","EQ","18-Nov-2021","       7857.70","       7899.00","       7930.00","       7715.05","       7760.00","       7767.70","       7787.46","     196805","          1532610281.30","      35098","      91431","         46.46"
"ULTRACEMCO","EQ","22-Nov-2021","       7767.70","       7799.00","       7808.60","       7550.60","       7650.00","       7653.80","       7661.99","     383629","          2939360831.75","      59434","     232202","         60.53"
"ULTRACEMCO","EQ","23-Nov-2021","       7653.80","       7620.00","       7714.70","       7540.70","       7674.95","       7657.95","       7644.55","     475377","          3634043692.90","      46726","     285765","         60.11"
"ULTRACEMCO","EQ","24-Nov-2021","       7657.95","       7730.00","       7768.05","       7550.00","       7552.25","       7577.30","       7649.42","     292766","          2239489548.00","      48766","     164071","         56.04"
"ULTRACEMCO","EQ","25-Nov-2021","       7577.30","       7560.30","       7634.45","       7517.55","       7606.00","       7608.80","       7589.94","     173989","          1320566918.95","      29077","      84255","         48.43"
"ULTRACEMCO","EQ","26-Nov-2021","       7608.80","       7550.00","       7599.00","       7370.10","       7398.45","       7394.75","       7460.91","     265808","          1983168539.50","      41525","     141303","         53.16"
"ULTRACEMCO","EQ","29-Nov-2021","       7394.75","       7354.50","       7434.95","       7201.40","       7392.95","       7388.25","       7364.81","     382413","          2816398888.25","      59191","     177285","         46.36"
"ULTRACEMCO","EQ","30-Nov-2021","       7388.25","       7387.30","       7519.00","       7347.55","       7399.00","       7433.75","       7437.80","     547664","          4073415527.40","      65007","     270826","         49.45"
"ULTRACEMCO","EQ","01-Dec-2021","       7433.75","       7612.00","       7678.75","       7291.00","       7320.00","       7322.60","       7439.06","     509749","          3792053845.85","      64888","     200789","         39.39"
"ULTRACEMCO","EQ","02-Dec-2021","       7322.60","       7360.00","       7389.00","       7262.00","       7332.80","       7323.20","       7316.89","     239691","          1753792155.55","      44536","     107058","         44.67"
"ULTRACEMCO","EQ","03-Dec-2021","       7323.20","       7378.45","       7455.00","       7296.15","       7344.40","       7332.45","       7370.69","     401430","          2958817062.95","      45927","     161605","         40.26"
"ULTRACEMCO","EQ","06-Dec-2021","       7332.45","       7344.85","       7389.60","       7201.00","       7215.00","       7214.60","       7291.85","     173852","          1267703530.85","      23282","      69154","         39.78"
"ULTRACEMCO","EQ","07-Dec-2021","       7214.60","       7285.00","       7336.95","       7235.00","       7308.95","       7299.40","       7294.16","     162646","          1186366649.25","      17490","      79983","         49.18"
"ULTRACEMCO","EQ","08-Dec-2021","       7299.40","       7329.00","       7458.75","       7300.00","       7424.00","       7423.95","       7397.25","     209590","          1550390035.65","      34127","      91324","         43.57"
"ULTRACEMCO","EQ","09-Dec-2021","       7423.95","       7476.80","       7515.20","       7390.00","       7422.00","       7433.85","       7437.67","     198582","          1476986912.80","      21106","      97392","         49.04"
