"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ASIANPAINT","EQ","01-Jan-2021","       2764.50","       2759.00","       2792.00","       2750.00","       2770.10","       2775.55","       2774.59","    1246698","          3459074594.40","      44528","      95779","          7.68"
"ASIANPAINT","EQ","04-Jan-2021","       2775.55","       2781.10","       2791.10","       2745.00","       2754.00","       2753.70","       2761.20","    1360486","          3756568334.50","      75734","     426338","         31.34"
"ASIANPAINT","EQ","05-Jan-2021","       2753.70","       2753.70","       2804.60","       2732.00","       2796.35","       2793.85","       2767.75","    1299589","          3596939393.60","      65696","     358540","         27.59"
"ASIANPAINT","EQ","06-Jan-2021","       2793.85","       2801.30","       2822.45","       2780.00","       2799.95","       2805.35","       2795.31","    1697884","          4746117446.70","      81675","     282628","         16.65"
"ASIANPAINT","EQ","07-Jan-2021","       2805.35","       2801.00","       2831.85","       2781.50","       2791.00","       2792.25","       2811.19","    1142806","          3212648014.25","      61707","     270866","         23.70"
"ASIANPAINT","EQ","08-Jan-2021","       2792.25","       2818.00","       2849.80","       2789.05","       2841.00","       2844.70","       2815.72","    1660967","          4676817167.50","     100519","     678569","         40.85"
"ASIANPAINT","EQ","11-Jan-2021","       2844.70","       2845.00","       2873.45","       2824.60","       2846.00","       2849.30","       2848.24","    1517995","          4323607757.75","      64182","     448384","         29.54"
"ASIANPAINT","EQ","12-Jan-2021","       2849.30","       2849.60","       2850.00","       2712.15","       2757.00","       2720.55","       2742.90","    6674890","         18308584116.00","     147812","    4750700","         71.17"
"ASIANPAINT","EQ","13-Jan-2021","       2720.55","       2760.00","       2763.00","       2678.00","       2700.00","       2703.70","       2710.34","    2862676","          7758830162.25","     140068","    1275675","         44.56"
"ASIANPAINT","EQ","14-Jan-2021","       2703.70","       2713.00","       2736.65","       2648.00","       2667.00","       2663.90","       2667.03","    2124950","          5667305762.30","      89285","    1058846","         49.83"
"ASIANPAINT","EQ","15-Jan-2021","       2663.90","       2660.90","       2661.85","       2580.55","       2585.70","       2590.90","       2615.33","    2570436","          6722526251.75","     113890","    1397161","         54.36"
"ASIANPAINT","EQ","18-Jan-2021","       2590.90","       2592.00","       2619.85","       2555.40","       2584.25","       2588.20","       2580.10","    2395168","          6179776750.55","     102029","    1097346","         45.81"
"ASIANPAINT","EQ","19-Jan-2021","       2588.20","       2615.00","       2676.60","       2590.00","       2651.00","       2645.05","       2637.82","    2558693","          6749370607.25","     137160","     775172","         30.30"
"ASIANPAINT","EQ","20-Jan-2021","       2645.05","       2654.00","       2707.15","       2645.05","       2695.00","       2697.25","       2685.07","    2065439","          5545842806.45","      98505","     679756","         32.91"
"ASIANPAINT","EQ","21-Jan-2021","       2697.25","       2726.95","       2816.95","       2695.00","       2740.00","       2716.35","       2744.75","    5015712","         13766880686.55","     204753","     918006","         18.30"
"ASIANPAINT","EQ","22-Jan-2021","       2716.35","       2750.00","       2768.85","       2590.00","       2600.95","       2596.65","       2675.27","    4945564","         13230701298.45","     210863","    1504768","         30.43"
"ASIANPAINT","EQ","25-Jan-2021","       2596.65","       2612.85","       2631.50","       2501.00","       2519.05","       2513.95","       2541.24","    3520087","          8945378389.45","     207974","    1009868","         28.69"
"ASIANPAINT","EQ","27-Jan-2021","       2513.95","       2525.00","       2525.00","       2430.55","       2433.00","       2436.60","       2463.46","    2700415","          6652370640.35","     185770","     983585","         36.42"
"ASIANPAINT","EQ","28-Jan-2021","       2436.60","       2420.00","       2453.95","       2401.05","       2448.00","       2441.70","       2425.48","    3035457","          7362431076.85","     131945","    1208523","         39.81"
"ASIANPAINT","EQ","29-Jan-2021","       2441.70","       2456.00","       2484.00","       2400.00","       2412.50","       2407.35","       2440.58","    2768673","          6757159129.80","     116478","    1163289","         42.02"
"ASIANPAINT","EQ","01-Feb-2021","       2407.35","       2426.60","       2467.75","       2376.90","       2466.80","       2447.80","       2415.26","    1797359","          4341088630.85","     113027","     550822","         30.65"
"ASIANPAINT","EQ","02-Feb-2021","       2447.80","       2460.00","       2520.00","       2425.10","       2470.00","       2463.65","       2469.98","    2679428","          6618128249.80","     144259","     811972","         30.30"
"ASIANPAINT","EQ","03-Feb-2021","       2463.65","       2503.85","       2503.85","       2438.35","       2454.00","       2453.65","       2464.64","    2409356","          5938195517.30","     102463","     999862","         41.50"
"ASIANPAINT","EQ","04-Feb-2021","       2453.65","       2456.00","       2456.00","       2398.00","       2406.00","       2401.80","       2411.35","    3478562","          8388020272.10","     160854","    2051905","         58.99"
"ASIANPAINT","EQ","05-Feb-2021","       2401.80","       2420.00","       2423.90","       2370.80","       2382.00","       2376.75","       2386.95","    3303319","          7884848894.75","     149221","    1640282","         49.66"
"ASIANPAINT","EQ","08-Feb-2021","       2376.75","       2394.00","       2434.90","       2373.40","       2424.00","       2416.85","       2408.69","    3666313","          8830996569.55","     162331","    1887081","         51.47"
"ASIANPAINT","EQ","09-Feb-2021","       2416.85","       2432.50","       2532.45","       2423.65","       2508.00","       2506.85","       2498.10","    7178572","         17932805677.75","     273637","    2117184","         29.49"
"ASIANPAINT","EQ","10-Feb-2021","       2506.85","       2529.00","       2555.00","       2475.00","       2510.15","       2510.60","       2510.74","    4473123","         11230851110.85","     194967","    1426820","         31.90"
"ASIANPAINT","EQ","11-Feb-2021","       2510.60","       2524.95","       2540.00","       2495.10","       2508.00","       2505.50","       2511.73","    1446286","          3632677617.00","      75891","     421197","         29.12"
"ASIANPAINT","EQ","12-Feb-2021","       2505.50","       2518.00","       2523.00","       2464.20","       2488.00","       2486.10","       2491.77","    1376085","          3428888505.70","      61470","     304801","         22.15"
"ASIANPAINT","EQ","15-Feb-2021","       2486.10","       2495.00","       2517.50","       2448.55","       2463.00","       2456.75","       2481.34","    1634576","          4055939411.80","      75619","     554261","         33.91"
"ASIANPAINT","EQ","16-Feb-2021","       2456.75","       2472.00","       2475.10","       2422.00","       2453.00","       2450.25","       2442.51","    1615849","          3946730311.55","      89982","     500974","         31.00"
"ASIANPAINT","EQ","17-Feb-2021","       2450.25","       2436.00","       2455.05","       2382.00","       2386.00","       2388.15","       2404.67","    3178784","          7643924159.85","     138806","    1444831","         45.45"
"ASIANPAINT","EQ","18-Feb-2021","       2388.15","       2424.00","       2479.60","       2395.25","       2471.00","       2470.75","       2449.52","    4253843","         10419860315.05","     139037","    1330756","         31.28"
"ASIANPAINT","EQ","19-Feb-2021","       2470.75","       2470.90","       2470.90","       2400.00","       2423.20","       2416.45","       2426.74","    2244567","          5446984959.65","     106810","     630883","         28.11"
"ASIANPAINT","EQ","22-Feb-2021","       2416.45","       2428.75","       2448.00","       2380.00","       2387.30","       2387.05","       2415.85","    2002642","          4838083885.35","     100102","     568602","         28.39"
"ASIANPAINT","EQ","23-Feb-2021","       2387.05","       2375.00","       2400.00","       2315.00","       2376.00","       2372.20","       2352.09","    3267268","          7684898465.35","     152011","     858564","         26.28"
"ASIANPAINT","EQ","24-Feb-2021","       2372.20","       2373.00","       2409.35","       2347.20","       2360.00","       2361.35","       2371.78","    1708526","          4052246413.40","      79913","     625474","         36.61"
"ASIANPAINT","EQ","25-Feb-2021","       2361.35","       2375.00","       2386.25","       2336.20","       2369.90","       2373.75","       2358.24","    2839515","          6696248242.40","     136562","    1387723","         48.87"
"ASIANPAINT","EQ","26-Feb-2021","       2373.75","       2338.05","       2360.00","       2260.00","       2278.00","       2277.20","       2305.79","    3933813","          9070547872.70","     209048","    2043811","         51.95"
"ASIANPAINT","EQ","01-Mar-2021","       2277.20","       2300.00","       2369.90","       2300.00","       2368.00","       2362.30","       2337.62","    2545806","          5951117727.05","      93047","     862344","         33.87"
"ASIANPAINT","EQ","02-Mar-2021","       2362.30","       2386.00","       2402.55","       2359.00","       2391.00","       2390.40","       2382.60","    2033586","          4845215635.45","      92939","     651739","         32.05"
"ASIANPAINT","EQ","03-Mar-2021","       2390.40","       2406.00","       2417.70","       2375.80","       2400.00","       2402.10","       2393.26","    1591567","          3809037820.25","      79230","     664444","         41.75"
"ASIANPAINT","EQ","04-Mar-2021","       2402.10","       2380.00","       2435.00","       2350.00","       2416.00","       2417.10","       2411.09","    2149984","          5183797241.00","     103736","    1052551","         48.96"
"ASIANPAINT","EQ","05-Mar-2021","       2417.10","       2399.00","       2423.90","       2377.10","       2385.00","       2387.10","       2398.28","    1953642","          4685374414.55","      92175","     865127","         44.28"
"ASIANPAINT","EQ","08-Mar-2021","       2387.10","       2383.00","       2413.50","       2360.05","       2382.75","       2382.70","       2385.72","    1593838","          3802454375.55","      87571","     489266","         30.70"
"ASIANPAINT","EQ","09-Mar-2021","       2382.70","       2400.00","       2444.00","       2396.15","       2420.00","       2422.70","       2423.43","    1800442","          4363242349.80","      94313","     580028","         32.22"
"ASIANPAINT","EQ","10-Mar-2021","       2422.70","       2446.00","       2446.00","       2415.55","       2429.35","       2431.95","       2432.03","    1056102","          2568472088.60","      71351","     446382","         42.27"
"ASIANPAINT","EQ","12-Mar-2021","       2431.95","       2442.80","       2464.65","       2397.00","       2402.55","       2401.35","       2428.31","    1279203","          3106306661.75","      85288","     536706","         41.96"
"ASIANPAINT","EQ","15-Mar-2021","       2401.35","       2402.55","       2427.55","       2343.05","       2357.90","       2355.00","       2367.04","    1524455","          3608442444.65","      86759","     746337","         48.96"
"ASIANPAINT","EQ","16-Mar-2021","       2355.00","       2379.20","       2480.00","       2375.35","       2465.75","       2468.60","       2442.28","    4230564","         10332221370.30","     155661","    1435386","         33.93"
"ASIANPAINT","EQ","17-Mar-2021","       2468.60","       2460.00","       2460.00","       2411.10","       2426.00","       2422.95","       2427.58","    1623187","          3940408629.95","      90724","     422323","         26.02"
"ASIANPAINT","EQ","18-Mar-2021","       2422.95","       2468.85","       2468.85","       2390.00","       2410.00","       2404.55","       2420.13","    1851739","          4481446307.30","      97263","     531185","         28.69"
"ASIANPAINT","EQ","19-Mar-2021","       2404.55","       2393.00","       2434.00","       2355.35","       2411.00","       2411.25","       2407.07","    3738079","          8997812978.80","     106664","    1960146","         52.44"
"ASIANPAINT","EQ","22-Mar-2021","       2411.25","       2390.00","       2438.10","       2390.00","       2427.95","       2425.70","       2419.88","    1489853","          3605260435.55","      74852","     591788","         39.72"
"ASIANPAINT","EQ","23-Mar-2021","       2425.70","       2430.00","       2433.95","       2398.20","       2410.00","       2410.30","       2411.16","    1745466","          4208590890.60","      92301","     974473","         55.83"
"ASIANPAINT","EQ","24-Mar-2021","       2410.30","       2410.30","       2470.00","       2410.00","       2444.00","       2443.55","       2451.13","    4132092","         10128286841.20","     163476","    1464543","         35.44"
"ASIANPAINT","EQ","25-Mar-2021","       2443.55","       2450.95","       2469.00","       2392.00","       2402.80","       2402.20","       2428.85","    2272545","          5519665903.90","     107083","    1028164","         45.24"
"ASIANPAINT","EQ","26-Mar-2021","       2402.20","       2425.00","       2513.95","       2409.10","       2498.00","       2505.15","       2481.80","    3084607","          7655376385.65","     142167","    1128950","         36.60"
"ASIANPAINT","EQ","30-Mar-2021","       2505.15","       2539.10","       2583.45","       2521.50","       2571.25","       2578.05","       2559.50","    2333410","          5972357192.30","     117958","     803209","         34.42"
"ASIANPAINT","EQ","31-Mar-2021","       2578.05","       2578.05","       2582.95","       2531.00","       2537.00","       2537.40","       2553.27","    1616044","          4126203985.35","      73169","     626733","         38.78"
"ASIANPAINT","EQ","01-Apr-2021","       2537.40","       2532.00","       2564.55","       2532.00","       2545.00","       2551.75","       2549.80","    1219588","          3109711122.00","      54928","     331850","         27.21"
"ASIANPAINT","EQ","05-Apr-2021","       2551.75","       2558.00","       2558.00","       2484.50","       2512.00","       2510.65","       2509.91","    1268939","          3184919119.35","      74815","     460703","         36.31"
"ASIANPAINT","EQ","06-Apr-2021","       2510.65","       2526.00","       2620.00","       2504.50","       2610.10","       2611.60","       2585.83","    3372846","          8721612490.50","     178805","    1179991","         34.99"
"ASIANPAINT","EQ","07-Apr-2021","       2611.60","       2605.00","       2668.05","       2600.10","       2621.60","       2628.60","       2644.44","    1937977","          5124871995.00","     110658","     632530","         32.64"
"ASIANPAINT","EQ","08-Apr-2021","       2628.60","       2630.00","       2658.40","       2628.00","       2643.95","       2650.65","       2647.85","     897483","          2376398265.70","      60031","     267938","         29.85"
"ASIANPAINT","EQ","09-Apr-2021","       2650.65","       2635.00","       2655.00","       2610.15","       2635.00","       2630.80","       2626.70","    1185017","          3112683743.85","      74094","     419655","         35.41"
"ASIANPAINT","EQ","12-Apr-2021","       2630.80","       2578.20","       2610.00","       2555.00","       2602.35","       2602.20","       2587.63","    1427691","          3694330762.55","      81793","     493010","         34.53"
"ASIANPAINT","EQ","13-Apr-2021","       2602.20","       2600.00","       2626.00","       2564.30","       2574.50","       2570.70","       2587.13","    1200230","          3105153771.85","      70840","     374604","         31.21"
"ASIANPAINT","EQ","15-Apr-2021","       2570.70","       2590.00","       2593.55","       2537.00","       2581.60","       2587.70","       2568.50","    1209829","          3107440016.15","      67289","     416760","         34.45"
"ASIANPAINT","EQ","16-Apr-2021","       2587.70","       2587.60","       2693.50","       2581.70","       2654.00","       2663.70","       2661.98","    2760777","          7349145879.05","     126733","     932921","         33.79"
"ASIANPAINT","EQ","19-Apr-2021","       2663.70","       2650.00","       2650.00","       2566.85","       2575.00","       2571.90","       2590.54","    1552036","          4020617648.50","      93671","     604169","         38.93"
"ASIANPAINT","EQ","20-Apr-2021","       2571.90","       2600.00","       2604.70","       2528.80","       2547.90","       2553.65","       2564.75","    1489287","          3819647272.30","      79691","     486810","         32.69"
"ASIANPAINT","EQ","22-Apr-2021","       2553.65","       2555.65","       2557.00","       2488.00","       2510.00","       2511.25","       2510.01","    1690758","          4243816466.05","      82103","     759976","         44.95"
"ASIANPAINT","EQ","23-Apr-2021","       2511.25","       2527.10","       2565.00","       2496.20","       2520.00","       2517.95","       2523.48","    1614593","          4074399949.45","      78286","     387340","         23.99"
"ASIANPAINT","EQ","26-Apr-2021","       2517.95","       2530.00","       2575.00","       2530.00","       2558.00","       2557.90","       2557.47","    1103980","          2823399610.85","      58557","     335232","         30.37"
"ASIANPAINT","EQ","27-Apr-2021","       2557.90","       2545.00","       2579.90","       2534.00","       2571.00","       2574.35","       2560.55","     866331","          2218287556.55","      66988","     281178","         32.46"
"ASIANPAINT","EQ","28-Apr-2021","       2574.35","       2588.00","       2620.25","       2575.00","       2612.00","       2614.55","       2605.91","    1065561","          2776751915.10","      52622","     449241","         42.16"
"ASIANPAINT","EQ","29-Apr-2021","       2614.55","       2630.00","       2642.00","       2570.00","       2613.00","       2613.45","       2607.33","    1295346","          3377394306.10","      64039","     447979","         34.58"
"ASIANPAINT","EQ","30-Apr-2021","       2613.45","       2595.00","       2605.80","       2524.05","       2529.00","       2536.40","       2558.66","    1384907","          3543511862.45","      91934","     750496","         54.19"
"ASIANPAINT","EQ","03-May-2021","       2536.40","       2510.00","       2595.10","       2505.60","       2590.50","       2582.15","       2558.64","    1034774","          2647609978.20","      54041","     281236","         27.18"
"ASIANPAINT","EQ","04-May-2021","       2582.15","       2605.00","       2617.95","       2571.55","       2589.80","       2587.15","       2593.74","    1058140","          2744545273.05","      62692","     403493","         38.13"
"ASIANPAINT","EQ","05-May-2021","       2587.15","       2617.00","       2617.00","       2546.10","       2571.75","       2567.65","       2575.73","    1220186","          3142874058.15","      54031","     496992","         40.73"
"ASIANPAINT","EQ","06-May-2021","       2567.65","       2579.85","       2581.85","       2528.00","       2553.85","       2549.05","       2545.52","    1518119","          3864407772.85","      62461","     791365","         52.13"
"ASIANPAINT","EQ","07-May-2021","       2549.05","       2555.00","       2590.00","       2541.50","       2554.85","       2551.65","       2562.89","    1416102","          3629315843.90","      60480","     679323","         47.97"
"ASIANPAINT","EQ","10-May-2021","       2551.65","       2589.00","       2589.00","       2542.15","       2548.00","       2556.95","       2563.10","    1526814","          3913374582.40","      65354","     775607","         50.80"
"ASIANPAINT","EQ","11-May-2021","       2556.95","       2533.00","       2562.00","       2521.30","       2561.70","       2556.25","       2544.64","    1168363","          2973062779.80","      65711","     534071","         45.71"
"ASIANPAINT","EQ","12-May-2021","       2556.25","       2577.00","       2588.95","       2530.00","       2560.15","       2556.20","       2566.94","    2085630","          5353691593.25","      91209","     499218","         23.94"
"ASIANPAINT","EQ","14-May-2021","       2556.20","       2620.00","       2835.25","       2601.55","       2772.00","       2774.50","       2767.41","   10543708","         29178776832.20","     550509","    1898086","         18.00"
"ASIANPAINT","EQ","17-May-2021","       2774.50","       2782.00","       2824.20","       2747.55","       2782.00","       2782.75","       2786.71","    2134352","          5947812068.40","     112188","     257538","         12.07"
"ASIANPAINT","EQ","18-May-2021","       2782.75","       2797.00","       2845.00","       2789.00","       2818.95","       2821.80","       2814.36","    1328605","          3739177174.55","      61472","     355111","         26.73"
"ASIANPAINT","EQ","19-May-2021","       2821.80","       2805.15","       2849.00","       2798.65","       2808.00","       2815.85","       2822.43","    1219067","          3440732093.90","      58397","     331583","         27.20"
"ASIANPAINT","EQ","20-May-2021","       2815.85","       2814.00","       2845.00","       2778.50","       2791.05","       2794.10","       2811.83","    1211975","          3407871552.00","      54928","     349734","         28.86"
"ASIANPAINT","EQ","21-May-2021","       2794.10","       2807.00","       2854.00","       2795.00","       2831.00","       2832.50","       2828.56","    1328308","          3757194076.15","      85622","     411590","         30.99"
"ASIANPAINT","EQ","24-May-2021","       2832.50","       2846.00","       2849.00","       2808.20","       2820.00","       2819.20","       2820.79","     813091","          2293559297.20","      46964","     326112","         40.11"
"ASIANPAINT","EQ","25-May-2021","       2819.20","       2836.90","       2922.65","       2822.75","       2918.05","       2914.40","       2898.57","    2730112","          7913428013.20","     128515","     485864","         17.80"
"ASIANPAINT","EQ","26-May-2021","       2914.40","       2939.85","       2947.90","       2910.40","       2940.00","       2941.60","       2934.32","    1250531","          3669459803.60","      53243","     304721","         24.37"
"ASIANPAINT","EQ","27-May-2021","       2941.60","       2950.00","       2965.00","       2902.25","       2965.00","       2949.35","       2939.98","    2415085","          7100312827.05","      76899","    1148689","         47.56"
"ASIANPAINT","EQ","28-May-2021","       2949.35","       2958.15","       2963.80","       2931.15","       2935.70","       2940.70","       2946.20","     711383","          2095879007.05","      44927","     228055","         32.06"
"ASIANPAINT","EQ","31-May-2021","       2940.70","       2938.00","       2989.95","       2936.10","       2976.10","       2977.50","       2973.83","    2093635","          6226120142.20","      84746","     800178","         38.22"
"ASIANPAINT","EQ","01-Jun-2021","       2977.50","       2965.00","       2982.60","       2915.10","       2924.90","       2931.00","       2952.41","    1194073","          3525392391.75","      60036","     563894","         47.22"
"ASIANPAINT","EQ","02-Jun-2021","       2931.00","       2918.85","       2933.75","       2877.15","       2906.00","       2903.70","       2902.17","    2067842","          6001222672.15","     105671","    1326981","         64.17"
"ASIANPAINT","EQ","03-Jun-2021","       2903.70","       2919.60","       2942.00","       2904.05","       2935.80","       2935.35","       2921.21","    1404434","          4102642761.40","      71480","     790140","         56.26"
"ASIANPAINT","EQ","04-Jun-2021","       2935.35","       2953.00","       2990.00","       2908.00","       2919.65","       2924.90","       2945.21","    1509084","          4444572736.80","      88095","     544102","         36.06"
"ASIANPAINT","EQ","07-Jun-2021","       2924.90","       2930.00","       2941.00","       2903.95","       2928.00","       2933.10","       2920.50","     802415","          2343455468.55","      51994","     355048","         44.25"
"ASIANPAINT","EQ","08-Jun-2021","       2933.10","       2928.00","       2944.25","       2907.50","       2925.00","       2926.25","       2922.05","     762931","          2229321176.35","      40978","     399020","         52.30"
"ASIANPAINT","EQ","09-Jun-2021","       2926.25","       2930.80","       2965.00","       2919.60","       2941.30","       2943.55","       2946.10","    1340352","          3948804440.10","      76383","     659142","         49.18"
"ASIANPAINT","EQ","10-Jun-2021","       2943.55","       2945.00","       2959.30","       2920.65","       2955.60","       2950.60","       2940.62","    1344559","          3953834253.05","      62341","     802036","         59.65"
"ASIANPAINT","EQ","11-Jun-2021","       2950.60","       2960.00","       2971.60","       2938.60","       2955.10","       2956.25","       2953.60","     878445","          2594573062.55","      53557","     469562","         53.45"
"ASIANPAINT","EQ","14-Jun-2021","       2956.25","       2955.10","       2970.00","       2916.50","       2953.70","       2949.90","       2942.38","     746823","          2197440473.45","      36101","     371926","         49.80"
"ASIANPAINT","EQ","15-Jun-2021","       2949.90","       2970.00","       3050.00","       2960.95","       3035.00","       3042.20","       3022.63","    2262031","          6837291109.25","     129837","     683021","         30.20"
"ASIANPAINT","EQ","16-Jun-2021","       3042.20","       3029.00","       3042.20","       3005.50","       3017.95","       3018.70","       3022.71","     859505","          2598037094.20","      45884","     213951","         24.89"
"ASIANPAINT","EQ","17-Jun-2021","       3018.70","       3017.95","       3073.95","       3000.50","       3059.90","       3060.30","       3053.42","    1533864","          4683523669.95","      76201","     477713","         31.14"
