,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"@amberissmiling @JedediahBila Wrong! Creepy Joe Biden did: 
https://t.co/xSe7wTX9Af

Now stop being Big Pharma's bitch and lying.",en,0,0,2021-11-16 20:30:23+00:00,0.6666666666666666,-0.375,Negative
1,"#Primox (#GenericNortriptyline tablets) is used for treating symptoms of #depression, chronic neuropathic pain and… https://t.co/2Say6WzTAB",en,0,0,2021-11-16 20:15:51+00:00,0.0,0.0,Neutral
2,"RT @swahilipothub: Ongoing  Diabetes And Hypertension Screening At Koblenz  Hall  Mombasa. Come Through #WorldDiabetesDay2021 
 @KenyaRedCr…",en,0,0,2021-11-16 19:44:07+00:00,0.0,0.0,Neutral
3,"@insulincanada I once ordered an expensive chemo not covered by my health insurance co from India’s 
Sun Pharma.
Th… https://t.co/DWSzwuwyB6",en,0,0,2021-11-16 18:45:22+00:00,0.7,-0.5,Negative
4,"RT @DHealthMaster: Sun Pharma to introduce Molnupiravir in India
 #DCGI #MHRA #Molnupiravir #SunPharma #USFDA

https://t.co/XexHLbI3Tb",en,0,0,2021-11-16 17:57:09+00:00,0.0,0.0,Neutral
5,"Sun Pharma to introduce Molnupiravir in India
 #DCGI #MHRA #Molnupiravir #SunPharma #USFDA

https://t.co/XexHLbI3Tb",en,0,1,2021-11-16 17:42:56+00:00,0.0,0.0,Neutral
6,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 17:12:32+00:00,0.55,0.6,Positive
8,"Buying Ultra Large Cap Stocks (Top 10 market cap stocks) like ITC HUL Sun Pharma

We can expect 15% CAGR if investe… https://t.co/N4LCrVX04Z",en,0,0,2021-11-16 16:30:46+00:00,0.4642857142857143,0.35714285714285715,Positive
10,"Tata pharma investing in 

(Now NAV ₹19 - ₹20)

Sun pharma
Davis
Dr Reddys
Cipla
Alkem lab
Apollo hospitals
Ipca la… https://t.co/TVyuqxayXO",en,0,0,2021-11-16 14:06:44+00:00,0.0,0.0,Neutral
11,@White_Hole_Sun @fiski70 @TheEndisNigh10 @Hanks323 You are aware your refusal to listen to/acknowledge that a big P… https://t.co/Grm4mifUfJ,en,1,0,2021-11-16 13:43:01+00:00,0.175,0.125,Positive
12,"RT @swahilipothub: Ongoing  Diabetes And Hypertension Screening At Koblenz  Hall  Mombasa. Come Through #WorldDiabetesDay2021 
 @KenyaRedCr…",en,0,0,2021-11-16 11:45:05+00:00,0.0,0.0,Neutral
13,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 11:27:19+00:00,0.55,0.6,Positive
14,"RT @DeccanHerald: Reliance Industries was the top loser in the #Sensex pack, shedding over 2 per cent, followed by SBI, UltraTech Cement, I…",en,0,0,2021-11-16 11:24:29+00:00,0.5,0.5,Positive
15,Ongoing  Diabetes And Hypertension Screening At Koblenz  Hall  Mombasa. Come Through #WorldDiabetesDay2021… https://t.co/tYTBVfU4WL,en,7,2,2021-11-16 11:08:11+00:00,0.0,0.0,Neutral
16,"Reliance Industries was the top loser in the #Sensex pack, shedding over 2 per cent, followed by SBI, UltraTech Cem… https://t.co/a7g0Y3dm6O",en,3,1,2021-11-16 10:43:17+00:00,0.5,0.5,Positive
17,Hiring Fresher Medical Representative in Barabanki Uttar Pradesh for Sun Pharma Ltd https://t.co/RvQ0TzsUiz,en,0,0,2021-11-16 10:32:36+00:00,0.0,0.0,Neutral
18,"TCS
https://t.co/Zx5dDE85jc

Gateway Distriparks
https://t.co/dhcj3A3hZf

MRF
https://t.co/R85y9niJrk

Sun Pharma… https://t.co/MXKTWPCnf0",en,0,0,2021-11-16 10:12:49+00:00,0.0,0.0,Neutral
19,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 08:24:18+00:00,0.55,0.6,Positive
20,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 08:14:32+00:00,0.55,0.6,Positive
21,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 06:56:15+00:00,0.55,0.6,Positive
22,"@sahneydeepak Gm What about pharma sector sir.already bitten down sector.especially sun Pharma,cipla",en,0,0,2021-11-16 05:54:09+00:00,0.2888888888888889,-0.15555555555555559,Negative
23,"India’s Sun Pharma forearming to produce Molxvir, a generic variation of Merck’s Molnupiravir… https://t.co/tghOEb0sS8",en,0,0,2021-11-16 05:17:48+00:00,0.0,0.0,Neutral
24,"RT @SRMDharampur: Chairman of Adani Group, Gautam Adani shares the profundity of the commentary and founder of Sun Pharma, Dilip Sanghvi sh…",en,0,0,2021-11-16 04:57:39+00:00,0.0,0.0,Neutral
25,"https://t.co/TNN8XE8HEs
Sun Pharma draws it's attention to fitness for the younger mass!!
#medicaldarpan #sunpharma… https://t.co/Gd5Advc4Qo",en,0,0,2021-11-16 04:07:42+00:00,0.0,0.0,Neutral
26,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 03:49:51+00:00,0.55,0.6,Positive
27,SUN to launch Merck’s Covid pill Molnupiravir as Molxvir https://t.co/YeNJ7fEfTy via @ETHealthWorld,en,0,0,2021-11-16 03:13:21+00:00,0.0,0.0,Neutral
28,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 01:34:34+00:00,0.55,0.6,Positive
29,"RT @DHealthMaster: Sun Pharma to introduce Molnupiravir in India
 #DCGI #MHRA #Molnupiravir #SunPharma #USFDA

https://t.co/Qmr3F4GRQb",en,0,0,2021-11-16 01:02:10+00:00,0.0,0.0,Neutral
30,"RT @Nayakone: Top 8 Pharma #Stocks With Good #Fundamentals

1)Auro Pharma (PE 15.36)
2)Sun Pharma (PG 91.30%/3Yr)
3)Torrent Pharma (PH-71%,…",en,0,0,2021-11-16 01:00:18+00:00,0.55,0.6,Positive
31,"Sun Pharma to introduce Molnupiravir in India
 #DCGI #MHRA #Molnupiravir #SunPharma #USFDA

https://t.co/Qmr3F4GRQb",en,0,1,2021-11-16 00:47:06+00:00,0.0,0.0,Neutral
32,"Sun Pharma to introduce Molnupiravir in India
 #DCGI #MHRA #Molnupiravir #SunPharma #USFDA

https://t.co/XexHLbI3Tb",en,0,0,2021-11-16 00:18:36+00:00,0.0,0.0,Neutral
33,"RT @ImSanjeev_07: STOCK NAME: SUN PHARMA CMP 810
TRADE TYPE: POSITIONAL
SL 785
EXPECTING VERY BIG MOVE SOON

#SUNPHARMA #BuyAtOwnRisk #Nift…",en,0,0,2021-11-15 19:31:26+00:00,0.13,0.0,Neutral
34,"STOCK NAME: SUN PHARMA CMP 810
TRADE TYPE: POSITIONAL
SL 785
EXPECTING VERY BIG MOVE SOON

#SUNPHARMA #BuyAtOwnRisk… https://t.co/6JQYMYgAfj",en,2,1,2021-11-15 19:27:01+00:00,0.13,0.0,Neutral
35,@loosemoneymfv @business Because now Big Pharma is in charge and has declared humanity can’t go in without them.  W… https://t.co/f19gXqWHuJ,en,1,0,2021-11-15 19:13:32+00:00,0.1,0.0,Neutral
