,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
1,@aaronraidersfan @dadbodcarlsberg @landenghamm @mrr8der34 @oddinsights_tcs Don't pretend you're the unicorn of the… https://t.co/NCPsAax62F,en,0,0,2021-11-16 20:35:41+00:00,0.0,0.0,Neutral
2,"Critical  distance  mastered  #MHW #MHWIB #Greatsword #Tcs #PS4share

https://t.co/D7GuaFbLxI https://t.co/CMha9bnz7v",en,1,0,2021-11-16 20:34:52+00:00,0.8,0.0,Neutral
3,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:33:46+00:00,0.7333333333333334,0.9583333333333334,Positive
5,"RT @GenAssets: Oracle’s client numbers are the tip of the iceberg here.

@Oracle partners w. basically all of the world’s largest advisory/…",en,0,0,2021-11-16 20:33:28+00:00,0.0,0.0,Neutral
6,Team Geography attended our weekly CPD today and left with super scripted questioning for tomorrow’s lessons. Can’t… https://t.co/33kiUddP3W,en,0,0,2021-11-16 20:32:37+00:00,0.3333333333333333,0.16666666666666666,Positive
7,@TCS @DGCAIndia @JM_Scindia @MoCA_GoI @bsindia Thank you for sharing this.,en,0,0,2021-11-16 20:31:01+00:00,0.0,0.0,Neutral
8,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:30:38+00:00,0.7333333333333334,0.9583333333333334,Positive
12,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:29:33+00:00,0.7333333333333334,0.9583333333333334,Positive
13,"RT @AnyBodyCanFly: My watchlist for IT aka Technology sector

~ TCS
~ Sasken
~ Datamatics
~ Mastek
~ EClerx
~ Aurionpro Solutions
~ HGS

Th…",en,0,0,2021-11-16 20:29:25+00:00,0.0,0.0,Neutral
14,"@keltuisback I'm a bot, the #(NSE india symbol) helps me identify the correct instrument.

For example:… https://t.co/101LoZplwW",en,0,0,2021-11-16 20:29:01+00:00,0.0,0.0,Neutral
15,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:26:49+00:00,0.7333333333333334,0.9583333333333334,Positive
17,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:26:35+00:00,0.7333333333333334,0.9583333333333334,Positive
18,"The AWS Partner Network Blog #AWSPartners
https://t.co/jGSrErvc5T
By: Balu Subramoniam Vadivel Murugan*, Rajesh V S… https://t.co/zhi0Ly2j0o",en,0,0,2021-11-16 20:25:26+00:00,0.0,0.0,Neutral
19,@Jamey_Messina @dadbodcarlsberg @landenghamm @mrr8der34 @oddinsights_tcs This right here is what separates the… https://t.co/EEljQxYObV,en,0,0,2021-11-16 20:25:16+00:00,0.5357142857142857,0.2857142857142857,Positive
21,"RT @Nazia_fb: 🌹Good Mornin🌹
#JUIPG @Mahira_8
@zk3985 @glmsjd
@kn_jui @BkJ_0
@Pk50k @N_Y012
@AHBtti @Za_i_d
@7S860 @Zia600
@gmsjd7 @Tcs_12
@…",en,0,0,2021-11-16 20:21:05+00:00,0.0,0.0,Neutral
22,uhm senior high sa tcs??? https://t.co/oswTcmEToh,en,0,0,2021-11-16 20:20:04+00:00,0.5399999999999999,0.16,Positive
23,"RT @Pickswise: Have a bad beat from this past weekend? Lose a bet in the final seconds? 🤢

Retweet this and reply with a picture of your ti…",en,0,0,2021-11-16 20:17:57+00:00,0.6388888888888888,-0.3166666666666666,Negative
24,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:17:41+00:00,0.7333333333333334,0.9583333333333334,Positive
25,If you or somebody ram the marathon…share this video with them. 2021 TCS New York City Marathon | Street Photograph… https://t.co/KqTAYS2klz,en,0,0,2021-11-16 20:16:34+00:00,0.45454545454545453,0.13636363636363635,Positive
26,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:16:04+00:00,0.7333333333333334,0.9583333333333334,Positive
28,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:15:37+00:00,0.7333333333333334,0.9583333333333334,Positive
29,@SHOUTYCAPZ @nickhalebi @UKChange I have done the exact opposite! I have showed where TCs and supporters had cherry… https://t.co/WDMsCrsYTe,en,0,0,2021-11-16 20:15:34+00:00,0.125,0.125,Positive
30,"… inspections and claims, auto claims damage assessment and estimation, and mortgage inspection. This post provides… https://t.co/KXPZ6W4Day",en,0,0,2021-11-16 20:15:30+00:00,0.0,0.0,Neutral
31,"Excerpt: By avoiding inspections, insurers lose the opportunity to adequately consider all factors during underwrit… https://t.co/QkANptiqcB",en,0,0,2021-11-16 20:15:30+00:00,0.3333333333333333,0.3333333333333333,Positive
32,"New AWS Partner Network post by Balu Subramoniam Vadivel Murugan, Karthik Thirugnanasambandam and Rajesh V S:

How… https://t.co/GnANqqaoMQ",en,0,0,2021-11-16 20:15:14+00:00,0.45454545454545453,0.13636363636363635,Positive
37,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:12:50+00:00,0.7333333333333334,0.9583333333333334,Positive
40,@seboongie Hi is mingyu tcs still available?,en,0,0,2021-11-16 20:11:02+00:00,0.4,0.4,Positive
41,"RT @SaversHB: ⭐🚨 #GIVEAWAY ALERT 🚨 ⭐

#WIN a Brut scent bundle! A perfect treat for yourself or for a loved one this Christmas!

For you ch…",en,0,0,2021-11-16 20:10:50+00:00,0.7333333333333334,0.9583333333333334,Positive
