,tweet,language,likes,retweets,Subjectivity,Polarity,Analysis
0,": 1st Multibagger Pick of Top Investors: 

1. Rakesh Jhunjhunwala - Tata Tea 
2. Porinju Veliyath - Geojit 
3. Vijay Kedia…",en,0,0,0.5,0.5,Positive
1,": SCN by GST Department

   _india   _GST…",de,0,0,0.0,0.0,Neutral
2,": SCN by GST Department

   _india   _GST…",de,0,0,0.0,0.0,Neutral
3,": SCN by GST Department

   _india   _GST…",de,0,0,0.0,0.0,Neutral
4,Wanted to save some money for my German exam and visa process fees. So I got a job in Infosys BPM as a process mana… ,en,1,0,0.0,0.0,Neutral
5,": 1st Multibagger Pick of Top Investors: 

1. Rakesh Jhunjhunwala - Tata Tea 
2. Porinju Veliyath - Geojit 
3. Vijay Kedia…",en,0,0,0.5,0.5,Positive
6,Don't fall behind - your Swift Coach Certification is waiting. SPONSORED CONTENT from Infosys. Find out more with .,en,1,0,0.6,0.04999999999999999,Positive
7,: Bank bankthis Diwali has been bumper sales car selling LIKE HOT CAKES showroom are empty even demo car are sold out jew…,en,0,0,0.675,0.075,Positive
8,   _india   _GSTN … ,en,0,0,0.0,0.0,Neutral
9,": SCN by GST Department

   _india   _GST…",de,0,0,0.0,0.0,Neutral
10," Bajaj Finserv
Titan
Dmart
Reliance
Infosys",ht,0,0,0.0,0.0,Neutral
11, _GSTN Please provide your GSTIN to assist you in this regard.,en,0,0,0.0,0.0,Neutral
12,": 1st Multibagger Pick of Top Investors: 

1. Rakesh Jhunjhunwala - Tata Tea 
2. Porinju Veliyath - Geojit 
3. Vijay Kedia…",en,0,0,0.5,0.5,Positive
13,"dreamwastaken 
124O49

manchester dublin 
UK Ireland 
Barclays AIB Infosys 
 
SpeakUp
justice Equality… ",und,0,0,0.0,0.0,Neutral
14,": WEEKLY  PREDICTION RESULTS 
For 31 October - 5 November 
6 out of 7 predictions are correct.

Nifty BankNifty Relian…",en,0,0,0.0,0.0,Neutral
15,"_GSTN _india Can u pls share gst officer contact no   or you may approach officer to resolve. 
We are facing huge business loss",en,0,0,0.9,0.4000000000000001,Positive
16,": 1st Multibagger Pick of Top Investors: 

1. Rakesh Jhunjhunwala - Tata Tea 
2. Porinju Veliyath - Geojit 
3. Vijay Kedia…",en,0,0,0.5,0.5,Positive
17,:  I contacted the government and asked if Rishi working as chancellor had a conflict of interest because…,en,0,0,0.0,0.0,Neutral
18,:   I bought and sold Infosys more than 4 times for a profit of 30-50%.  After that I decided to go lon…,en,0,0,0.5,0.5,Positive
19,      We shd have seriously considered acquiring existin… ,en,0,0,0.6666666666666666,-0.3333333333333333,Negative
20,No resolution still on my grievance. Pending for more than 3 weeks.    Maile… ,en,2,0,0.5,0.5,Positive
21,🔴Infosys | Wipro | Tech Mahindra Off-Campus Hiring 2022 | 2021 | 2020 | 2019 Batch | Salary 6 Lakhs🔥 ,in,0,0,0.0,0.0,Neutral
22,_GSTN _Council _india Application for Amendment of Core fields in Registration is pending for proc… ,en,0,0,0.0,0.0,Neutral
23,"Long term 1-5Y stocks with targets Clean science &amp; technology-3500, Sona comstar-1200, KPIT technologies-1000,Tata… ",en,0,0,0.55,0.15833333333333335,Positive
