,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"Code Blue: Ballard, Bosch and a City in Crisis in Michael Connelly's The Dark Hours https://t.co/UKiwZ5aSWM via @CrimeReads",en,55,12,2021-11-10 16:40:01+00:00,0.25,-0.075,Negative
1,Media Days at #CES2022 will feature the world’s leading tech brands as they make announcements before the show open… https://t.co/88IukSi7Sa,en,11,4,2021-11-10 22:37:03+00:00,0.0,0.0,Neutral
2,"Office with a view. And a vision. 🍃 At Bosch, we want to make sure that our products are increasingly environmental… https://t.co/peSexTmcFY",en,5291,214,2021-11-03 15:41:54+00:00,0.8888888888888888,0.5,Positive
3,"That’s a wrap on season 1 of Bosch Returns,Son of Bosch,Bosch 2. Thank you to our incredible cast and crew! It’s gonna be good!!",en,4622,210,2021-11-04 11:11:06+00:00,0.75,1.0,Positive
4,"Never, ever go full Bosch https://t.co/t5Mk0zsFrz",en,1126,188,2021-11-08 04:12:48+00:00,0.55,0.35,Positive
5,Did you know that nature loving Robert Bosch implemented workplace #sustainablity practices as early as 1920? And o… https://t.co/Dw1UX2S7Gr,en,2076,80,2021-11-05 15:07:00+00:00,0.625,0.35,Positive
6,It’s a wrap on the first season of the new Bosch show. Call it flashback Friday: Bosch in Afghanistan looking for b… https://t.co/FrsRXyD6eh,en,1150,56,2021-11-04 02:40:15+00:00,0.3939393939393939,0.19318181818181818,Positive
7,"Great collaboration with @BoschGlobal using Dapr for their Home Connect Plus home automation app: ""Bosch builds sma… https://t.co/YJxFxUo3aF",en,126,33,2021-11-06 18:27:47+00:00,0.75,0.8,Positive
8,"In Michael Connelly’s ‘The Dark Hours,’ Ballard and Bosch just get better  https://t.co/FKQnHUw7E3",en,138,15,2021-11-04 23:41:20+00:00,0.45,0.175,Positive
9,Are we going to build a sovereign capability or just import everything through fragile supply chains leaving local… https://t.co/qzkJO3rmiZ,en,45,22,2021-11-08 22:46:37+00:00,0.5,0.0,Neutral
