,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,@Carlos_bosch @valenciacf Parejo no es leyenda pero se le admira por qué ha sido un grandisimo jugador y se le debe… https://t.co/XIS4wqTa8h,es,0,0,2021-11-11 08:54:28+00:00,0.0,0.0,Neutral
4,https://t.co/NChPVQwXyc - Gezocht: #interim Projectleider Informatievoorziening Omgevingswet - Regio Den Bosch - Ki… https://t.co/wyjAG2BanF,nl,0,0,2021-11-11 08:52:40+00:00,0.0,0.0,Neutral
5,"RT @fosautoparts: 👀 Please check our online stores on the following on line platforms:

https://t.co/VhNqgCc0ON 

https://t.co/51aWsE2Nvo…",en,0,0,2021-11-11 08:52:30+00:00,0.1,0.0,Neutral
6,RT @PatrimNacional: 📸 Así luce el órgano Bosch antes del último concierto del XIV Ciclo de Órgano de nuestra Temporada de Música Clásica. D…,es,0,0,2021-11-11 08:51:35+00:00,0.0,0.0,Neutral
7,RT @MartijnKonings: Ik heb veel zin én kaartjes voor de 11-11 festiviteiten morgen hier in Den Bosch. En toch heb ik besloten niet te gaan.…,nl,0,0,2021-11-11 08:50:02+00:00,0.0,0.0,Neutral
8,Grapadora eléctrica válida para grapas y clavos (240 W) https://t.co/0Vhq4nqx0v a través de @amazon,es,0,0,2021-11-11 08:50:00+00:00,0.0,0.0,Neutral
11,RT @RTLnieuws: Vandaag start officieel het carnavalsseizoen met het vieren van de elfde van de elfde https://t.co/qr4ySWjNE1,nl,0,0,2021-11-11 08:48:53+00:00,0.0,0.0,Neutral
12,RT @RTLnieuws: Vandaag start officieel het carnavalsseizoen met het vieren van de elfde van de elfde https://t.co/qr4ySWjNE1,nl,0,0,2021-11-11 08:48:51+00:00,0.0,0.0,Neutral
14,"Morgen een lockdown maar vandaag een volksfeest in Den Bosch. Het is nieuws, dus wij doen er de hele dag verslag va… https://t.co/LIYOaZFFUp",nl,0,0,2021-11-11 08:46:42+00:00,0.0,0.0,Neutral
15,RT @PatrimNacional: 📸 Así luce el órgano Bosch antes del último concierto del XIV Ciclo de Órgano de nuestra Temporada de Música Clásica. D…,es,0,0,2021-11-11 08:46:27+00:00,0.0,0.0,Neutral
16,@_Bosch_ @paulosacramento @StephenDeLorme @bitcoin_design What is the Output Descriptor?,en,0,0,2021-11-11 08:46:27+00:00,0.0,0.0,Neutral
17,"RT @FvdMosselaar: Elfde van de elfde: in Limburg veel afgelast, meeste feesten in Brabant gaan door
https://t.co/IoFPGeTcPJ

Ik snap de wil…",nl,0,0,2021-11-11 08:46:02+00:00,0.0,0.0,Neutral
