,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"RT @BCCI: WATCH - Was Virat Kohli OUT or NOT OUT ? You decide.

Full video 👉https://t.co/ZhDsQdLdZZ #INDvNZ @Paytm https://t.co/2opNPCVoqU",en,0,0,2021-12-03 12:57:20+00:00,0.55,0.35,Positive
1,"RT @dwarakacreation: A Mother's Agony! #Akhanda Emotional Promo!

Roaring at Box-Office🔥

Book Your Tickets🎟 
https://t.co/rYIdlfkcUh
https…",en,0,0,2021-12-03 12:57:09+00:00,0.65,0.0,Neutral
2,@BCCI @Paytm Notout,en,0,0,2021-12-03 12:57:01+00:00,0.0,0.0,Neutral
3,Unlock ₹100 Flipkart Grocery Voucher on Adding ₹500 in Paytm Wallet https://t.co/gL7aEmd0Pr,en,0,0,2021-12-03 12:56:57+00:00,0.0,0.0,Neutral
6,"RT @dwarakacreation: A Mother's Agony! #Akhanda Emotional Promo!

Roaring at Box-Office🔥

Book Your Tickets🎟 
https://t.co/rYIdlfkcUh
https…",en,0,0,2021-12-03 12:56:51+00:00,0.65,0.0,Neutral
7,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:56:50+00:00,0.5,0.13636363636363635,Positive
9,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:56:48+00:00,0.5,0.13636363636363635,Positive
10,"@Cricket_Sexpert @BCCI @mayankcricket @Paytm Here's your screenshot. For more options (like dark mode), please visi… https://t.co/fOAqT8bL3E",en,0,0,2021-12-03 12:56:34+00:00,0.45,0.175,Positive
11,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:56:32+00:00,0.5,0.13636363636363635,Positive
12,@BCCI @Paytm Not out,en,0,0,2021-12-03 12:56:31+00:00,0.0,0.0,Neutral
13,@BCCI @Paytm We can't change decision bcz dirty umpire given out,en,0,0,2021-12-03 12:56:26+00:00,0.8,-0.6,Negative
14,@BCCI @Paytm Who cares ?,en,0,0,2021-12-03 12:56:23+00:00,0.0,0.0,Neutral
15,"RT @RIAZtheboss: Audience Verdict 𝐁𝐋𝐎𝐂𝐊𝐁𝐔𝐒𝐓𝐄𝐑🔥 #AKHANDA MASS JATHARA 🦁 Continues...🔥

Book Your Tickets🎟 
https://t.co/XMNGfKBB1g
https://t…",en,0,0,2021-12-03 12:56:23+00:00,0.0,0.0,Neutral
16,"@BCCI @mayankcricket @Paytm @pikaso_me
 screenshot this",en,0,0,2021-12-03 12:56:23+00:00,0.0,0.0,Neutral
17,@BCCI @Paytm Not Out,en,0,0,2021-12-03 12:56:21+00:00,0.0,0.0,Neutral
18,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:56:20+00:00,0.5,0.13636363636363635,Positive
19,"RT @UrsVamsiShekar: A Mother's Agony! #Akhanda Emotional Promo!

Roaring at Box-Office🔥

Book Your Tickets🎟 
https://t.co/wnXByuUYwR
https:…",en,0,0,2021-12-03 12:56:16+00:00,0.65,0.0,Neutral
20,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:56:13+00:00,0.5,0.13636363636363635,Positive
21,@BCCI @Paytm The Day ended with Bitter memories  of  Absolutely Bad Umpiring in the Digital Era.,en,0,0,2021-12-03 12:56:09+00:00,0.38888888888888884,-0.2666666666666666,Negative
22,"We're proud to announce that we've been chosen to participate in Digital Payments Utsav, a program organized by Mei… https://t.co/3TAcHtedLe",en,0,0,2021-12-03 12:55:59+00:00,0.5,0.4,Positive
23,@MairajAhmmed @BCCI @Paytm And if we look it from Pakistan's perspective?,en,0,0,2021-12-03 12:55:53+00:00,0.0,0.0,Neutral
24,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:55:52+00:00,0.5,0.13636363636363635,Positive
25,@BCCI @Paytm How much will Virat score in 2 innings?,en,1,0,2021-12-03 12:55:46+00:00,0.2,0.2,Positive
26,@BCCI @Paytm Not out.,en,0,0,2021-12-03 12:55:45+00:00,0.0,0.0,Neutral
27,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:55:39+00:00,0.5,0.13636363636363635,Positive
28,"RT @baraju_SuperHit: A Mother's Agony! #Akhanda Emotional Promo!

Roaring at Box-Office🔥

Book Your Tickets🎟 
https://t.co/FzoW9nDy30
https…",en,0,0,2021-12-03 12:55:39+00:00,0.65,0.0,Neutral
29,"RT @BCCI: WATCH - Was Virat Kohli OUT or NOT OUT ? You decide.

Full video 👉https://t.co/ZhDsQdLdZZ #INDvNZ @Paytm https://t.co/2opNPCVoqU",en,0,0,2021-12-03 12:55:38+00:00,0.55,0.35,Positive
30,@BCCI @Paytm Their only job is to do umpiring... What the fuck is Virender doing.,en,0,0,2021-12-03 12:55:35+00:00,0.8,-0.2,Negative
31,"RT @BCCI: WATCH - Was Virat Kohli OUT or NOT OUT ? You decide.

Full video 👉https://t.co/ZhDsQdLdZZ #INDvNZ @Paytm https://t.co/2opNPCVoqU",en,0,0,2021-12-03 12:55:34+00:00,0.55,0.35,Positive
33,@SunielVShetty 🙏My  dear sir I am pray to you because my wife admit in Asian hospital faridabad in ccu in critical… https://t.co/dLX8kCLVZk,en,0,0,2021-12-03 12:55:30+00:00,0.0,0.0,Neutral
34,"RT @BCCI: That moment when @mayankcricket got to his 4th Test Century 👏👏

Live - https://t.co/KYV5Z1jAEM #INDvNZ @Paytm https://t.co/GFXapG…",en,0,0,2021-12-03 12:55:27+00:00,0.5,0.13636363636363635,Positive
35,"RT @Paytm: Time to make a new pay-list. 

#PaytmKaro https://t.co/G6w6BKjIv5",en,0,0,2021-12-03 12:55:26+00:00,0.45454545454545453,0.13636363636363635,Positive
36,"RT @investobull: Market Closing Summary 03-12-2021

#Stocks #StockMarketindia #StockMarket #StocksTobuy #Nifty50 #sebi #IPOs #PayTm #sensex…",en,0,0,2021-12-03 12:55:24+00:00,0.0,0.0,Neutral
