,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,@TataMotors sir we getting fraud in insurance policy with your dealers.i purchased car Tata hexa xma at a time of p… https://t.co/yVfnNIsI0A,en,0,0,2021-11-11 08:58:48+00:00,0.0,0.0,Neutral
1,@BunnyPunia @Mahindra_Auto @TataMotors_Cars @anandmahindra @ashishmalik1 @GoenkaPk @MahindraRise Thanks you @UNGRSW https://t.co/mDWzIu1Lbz,en,0,0,2021-11-11 08:57:48+00:00,0.2,0.2,Positive
2,@BunnyPunia @Mahindra_Auto @TataMotors_Cars @anandmahindra @ashishmalik1 @GoenkaPk @MahindraRise #RoadSafety Massag… https://t.co/dfbYP2QvER,en,0,0,2021-11-11 08:56:56+00:00,0.0,0.0,Neutral
3,@Jeep @JeepIndia Your cabin rattles like a 25 year old truck. They have asked to open the entire roof as a 3 day ac… https://t.co/ADvVmIpUy3,en,0,0,2021-11-11 08:56:11+00:00,0.44166666666666665,0.03333333333333333,Positive
4,@BunnyPunia @Mahindra_Auto @TataMotors_Cars @anandmahindra @ashishmalik1 @GoenkaPk @MahindraRise #WeNeedYou… https://t.co/L8u8Q4eHLD,en,0,0,2021-11-11 08:54:28+00:00,0.0,0.0,Neutral
5,@BunnyPunia @Mahindra_Auto @TataMotors_Cars @anandmahindra @ashishmalik1 @GoenkaPk @MahindraRise #ManKiBat Dt.31.1.… https://t.co/0PZ4hOyGnS,en,0,0,2021-11-11 08:52:18+00:00,0.0,0.0,Neutral
6,@TataMotors_Cars As i got call from the tata kosmo jalandhar thanks to tata motors but unfortunately not satisfied… https://t.co/iJqfcVwDBw,en,0,0,2021-11-11 08:51:00+00:00,0.6,0.225,Positive
9,@BunnyPunia @Mahindra_Auto @TataMotors_Cars @anandmahindra @ashishmalik1 @GoenkaPk @MahindraRise Congratulations To… https://t.co/xrbMq3Dp75,en,0,0,2021-11-11 08:49:20+00:00,0.0,0.0,Neutral
10,"@BunnyPunia @Mahindra_Auto @TataMotors_Cars @anandmahindra @ashishmalik1 @GoenkaPk @MahindraRise Congratulations from 
#SafeDrive #LongLife",en,0,0,2021-11-11 08:48:30+00:00,0.0,0.0,Neutral
11,@TataMotors_Cars I have shared the details in private chat.,en,0,0,2021-11-11 08:45:43+00:00,0.375,0.0,Neutral
12,@TataMotors_Cars Tata motors silence on various media outlets claim of engine non performance and low mileage of 10… https://t.co/tInTPaXwpV,en,0,0,2021-11-11 08:45:00+00:00,0.4,0.0,Neutral
13,@TataMotors_Cars Feel the poor quality of service and support since last three years,en,0,0,2021-11-11 08:42:59+00:00,0.3333333333333333,-0.2,Negative
15,"RT @TataMotors_Cars: Feel the thrill of this festive season, with the Tata Motors #FinancEasy Festival. Rush to our website and avail the b…",en,0,0,2021-11-11 08:40:35+00:00,0.0,0.0,Neutral
16,"RT @TataMotors_Cars: Feel the thrill of this festive season, with the Tata Motors #FinancEasy Festival. Rush to our website and avail the b…",en,0,0,2021-11-11 08:35:24+00:00,0.0,0.0,Neutral
18,@TataMotors this is not from tata motors this is form to tata group this is right than https://t.co/MgWyZWEorD,en,0,0,2021-11-11 08:32:32+00:00,0.5357142857142857,0.2857142857142857,Positive
19,@TataMotors Contact no. +919031279330,en,0,0,2021-11-11 08:32:27+00:00,0.0,0.0,Neutral
20,"Feel the thrill of this festive season, with the Tata Motors #FinancEasy Festival. Rush to our website and avail th… https://t.co/4NdE1Rqi9n",en,9,2,2021-11-11 08:32:07+00:00,0.0,0.0,Neutral
21,"Dear @TataMotors 
I am an owner of tata tigor JTP. I like the vehicle but i may never buy a tata again due to Bad a… https://t.co/ahQQwsEfIu",en,0,0,2021-11-11 08:31:42+00:00,0.5208333333333333,-0.4124999999999999,Negative
22,@TataMotors thank you very much,en,0,0,2021-11-11 08:27:06+00:00,0.26,0.26,Positive
23,@TataMotors_Cars @Rajdeep21726351 Not replying to anyone's messages Is this what Tata has taught you @TataMotors_Cars,en,0,0,2021-11-11 08:21:36+00:00,0.0,0.0,Neutral
24,"Gentle reminder 4

Neither any call nor any message. when will I get my new vehicle delivery.I am very upset @TataMotors_Cars",en,0,0,2021-11-11 08:14:28+00:00,0.5181818181818182,0.1787878787878788,Positive
26,RT @c_akhil_raj: @SRIRAMOJUH @TataCompanies @TataMotors @RNTata2000 Bro I thought to buy a car from Tata motors but after seeing all these…,en,0,0,2021-11-11 08:06:52+00:00,0.0,0.0,Neutral
