,tweet,language,likes,retweets,datetime,Subjectivity,Polarity,Analysis
0,"HDFC bank - I'm getting daily calls for loan from your multiple outsourced agencies, please assit to stop these cal… https://t.co/OAoMRGoAR3",en,0,0,2021-11-11 08:57:28+00:00,0.0,0.0,Neutral
1,"#HDFCBank near to good support zone of 1500-1510, i this its good buying opportunity. 
Educational Only.
Join us… https://t.co/l4wH9oFCp8",en,0,0,2021-11-11 08:56:49+00:00,0.5700000000000001,0.35,Positive
2,"#HDFCBank near to good support zone of 1500-1510, i this its good buying opportunity. 
Educational Only.
Join us… https://t.co/zAcz69N4n3",en,0,0,2021-11-11 08:56:38+00:00,0.5700000000000001,0.35,Positive
3,"@HDFCBank_Cares Dear Representative,
Good Morning!
Did you a chance to look into my query mentioned in previous message?
Thank you",en,0,0,2021-11-11 08:54:47+00:00,0.38333333333333336,0.3541666666666667,Positive
4,"@HDFC_Bank so called No. 1 bank, with cash deposit machine having error 6 out of 7 days in a week.
@HDFCBank_Cares . https://t.co/XKNmoecSua",en,0,0,2021-11-11 08:54:09+00:00,0.0,0.0,Neutral
5,RT @ravalyatrik: @HDFCBank_Cares I emailed twice and still not received any response and receiving false promises and customer representati…,en,0,0,2021-11-11 08:53:13+00:00,0.6,-0.4000000000000001,Negative
6,@HDFCBank_Cares @HDFCBank_Cares I haven't received any reply. It was said in the DM that I would get a reply by 18… https://t.co/HzPVyXDeiZ,en,0,0,2021-11-11 08:52:36+00:00,0.0,0.0,Neutral
7,@HDFC_Bank @HDFCBank_Cares just got in touch with my relationship manger only to know that she is not with HDFC any… https://t.co/XUlcSX3QS3,en,0,0,2021-11-11 08:51:44+00:00,1.0,0.0,Neutral
8,@HDFC_Bank @HDFCBank_Cares @RBI nobody is responsible regarding this i visited branch for same but not solution… https://t.co/7OIOAuFQQr,en,0,0,2021-11-11 08:51:08+00:00,0.3375,0.1,Positive
9,"From last few weeks, I am facing lot of harassment (miscommunication,  false promises, negligence, non reponsive) f… https://t.co/nheS86aAlI",en,0,0,2021-11-11 08:50:16+00:00,0.25555555555555554,-0.20000000000000004,Negative
10,@myopicvisionary @HDFCBank_Cares @hdfcsec Hi Rahul - We've reached out to you regarding this on DM.,en,0,0,2021-11-11 08:48:27+00:00,0.0,0.0,Neutral
11,"@HDFCBank_Cares 
A reply would be appreciated https://t.co/edZpI3bVm7",en,0,0,2021-11-11 08:48:11+00:00,0.1,0.2,Positive
12,@HDFCBank_Cares Still waiting for your response,en,0,0,2021-11-11 08:43:18+00:00,0.0,0.0,Neutral
13,"@HDFCBank_Cares  I have been with 9 years, from last 1 month, facing lot of harassment, No one is taking the respon… https://t.co/Ose3bd7Zi3",en,0,0,2021-11-11 08:43:07+00:00,0.06666666666666667,0.0,Neutral
15,@HDFCBank_Cares @jagograhakjago paid a credit card bill on time ans still hdfc asks for a late fees???is this a way… https://t.co/RBEha86cYO,en,0,0,2021-11-11 08:40:08+00:00,0.6,-0.3,Negative
17,"RT @106Gaurav106: @HDFCBank_Cares hi, when your TAT will be completed. It's 10th today.
No one contacted. I'll not pay emi or any interest…",en,0,0,2021-11-11 08:38:33+00:00,0.0,0.0,Neutral
19,"Sbin, icicibank at support zone.. Hdfcbank, not broke morning lows.. Axisbank at lows.. Banknifty near recent lows.… https://t.co/OniSdK9SAy",en,56,0,2021-11-11 08:37:14+00:00,0.325,0.05,Positive
20,@HDFCBank_Cares  ye mera salary account tha to isme minus me kaise ?? https://t.co/7aRyMult8U,en,0,0,2021-11-11 08:36:38+00:00,0.1,-0.1,Negative
25,"RT @ResearchZip: Parag Parikh Flexicap Fund Oct-2021 update #PPFCF

Increased stake in #Bajajholding #icicibank #heromotocorp #Axisbank #al…",en,0,0,2021-11-11 08:33:12+00:00,0.0,0.0,Neutral
27,"@HDFCBank_Cares @TRAI @DOT_India pl see this reply from @HDFCBank_Cares . When I’m not their customer, how can the… https://t.co/jXVA9r92Fq",en,0,0,2021-11-11 08:26:38+00:00,0.0,0.0,Neutral
28,@CarebyHDFC_HL  I made online repayment 3 weeks back. There is no response from support team on receipt. I am tired… https://t.co/vdraU7WfCm,en,0,0,2021-11-11 08:26:27+00:00,0.0,0.0,Neutral
29,@HDFC_Bank @HDFCBank_Cares Thanks a lot to Ms Sarita Bhardwaj (manager @ hdfc bank ) finally mere account related i… https://t.co/eQHPjRdaBB,en,0,0,2021-11-11 08:25:36+00:00,0.3666666666666667,-0.09999999999999999,Negative
30,"RT @SriniVega: there is no thrust from the banknifty side.. no push from icici, hdfcbank.. how much reliance can do the uplifting ?!",en,0,0,2021-11-11 08:25:13+00:00,0.2,0.25,Positive
31,"@HDFCBank_Cares @HDFCLife_Cares Thanks for information, so am I good to initiate legal action against this telemarketers ?",en,0,0,2021-11-11 08:25:09+00:00,0.275,0.3,Positive
32,@payal_trustable Hdfcbank needs to fire,en,1,0,2021-11-11 08:24:21+00:00,0.0,0.0,Neutral
33,"RT @ResearchZip: Parag Parikh Flexicap Fund Oct-2021 update #PPFCF

Increased stake in #Bajajholding #icicibank #heromotocorp #Axisbank #al…",en,0,0,2021-11-11 08:16:49+00:00,0.0,0.0,Neutral
34,@HDFCBank_Cares is there any lifetime free credit card available for existing card holder of any other bank?,en,0,0,2021-11-11 08:15:01+00:00,0.525,0.225,Positive
36,@Tddiary1 What are your views on hdfcbank as well bro,en,0,0,2021-11-11 08:12:16+00:00,0.0,0.0,Neutral
37,"Axis , TCS , HDFCbank , HUL .. All should move up to take Nifty higher , but all looking weak on charts . Hope HDFC… https://t.co/MKrfpGsKTx",en,0,0,2021-11-11 08:11:43+00:00,0.5625,-0.0625,Negative
38,"sorry we cannot proccess ur transaction due to technical issue after spending 15 min!!! 
f##K HDFC BANK SERVISES @HDFCBank_Cares @HDFC_Bank",en,0,0,2021-11-11 08:06:48+00:00,0.4916666666666667,-0.20833333333333334,Negative
39,"@rabetdowney @Amar_ji1 @HDFCBank_Cares @HDFC_Bank There is no such rule.

Rule is salary shuld get credited in the… https://t.co/oN0mke6u4b",en,0,0,2021-11-11 08:06:48+00:00,0.5,0.0,Neutral
40,"@BandiShreyas #hdfcbank may re-bounce from here.
What do you think? https://t.co/CtwzXO8StN",en,2,0,2021-11-11 08:06:37+00:00,0.0,0.0,Neutral
41,"RT @ResearchZip: Parag Parikh Flexicap Fund Oct-2021 update #PPFCF

Increased stake in #Bajajholding #icicibank #heromotocorp #Axisbank #al…",en,0,0,2021-11-11 08:06:13+00:00,0.0,0.0,Neutral
42,"@HDFCBank_Cares Hi Anay, I have registered the problem in link. Awaiting reply",en,0,0,2021-11-11 08:05:23+00:00,0.0,0.0,Neutral
43,RT @NandeeshChinu: @HDFCBank_Cares hdfc credit card office verification successful but home verification is not good someone calling me for…,en,0,0,2021-11-11 08:05:01+00:00,0.775,0.2,Positive
44,RT @NandeeshChinu: @HDFCBank_Cares hdfc address verification executives totally uneducated people's. First change the agency for address ve…,en,0,0,2021-11-11 08:04:39+00:00,0.5416666666666666,0.125,Positive
